Name,Organisation
Chrissy Wainwright,Six Feet Up
Érico Andrei,kitconcept GmbH
Andy Leeb,Onna
Paul Roeland,CCC
Víctor Fernández de Alba,kitconcept GmbH
Jens Klein,Klein & Partner KG
William Fennie,Independent
