Name,Team,Organisation
Maurits van Rees,Security Team,PY76
Víctor Fernández de Alba,Volto Team,kitconcept GmbH
Rikupekka Oksanen,Marketing Team,University of Jyväskylä
Philip Bauer,Training Team,Starzel
Steve Piercy,Documentation Team,Steve Piercy - Website Builder
Jens Klein,Framework Team,Klein & Partner KG
Kim Nguyen,Membership Committee,Six Feet Up
