Title,Trainer(s),Organisation
Mastering Plone development,Katja Süss,Rohberg
Plone 6 Classic UI Theming,to be announced,Independent
Installing Plone 6,Érico Andrei,kitconcept GmbH
Plone 6 Volto and React,"Alok Kumar, Jakob Kahl",kitconcept GmbH
"Learn Plone 6, for Content Editors and Managers",Kim Nguyen,Six Feet Up
"Use, Integrate and develop Patterns for Plone 6 Classic",Johannes Raggam,Independent
Effective Plone 6 Volto,"Tiberiu Ichim, Victor Fernandez de Alba",Eau de Web; kitconcept GmbH
Plone 6 Volto Customization for JavaScript Beginners,"Philip Bauer, Nilesh Gulia, Claudia Ifrim",Starzel; Eau de Web
Plone 6 Migration,Philip Bauer,Starzel
