Name,Organisation
Érico Andrei,kitconcept GmbH
Jens Klein,Klein & Partner KG
Andy Leeb,Onna
Paul Roeland,CCC
Víctor Fernández de Alba,kitconcept GmbH
William Fennie,Independent
Kim Paulissen,KU Leuven
