Name,Organisation
Chrissy Wainwright,Six Feet Up
Paul Roeland,CCC
Andy Leeb,Onna
Érico Andrei,kitconcept GmbH
Víctor Fernández de Alba,kitconcept GmbH
Jens Klein,Klein & Partner KG
Fulvio Casali,Soliton Consulting
