Sprint,Organiser/Host,Organisation
Axolote Sprint,Gildardo Bautista,UNAM
Beethoven Sprint,Timo Stollenwerk,kitconcept GmbH
Buschenschanksprint,Johannes Raggam,Independent
Salamina Sprint,RedTurtle,RedTurtle
