Name,Team,Organisation
Astrid Beyers,Marketing Team,Juizi
Piero Nicolli,Volto Team,RedTurtle
Victor Fernandez de Alba,Volto Team,kitconcept GmbH
Peter Mathis,Classic UI Team,Kombinat
Maurits van Rees,Security Team,PY76
Rafahela Bazzanella,Membership Committee,Brazilian Government
