Sprint,Organiser/Host,Organisation
Alpine City Sprint,Klein & Partner KG;BlueDynamics Alliance,Klein & Partner KG
Bucharest Sprint,Alec Ghica,Eau de Web
Beethoven Sprint,kitconcept GmbH,kitconcept GmbH
Axolote Sprint,Mathematics Institute at UNAM,UNAM
Salamina Sprint,RedTurtle,RedTurtle
