Title,Trainer(s),GitHub Handle(s),Organisation
Introduction to Advanced Workflows with BPMN 2.0,Asko Soukka,datakurre,Uni. Jyväskylä
Training for Content Editing,Karel Calitz;Kim Paulissen,aboycalledhero;spereverde,Juizi;KU Leuven
Plone Migrations: Theory and Practice,Philip Bauer,pbauer,Starzel
Plone 6 Volto Customization for JavaScript Beginners,Alok Kumar;Tisha Soumya,iFlameing;Tishasoumya-02,kitconcept GmbH
Content Management for Larger Plone Sites,Kim Paulissen;Paul Roeland,spereverde;polyester,KU Leuven;CCC
Plone Seven: Fundamentals,Víctor Fernández de Alba;Piero Nicolli,sneridagh;pnicolli,kitconcept GmbH;RedTurtle
Installing and Deploying Plone,Érico Andrei;Fred van Dijk,ericof;fredvd,kitconcept GmbH
Customizing the Volto Light Theme,Dante Alvarez;Rohit Kumar,danalvrz;iRohitSingh,kitconcept GmbH
Create your Customer Avatar: Do you know who you're coding for?,Astrid Beyers,astridjuizi,Juizi
