organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
kleinundpartner,2019,330,1,jensens,106,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.validation, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, documentation, five.intid, helm-charts, meta, mockup, mr.roboto, old_plone.org, plone-backend, plone-frontend, plone.alterego, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.batching, plone.behavior, plone.cachepurging, plone.classicui, plone.dexterity, plone.docker, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.i18n, plone.keyring, plone.locking, plone.namedfile, plone.org, plone.outputfilters, plone.patternslib, plone.portlet.collection, plone.protect, plone.recipe.unifiedinstaller, plone.recipe.zope2instance, plone.registry, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.volto, plonecli, ploneorg.core, plonetheme.barceloneta, training, volto","2020, 2021, 2022, 2023, 2024",2020-01-19,2024-11-24
codesyntax,536,289,3,"erral, ionlizarazu, libargutxi",42,"2023.ploneconf.org, Products.CMFPlone, Products.validation, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, documentation, jenkins.plone.org, mockup, plone-backend, plone-vs-snippets, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.distribution, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.nl, plone.recipe.haproxy, plone.restapi, plone.staticresources, plone.volto, plone.z3cform, plonecli, plonetheme.barceloneta, training, volto","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-29
rohberg,1137,267,1,ksuess,26,"Plone, Products.CMFPlone, buildout.coredev, cookieplone-templates, demo.plone.org, documentation, guillotina, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.dexterity, plone.app.discussion, plone.app.linkintegrity, plone.app.standardtiles, plone.app.upgrade, plone.app.vocabularies, plone.app.z3cform, plone.exportimport, plone.formwidget.hcaptcha, plone.restapi, plone.schema, plone.volto, training, volto","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-22
starzel,745,163,2,"Gomez, pbauer",58,"2023.ploneconf.org, Plone, Products.ATContentTypes, Products.CMFDiffTool, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.LinguaPlone, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, demo.plone.org, documentation, mockup, old_plone.org, plone-backend, plone.api, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.z3cform, plone.base, plone.com-static, plone.distribution, plone.exportimport, plone.nl, plone.org, plone.outputfilters, plone.portlet.collection, plone.reload, plone.restapi, plone.staticresources, plone.volto, ploneconf.org, ploneorg.core, plonetheme.barceloneta, training, volto, zodbverify","2020, 2021, 2022, 2023, 2024",2020-02-09,2024-12-15
serpro,164,157,1,wesleybl,25,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, code-quality, meta, plone-frontend, plone.app.contenttypes, plone.app.discussion, plone.app.iterate, plone.app.robotframework, plone.app.testing, plone.app.versioningbehavior, plone.dexterity, plone.dotfiles, plone.formwidget.recaptcha, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.volto, plonecli, training, volto, volto-addon-ci","2020, 2021, 2022, 2023, 2024",2020-10-25,2024-12-15
agitator,615,136,1,agitator,39,"Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.users, plone.app.workflow, plone.app.z3cform, plone.base, plone.batching, plone.dexterity, plone.i18n, plone.jsonserializer, plone.portlet.collection, plone.portlet.static, plone.rest, plone.staticresources, plone.z3cform, plonetheme.barceloneta, training","2020, 2021, 2022, 2023",2020-01-26,2023-01-22
derico,1100,135,1,MrTango,37,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, classic-ui-team, documentation, mockup, pat-content-browser, plone-vs-snippets, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.app.z3cform, plone.autoinclude, plone.base, plone.classicui, plone.gallery, plone.namedfile, plone.outputfilters, plone.pdfexport, plone.scale, plone.schema, plone.staticresources, plone.typesense, plonecli, plonetheme.barceloneta, training, volto","2020, 2021, 2022, 2023, 2024",2020-02-09,2024-11-17
iskra,228,133,3,"masipcat, nilbacardit26, rboixaderg",5,"guillotina, guillotina_elasticsearch, guillotina_prometheus, pastanaga-angular, volto","2020, 2021, 2022, 2023, 2024",2020-01-12,2024-10-20
university-hospital-dresden,295,83,1,1letter,30,"Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ResourceRegistries, bobtemplates.plone, buildout.coredev, documentation, meta, mockup, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.base, plone.i18n, plone.portlet.collection, plone.restapi, plone.schemaeditor, plone.staticresources, plonetheme.barceloneta","2020, 2021, 2022, 2023, 2024",2020-03-08,2024-12-15
vangheem,80,73,1,vangheem,4,"guillotina, guillotina_gcloudstorage, guillotina_prometheus, guillotina_s3storage","2020, 2021, 2022",2020-01-05,2022-05-15
pretaweb,96,71,4,"JeffersonBledsoe, djay, djowett, instification",16,"ansible-playbook, ansible.plone_server, helm-charts, plone.app.caching, plone.app.contentrules, plone.app.discussion, plone.app.iterate, plone.app.querystring, plone.app.standardtiles, plone.app.theming, plone.app.vulnerabilities, plone.namedfile, plone.rest, plone.restapi, training, volto","2020, 2021, 2022, 2023, 2024",2021-01-31,2024-12-01
frapell,92,53,1,frapell,26,"Products.CMFPlone, buildout.coredev, guillotina, guillotina-volto, mockup, plone.app.content, plone.app.contenttypes, plone.app.event, plone.app.iterate, plone.app.mosaic, plone.app.portlets, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.workflow, plone.app.z3cform, plone.base, plone.dexterity, plone.folder, plone.formwidget.recurrence, plone.memoize, plone.patternslib, plone.schemaeditor, plone.staticresources, plonetheme.barceloneta, volto","2020, 2021, 2022, 2023, 2024",2020-03-08,2024-03-03
