organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
affinitic,109,51,2,"laulaz, mpeeters",24,"2023.ploneconf.org, Products.CMFPlone, buildout.coredev, mockup, plone.api, plone.app.caching, plone.app.content, plone.app.contenttypes, plone.app.layout, plone.app.mosaic, plone.app.theming, plone.app.versioningbehavior, plone.app.z3cform, plone.base, plone.formwidget.autocomplete, plone.gallery, plone.nl, plone.org, plone.patternslib, plone.recipe.zope2instance, plone.restapi, ploneconf.org, training, volto","2020, 2021, 2022, 2023, 2024",2020-02-02,2024-10-06
imio,65,43,4,"bsuttor, gbastien, gotcha, sverbois",26,"2023.ploneconf.org, Products.ATContentTypes, Products.CMFPlone, Products.PortalTransforms, buildout.coredev, code-quality, meta, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.discussion, plone.app.standardtiles, plone.app.textfield, plone.app.themingplugins, plone.app.z3cform, plone.htmx, plone.nl, plone.outputfilters, plone.recipe.zope2instance, plone.restapi, plone.testing, ploneconf.org, volto","2020, 2021, 2022, 2023, 2024",2020-06-14,2024-10-20
tkimnguyen,132,43,1,tkimnguyen,22,"2023.ploneconf.org, 2024.ploneconf.org, Installers-UnifiedInstaller, Products.CMFPlone, ansible-playbook, ansible.plone_server, buildout.coredev, documentation, planet.plone.org, plone-backend, plone.app.viewletmanager, plone.app.workflowmanager, plone.com-static, plone.dexterity, plone.docker, plone.nl, ploneconf.org, ploneconf2016.policy, plonedev.vagrant, ploneorg.core, ploneorg.theme, training","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-29
rpatterson,35,24,1,rpatterson,10,"Products.CMFPlone, Products.PlonePAS, buildout.coredev, mr.roboto, plone.app.imaging, plone.app.testing, plone.rest, plone.restapi, plone.volto, volto","2020, 2021, 2022",2021-05-16,2022-03-06
rohnsha0,87,21,1,rohnsha0,10,"Plone, Products.CMFPlone, buildout.coredev, plone.app.contentmenu, plone.app.theming, plone.app.vocabularies, plone.restapi, plone.volto, ploneorg.theme, sphinxtheme.plone","2022, 2024",2022-08-07,2024-10-13
academy-of-fine-arts-vienna,47,18,1,gogobd,8,"buildout.coredev, cookiecutter-zope-instance, plone.api, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.querystring, plone.event","2020, 2021, 2023, 2024",2020-06-28,2024-02-18
abstract,14,17,2,"gianniftp, szakitibi",12,"Products.CMFPlone, documentation, plone.app.contentmenu, plone.app.contenttypes, plone.app.layout, plone.app.multilingual, plone.app.registry, plone.app.z3cform, plone.batching, plone.registry, plone.staticresources, volto","2021, 2023, 2024",2023-10-01,2024-05-19
cms-com,15,14,1,terapyon,2,"plone.restapi, volto","2020, 2021, 2022",2020-02-16,2022-11-06
tschorr,35,14,1,tschorr,13,"Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.isurlinportal, buildout.coredev, helm-charts, plone.app.contentlisting, plone.app.discussion, plone.autoinclude, plone.recipe.zope2instance, plone.restapi, plonetheme.barceloneta, volto","2020, 2021, 2022, 2023, 2024",2020-02-09,2024-04-21
university-jyvaskylä,42,13,1,datakurre,8,"buildout.coredev, plone.app.robotframework, plone.app.standardtiles, plone.app.versioningbehavior, plone.formwidget.namedfile, plone.jsonserializer, plone.namedfile, volto","2020, 2021, 2022, 2023",2020-01-26,2023-06-25
ku-leuven,16,9,1,spereverde,9,"Products.PloneTestCase, documentation, plone.app.blob, plone.app.dexterity, plone.app.iterate, plone.app.standardtiles, plone.dotfiles, training, volto","2020, 2021, 2022, 2023, 2024",2020-02-09,2024-02-18
university-tu-dresden,8,8,1,pgrunewald,5,"Products.MimetypesRegistry, buildout.coredev, plone.app.linkintegrity, plone.staticresources, volto","2020, 2022, 2023, 2024",2023-07-16,2024-05-12
interaktiv,9,7,1,mliebischer,5,"cookiecutter-zope-instance, plone.app.contenttypes, plone.app.multilingual, plone.namedfile, training","2020, 2021, 2022, 2023",2021-02-07,2023-08-20
macagua,24,7,1,macagua,3,"plone.app.debugtoolbar, plone.restapi, volto","2021, 2022, 2023, 2024",2021-11-07,2024-02-18
polyester,33,6,1,polyester,6,"Plone, buildout.coredev, documentation, papyrus, sphinxtheme.plone, training","2020, 2021, 2022, 2023, 2024",2020-04-19,2024-11-24
dbain,2,6,1,pigeonflight,3,"plone.rest, training, volto","2020, 2021, 2024",2021-03-14,2021-11-21
radio-free-asia,15,5,1,flipmcf,8,"2023.ploneconf.org, documentation, mockup, plone.app.dexterity, plone.app.vocabularies, plone.nl, plone.outputfilters, ploneconf.org","2020, 2021, 2022",2020-08-09,2021-12-05
fhnw,3,5,2,"adrianschulz, tomschall",3,"cookieplone-templates, plone.de, volto",2024,2024-04-21,2024-07-21
minddistrict,0,5,1,icemac,3,"Products.PloneHotfix20210518, plone.protect, plone.recipe.zope2instance","2020, 2021, 2022",,
4teamwork,7,4,3,"buchi, deiferni, lukasgraf",1,plone.restapi,"2020, 2021",2020-01-19,2021-05-02
salesforce,73,4,1,esteele,18,"Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.PlonePAS, buildout.coredev, documentation, plone.api, plone.app.contentmenu, plone.app.dexterity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.workflow, plone.base, plone.dexterity, plone.restapi, plone.schemaeditor, plone.session, volto",2022,2022-07-17,2022-11-27
it-spirit,10,4,1,thomasmassmann,5,"Products.CMFPlone, Products.PortalTransforms, buildout.coredev, plone.app.layout, plone.app.upgrade","2020, 2021, 2022",2020-04-05,2022-01-09
iham,17,4,1,iham,12,"Products.Archetypes, Products.CMFPlone, bobtemplates.plone, buildout.coredev, plone.app.caching, plone.app.contenttypes, plone.app.mosaic, plone.app.multilingual, plone.app.registry, plone.app.widgets, plone.app.z3cform, plonetheme.barceloneta","2020, 2021, 2022",2020-10-18,2022-09-11
dataflake,41,4,1,dataflake,3,"buildout.coredev, meta, plone.recipe.zope2instance","2020, 2021",2020-02-09,2021-10-31
zopyx,8,4,1,zopyx,7,"Products.MimetypesRegistry, buildout.coredev, planet.plone.org, plone.api, plone.app.content, plone.restapi, training","2020, 2021, 2022, 2023",2020-07-12,2023-10-08
university-tu-munich,5,3,1,loechel,2,"meta, training","2022, 2023",2022-10-09,2023-10-08
zest,27,3,1,jladage,3,"plone.app.layout, plone.app.upgrade, plone.base",2024,2024-03-24,2024-03-31
nelen-schuurmans,8,2,1,reinout,1,meta,2024,2024-01-28,2024-02-04
cosent,4,2,1,gyst,2,"plone.app.event, plone.recipe.zope2instance",2024,2024-04-14,2024-05-05
witsch,2,2,1,witsch,1,archetypes.querywidget,"2020, 2021",2020-08-30,2020-08-30
yarn,0,1,1,witsch,1,plone.portlet.collection,2023,,
esteele,130,0,1,esteele,32,"Products.CMFEditions, Products.CMFPlone, buildout.coredev, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.users, plone.app.versioningbehavior, plone.app.workflow, plone.app.z3cform, plone.batching, plone.folder, plone.formwidget.namedfile, plone.portlet.collection, plone.portlet.static, plone.registry, plone.resource, plone.restapi, plone.staticresources, plone.testing, plone.z3cform, plonetheme.barceloneta, volto","2020, 2021",2020-01-05,2021-09-12
