username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
hannosch,1376,0,71,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, five.intid, plone.app.caching, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.ldap, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.testing, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.browserlayer, plone.contentrules, plone.folder, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.openid, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.scale, plone.session, plone.stringinterp, plone.testing, plone.theme, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-12-26
esteele,441,0,34,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.ResourceRegistries, archetypes.referencebrowserwidget, borg.localrole, buildout.coredev, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.linkintegrity, plone.app.portlets, plone.app.registry, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.session, plone.stringinterp, plone.testing, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-12-12
lrowe,427,0,32,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.LinguaPlone, Products.PloneTestCase, Products.ResourceRegistries, buildout.coredev, diazo, planet.plone.org, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.ldap, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.workflow, plone.keyring, plone.protect, plone.scale, plone.session, plone.subrequest, plonetheme.classic, plonetheme.sunburst",2010-01-10,2010-12-26
optilude,410,0,35,"Products.Archetypes, Products.ResourceRegistries, Products.statusmessages, buildout.coredev, diazo, plone.app.blocks, plone.app.caching, plone.app.dexterity, plone.app.drafts, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.uuid, plone.app.z3cform, plone.autoform, plone.cachepurging, plone.caching, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.namedfile, plone.outputfilters, plone.portlets, plone.registry, plone.reload, plone.resource, plone.scale, plone.testing, plone.tiles, plone.transformchain, plone.uuid, plone.z3cform",2010-01-03,2010-12-05
davisagli,405,0,64,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, five.intid, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.resource, plone.scale, plone.testing, plone.transformchain, plone.z3cform, plonetheme.classic, plonetheme.sunburst",2010-01-10,2010-12-19
thet,187,0,9,"Products.ATContentTypes, Products.Archetypes, Products.LinguaPlone, Products.PortalTransforms, buildout.coredev, five.intid, plone.app.portlets, plone.event, plone.formwidget.recurrence",2010-01-03,2010-12-26
vincentfretin,166,0,29,"Products.ATContentTypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, archetypes.referencebrowserwidget, buildout.coredev, plone.app.caching, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.discussion, plone.app.imaging, plone.app.iterate, plone.app.ldap, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.users, plone.app.vocabularies, plone.app.z3cform, plone.event, plone.i18n, plone.recipe.zope2instance, plone.tiles, plone.z3cform, plonetheme.sunburst",2010-01-24,2010-12-19
witsch,165,0,10,"Products.ATContentTypes, Products.Archetypes, Products.LinguaPlone, archetypes.schemaextender, buildout.coredev, plone.app.imaging, plone.app.linkintegrity, plone.app.upgrade, plone.folder, plone.scale",2010-01-10,2010-11-07
limi,153,0,17,"Products.ATContentTypes, Products.Archetypes, Products.MimetypesRegistry, Products.PortalTransforms, archetypes.referencebrowserwidget, buildout.coredev, plone.app.contentmenu, plone.app.controlpanel, plone.app.dexterity, plone.app.linkintegrity, plone.app.portlets, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.formwidget.namedfile, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-08-01
dukebody,135,0,17,"Products.Archetypes, buildout.coredev, plone.app.blocks, plone.app.discussion, plone.app.standardtiles, plone.app.testing, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.testing, plone.tiles, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-11-14
