organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Jarn,1003,0,7,"MatthewWilkes, fschulze, hannosch, limi, lrowe, stefanholek, witsch",62,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, diazo, five.intid, plone.app.blob, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.upgrade, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.browserlayer, plone.folder, plone.i18n, plone.keyring, plone.memoize, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zope2instance, plone.schemaeditor, plone.session, plone.z3cform",2008-01-06,2008-12-28
Simplon,306,0,1,wichert,42,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.PlonePAS, Products.PloneTestCase, Products.ResourceRegistries, Products.contentmigration, borg.localrole, five.intid, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.form, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.browserlayer, plone.i18n, plone.keyring, plone.openid, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.session",2008-01-06,2008-12-28
Independent,287,0,27,"alecpm, bobdobbs666, calvinhp, claytron, csenger, davidemoro, dnouri, dorneles, duffyd, dukebody, emanlove, erikrose, garbas, maikroeder, malthe, martior, mishunov, mrtopf, myroslav, naro, pellekrogholt, regebro, rnixx, thefunny42, vangheem, vladimir-iliev, vloothuis",36,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.LinguaPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.validation, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, plone.app.blob, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.portlets, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.i18n, plone.keyring, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zope2instance, plone.z3cform",2008-01-06,2008-12-21
Deloitte Digital,195,0,1,optilude,26,"borg.localrole, diazo, plone.alterego, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.dexterity, plone.app.form, plone.app.iterate, plone.app.layout, plone.app.portlets, plone.app.redirector, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.behavior, plone.browserlayer, plone.contentrules, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.reload, plone.supermodel, plone.z3cform",2008-01-06,2008-12-07
kitconcept GmbH,113,0,2,"davisagli, reebalazs",23,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, buildout.coredev, plone.app.content, plone.app.contentrules, plone.app.customerize, plone.app.dexterity, plone.app.form, plone.app.layout, plone.app.openid, plone.app.portlets, plone.app.viewletmanager, plone.app.workflow, plone.behavior, plone.openid, plone.portlet.collection, plone.portlets, plone.schemaeditor, plone.session, plone.z3cform",2008-01-27,2008-12-14
PY76,75,0,1,mauritsvanrees,21,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.LinguaPlone, Products.PlonePAS, Products.ResourceRegistries, buildout.coredev, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.intelligenttext, plone.portlet.collection, plone.portlet.static, plone.session",2008-01-06,2008-10-19
bearstach,75,0,1,encolpe,9,"Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, plone.app.iterate, plone.app.layout, plone.app.workflow, plone.locking, plone.recipe.zope2instance",2008-01-06,2008-11-30
Enfold,36,0,1,sidnei,11,"Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.Marshall, Products.MimetypesRegistry, Products.PortalTransforms, borg.localrole, plone.i18n, plone.recipe.zope2instance",2008-02-24,2008-12-28
FHNW,21,0,1,tomgross,1,archetypes.referencebrowserwidget,2008-09-21,2008-12-07
Klein & Partner,17,0,1,jensens,4,"Products.Archetypes, Products.ResourceRegistries, archetypes.schemaextender, plone.recipe.zope2instance",2008-02-24,2008-11-30
IMIO,8,0,1,gotcha,3,"Products.Archetypes, plone.app.form, plone.app.z3cform",2008-03-16,2008-11-09
Reid-McMahon,4,0,1,smcmahon,1,plone.recipe.zope2instance,2008-01-06,2008-12-14
Syslab,4,0,1,thet,1,Products.Archetypes,2008-09-14,2008-09-14
Sixfeetup,3,0,1,rpatterson,1,five.intid,2008-02-17,2008-06-22
Nelen-Schuurmans,2,0,1,reinout,1,five.intid,2008-03-02,2008-03-02
Zopyx,1,0,1,zopyx,1,plone.z3cform,2008-09-07,2008-09-07
Salesforce,1,0,1,esteele,1,Products.Archetypes,2008-08-10,2008-08-10
