organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
vangheem,1231,147,1,vangheem,11,"Products.CMFPlone, buildout.coredev, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_mailer, guillotina_rediscache, guillotina_s3storage, guillotina_statsd, mockup",2017-01-08,2017-12-31
kitconcept,1061,187,6,"davisagli, fredvd, jaroel, robgietema, sneridagh, tisto",60,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, diazo, guillotina, papyrus, pastanaga, pastanaga-angular, planet.plone.org, plone.api, plone.app.blob, plone.app.caching, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.robotframework, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.widgets, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.dexterity, plone.formwidget.contenttree, plone.formwidget.querystring, plone.namedfile, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.restapi-angular, plone.scale, plone.schemaeditor, plone.testing, plone.tiles, ploneconf2016.policy, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, volto, voltocms.com",2017-01-01,2017-12-31
Independent,1059,558,114,"2silver, Bad-Request, CaffeinatedStud, Gagaro, GerardRodes, Gomez, LeviBroadnax, MarkusMayer, Martronic-SA, MatthewWilkes, RobZoneNet, Rotonen, Shriyanshagro, SyZn, TakCastel, VaysseB, acsr, adamcheasley, albertcasado, albertduran, allusa, arsenico13, awello, b0n, b4oshany, batlock666, cdevienne, cdw9, cedricmessiant, cguardia, cillianderoiste, cjsteel, cleberjsantos, csenger, dals83, davidjb, davilima6, dhavlik, digitalnaSRB, displacedaussie, dmanchon, enkidulan, ewohnlich, fgrcon, frisi, fschulze, fulv, geier, ghost, gitcarbs, gitter-badger, gnafou, hanirok, hannosch, himanshu81494, huubbouma, hvelarde, ivanteoh, jackBzzz, jean, jfroche, jimfulton, jnns, ju55i, kakshay21, karalics, l00ptr, lellex, leplatrem, loechel, lukebrannon, lzdych, malloxpb, malthe, mattss, mikkohu, mtrebron, nazrulworld, newbazz, nngu6036, obct537, oz123, pabo3000, prakharjoshi, ramiroluz, rfleschenberg, rioksane, rnixx, rnunez80, robinsjm2, rodfersou, rristow, rudaporto, seanupton, sgeulette, sgrepos, shentonfreude, sherpya, simon-previdente, skurfer, smcmahon, staeff, streaps, sunew, tareqalam, tdesvenain, thyarles, tmog, tomgross, untitaker, vincentfretin, vkarppinen, zemm, zupo",109,"Installers-UnifiedInstaller, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFFormController, Products.CMFPlone, Products.LinguaPlone, Products.PortalTransforms, Products.statusmessages, Products.validation, ansible-playbook, ansible.plone_server, archetypes.multilingual, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, collective.monkeypatcher, diazo, documentation, guillotina, guillotina_elasticsearch, jenkins.plone.org, mockup, papyrus, pastanaga, pastanaga-angular, pastanaga-icons, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.workflow, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.behavior, plone.contentrules, plone.dexterity, plone.docker, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.querystring, plone.github, plone.i18n, plone.intelligenttext, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zeoserver, plone.reload, plone.resourceeditor, plone.rest, plone.restapi, plone.restapi-angular, plone.scale, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.versioncheck, plone_best_practices_discussion, plonecli, plonedev.vagrant, ploneorg.core, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, sphinxtheme.plone, training, volto",2017-01-01,2017-12-31
esteele,855,2,1,esteele,70,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, buildout.coredev, collective.monkeypatcher, diazo, mockup, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.dexterity, plone.formwidget.namedfile, plone.formwidget.querystring, plone.i18n, plone.keyring, plone.login, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.static, plone.protect, plone.releaser, plone.resourceeditor, plone.scale, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.theme, plone.versioncheck, plone.z3cform, ploneorg.core, plonetheme.barceloneta",2017-01-01,2017-12-10
kleinundpartner,591,131,1,jensens,67,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.PortalTransforms, Products.statusmessages, archetypes.multilingual, bobtemplates.plone, buildout.coredev, documentation, mockup, mr.roboto, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.behavior, plone.browserlayer, plone.dexterity, plone.event, plone.namedfile, plone.patternslib, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.rest, plone.scale, plone.schemaeditor, plone.session, plone.supermodel, plone.testing, plone.theme, plone.versioncheck, plonecli, plonetheme.barceloneta",2017-01-01,2017-12-31
py76,570,92,1,mauritsvanrees,73,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, five.intid, jenkins.plone.org, mockup, papyrus, plone.api, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.widgets, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.dexterity, plone.event, plone.formwidget.namedfile, plone.formwidget.querystring, plone.memoize, plone.namedfile, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.scale, plone.subrequest, plone.testing, plone.theme, plone.transformchain, plonetheme.classic",2017-01-01,2017-12-17
starzel,374,73,1,pbauer,50,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.Marshall, Products.PlacelessTranslationService, Products.PlonePAS, Products.contentmigration, Products.statusmessages, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, five.intid, planet.plone.org, plone.api, plone.app.blob, plone.app.caching, plone.app.contentlisting, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.folder, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.referenceablebehavior, plone.app.relationfield, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.workflow, plone.app.z3cform, plone.dexterity, plone.login, plone.namedfile, plone.portlet.static, plone.recipe.zope2instance, plone.rfc822, plone.schemaeditor, plone.supermodel, plone.testing, plone.theme, plone.z3cform, plonetheme.barceloneta, training",2017-01-29,2017-12-17
syslab,353,269,3,"ale-rt, svx, thet",65,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.MimetypesRegistry, Products.contentmigration, archetypes.referencebrowserwidget, archetypes.schemaextender, archive.plone.org, bobtemplates.plone, buildout.coredev, documentation, guillotina, mockup, papyrus, plone.api, plone.app.blob, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.folder, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.dexterity, plone.docker, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.instanceprofiling, plone.locking, plone.namedfile, plone.patternslib, plone.portlet.collection, plone.protect, plone.recipe.zope2instance, plone.resource, plone.rfc822, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.testing, plone.versioncheck, plonecli, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto",2017-01-08,2017-12-31
freitag,316,53,1,gforcada,37,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.statusmessages, buildout.coredev, collective.indexing, diazo, documentation, jenkins.plone.org, mr.roboto, plone.api, plone.app.caching, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.discussion, plone.app.linkintegrity, plone.app.multilingual, plone.app.upgrade, plone.app.workflow, plone.autoform, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.login, plone.memoize, plone.namedfile, plone.outputfilters, plone.protect, plone.recipe.codeanalysis, plone.testing, plone.tiles, plone.uuid, plone_best_practices_discussion",2017-01-01,2017-12-31
university-jyvaskylä,258,59,1,datakurre,27,"Products.CMFPlone, Products.statusmessages, buildout.coredev, mockup, papyrus, plone.app.blocks, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.drafts, plone.app.mosaic, plone.app.multilingual, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.z3cform, plone.autoform, plone.formwidget.namedfile, plone.jsonserializer, plone.namedfile, plone.subrequest, plone.supermodel, plone.themepreview, plone.tiles",2017-01-01,2017-12-17
