username,years_active,total_commits,total_prs
justdaksh,2023,0,1
Kaku-g,2023,2,2
keeganwitt,"2023, 2024",48,0
kevinpollet,2024,7,0
kHAPPY2004,"2023, 2024",4,4
kikito,"2023, 2024",12,0
kittauri,2025,52,16
kozlovic,2023,4,0
kreafox,"2023, 2024, 2025",4,4
krissik,"2024, 2025",1,2
kshitiz305,2023,5,1
ksuess,"2023, 2024, 2025",355,129
KVS85,"2023, 2024",31,0
lachlan-roberts,"2023, 2024",15,0
laulaz,"2023, 2024",9,6
LaurentGoderre,"2023, 2024",59,0
ldez,"2023, 2024",18,0
legoktm,"2023, 2024",6,0
lenadax,2023,21,4
leochr,"2023, 2024",5,0
LeoColomb,"2023, 2025",2,0
lfrancke,2023,1,0
libargutxi,"2023, 2024",103,18
Llewellynvdm,"2023, 2024",28,0
loechel,2023,1,1
lord2anil,2023,15,5
lorstenoplo,"2023, 2024",2,2
lutkerd,"2023, 2024",8,0
luxcas,2023,2,2
lyralemos,2025,2,1
m-dango,"2023, 2024",7,0
macagua,"2023, 2024, 2025",24,9
maethu,"2023, 2025",6,5
malthe,2023,3,2
mamico,"2023, 2024, 2025",69,29
Manas-Kenge,"2024, 2025",26,16
Manice18,2023,2,2
Manik-Khajuria-5,2025,3,6
manuelleduc,"2023, 2024",7,0
margaridasp,2023,0,2
markjameswill,2023,1,0
masipcat,2023,2,0
masonbrothers,2024,1,0
matriv,"2023, 2024",26,0
mauritsvanrees,"2023, 2024, 2025",5904,535
MAX-786,"2023, 2024",41,12
mbarde,"2023, 2024",8,3
mbrodala,2025,2,0
mcoberly2,"2023, 2024, 2025",12,0
mdeggies,2023,1,0
me-kell,2023,2,1
mehedikhan72,2023,2,2
mflorea,"2023, 2024",7,0
mfussenegger,2023,2,0
mhocouchbase,"2023, 2024",6,0
mholt,2023,1,0
michaelzangl,2024,1,0
michitux,"2023, 2024",9,0
MihaelaCretu11,2023,4,4
mikaelarguedas,"2023, 2024",22,0
mikejmets,2023,5,3
mikelococo,2024,1,0
milosgajdos,"2023, 2024",8,0
miropaananen,2024,0,1
mkleen,2023,1,0
mladlow,2023,5,0
mliebischer,2023,6,2
mmatur,"2023, 2024, 2025",9,0
mmoqui,"2023, 2024",5,0
Molochem,"2023, 2024",28,12
MorgusLethe,2024,1,0
MostafaMagdyy,2024,2,2
mpellerin42,"2023, 2024, 2025",87,87
MrTango,"2023, 2024, 2025",570,34
mtoepfl,2023,0,1
muditchoudhary,2024,2,1
Muscraft,2024,12,0
Myasuka,2023,2,0
Narcis2005,2025,4,4
narkedi,"2023, 2024",11,0
nathancoleman,2023,3,0
navyau09,2024,6,0
ncopa,"2023, 2024",26,0
nduka-junior,2023,1,1
NeilHanlon,2023,3,0
nickva,2023,5,0
nicolas-albert,"2023, 2024",15,0
niheconomoum,2023,1,0
nilbacardit26,"2023, 2024, 2025",96,27
nileshgulia1,"2023, 2024, 2025",53,39
nilootpal,2023,2,2
ninanoleto,2023,0,1
Noobham,2023,2,2
nupplaphil,"2023, 2024",14,0
nzambello,2023,2,3
oanalavinia,"2023, 2024",8,0
Obirvalger,"2023, 2024",3,0
ompharate,2025,2,4
operramon,"2023, 2024, 2025",15,15
oxpa,"2023, 2024",4,0
parruc,2025,3,1
pbauer,"2023, 2024, 2025",187,73
Petchesi-Iulian,2023,5,3
PeterDaveHello,2024,3,0
petschki,"2023, 2024, 2025",2409,444
pgrunewald,"2023, 2024, 2025",22,9
pilz,2025,2,1
plebcity,2024,6,0
pnicolli,"2023, 2024, 2025",74,128
polyester,"2023, 2024, 2025",19,1
pothitos,2024,1,0
powersj,"2023, 2024",40,0
pratyush07-hub,2025,6,8
Prince0906,2024,2,2
PriyanshuRj,2023,2,1
pulkitxm,2024,2,2
purniiiima,2025,1,1
pvinh-spike,"2023, 2024",28,0
rakshith6404,2023,3,1
ralight,2023,4,0
Raman-Luhach,2024,2,2
rassie,"2023, 2024",2,0
Ravi-kumar9347,"2023, 2024",4,4
razvanMiu,"2023, 2024",9,11
rber474,"2023, 2024, 2025",32,4
rbioteau,"2023, 2024",4,0
rboixaderg,"2023, 2024, 2025",21,18
RealCLanger,"2023, 2024",10,0
reebalazs,"2023, 2025",14,16
reinhardt,2024,10,5
reinout,2024,8,2
rexalex,2023,0,2
rgithubli,"2023, 2024",3,0
rishabhv471,2023,10,1
rmetzger,2023,1,0
rnixx,2023,5,3
robgietema,"2023, 2024, 2025",124,47
rohnsha0,"2024, 2025",145,22
rtribotte,"2023, 2024",12,0
Rudometov,"2023, 2024",3,0
rzo1,2024,6,0
sabrina-bongiovanni,"2023, 2024, 2025",12,18
SaiRev0,2023,10,8
Sakoes,2024,2,1
sampaiodiego,"2023, 2024",16,0
samriddhi99,2024,4,1
SaraBianchi,"2023, 2024, 2025",13,5
SarthakPaandey,2024,1,1
satyam4p,2023,2,2
sauzher,"2024, 2025",1,2
scriptmonkey,"2023, 2024",4,0
sdelcourt,2023,0,1
seut,"2023, 2024",5,0
sfackler,2023,17,0
shahmishal,"2023, 2024",12,0
Shauryan0207,2025,0,1
Shibbu264,2023,2,2
Shyam-Raghuwanshi,2025,8,12
silviubogan,2025,6,8
Simran-B,"2023, 2024, 2025",3,0
sktomer,"2023, 2024",5,0
sl-team,"2023, 2024",17,0
sneridagh,"2023, 2024, 2025",2305,1820
sortie,2023,6,0
spereverde,2024,1,1
steffenri,"2023, 2024",4,4
stevepiercy,"2023, 2024, 2025",2757,860
sudhanshu1309,2023,4,4
suman9893,2023,6,6
surli,"2023, 2024",9,0
suryadev99,2023,2,1
sverbois,"2023, 2025",8,4
svx,2024,2,2
sxa,"2023, 2024",4,0
szakitibi,"2023, 2024, 2025",23,8
tarleb,2023,3,0
TechSubham,"2024, 2025",4,4
tedw87,"2023, 2024, 2025",17,28
terapyon,2025,0,2
