username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,855,164,82,"Plone, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, buildout.coredev, collective.monkeypatcher, demo.plone.org, diazo, documentation, five.intid, meta, mr.roboto, plone-backend, plone.api, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.behavior, plone.dexterity, plone.distribution, plone.exportimport, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.jenkins_node, plone.locking, plone.memoize, plone.namedfile, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.releaser, plone.rest, plone.restapi, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.testing, plone.theme, plone.tiles, plone.volto, plone.z3cform, plonetheme.barceloneta, volto",2025-01-05,2025-07-27
stevepiercy,490,138,18,".github, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, meta, plone-backend, plone-frontend, plone-sphinx-theme, plone-zeo, plone.api, plone.exportimport, plone.namedfile, plone.restapi, training, volto",2025-01-05,2025-08-17
petschki,446,103,24,"Products.CMFEditions, Products.CMFPlone, buildout.coredev, demo.plone.org, documentation, meta, mockup, plone.app.contentrules, plone.app.contenttypes, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.vocabularies, plone.app.z3cform, plone.jenkins_node, plone.restapi, plone.schemaeditor, plone.staticresources, plone.tiles, plonetheme.barceloneta",2025-01-12,2025-07-27
davisagli,433,82,28,"2023.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, meta, plone-backend, plone.api, plone.app.caching, plone.app.content, plone.app.dexterity, plone.app.discussion, plone.app.iterate, plone.app.multilingual, plone.behavior, plone.distribution, plone.exportimport, plone.namedfile, plone.org, plone.rest, plone.restapi, plone.volto, tagung.plone.de, volto",2025-01-05,2025-08-17
gforcada,282,61,84,"Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PortalTransforms, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.folder, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.registry, plone.resource, plone.restapi, plone.rfc822, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.volto",2025-01-05,2025-08-17
sneridagh,180,179,11,"2025.ploneconf.org, buildout.coredev, cookieplone-templates, demo.plone.org, documentation, plone-backend, plone-frontend, plone.i18n, plone.restapi, plone.volto, volto",2025-01-05,2025-07-13
MrTango,152,18,15,"bobtemplates.plone, copier-backend-addon, copier-zope-setup, documentation, plone-vs-snippets, plone.app.layout, plone.app.workflow, plone.base, plone.classicui, plone.gallery, plone.namedfile, plone.outputfilters, plone.restapi, plonecli, tagung.plone.de",2025-02-09,2025-08-17
fredvd,148,16,10,"2023.ploneconf.org, 2025.ploneconf.org, admin-team, mr.roboto, plone-backend, plone.de, plone.org, postgres2zodb, tagung.plone.de, volto",2025-01-05,2025-07-13
erral,139,55,18,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, documentation, mr.roboto, plone-backend, plone-vs-snippets, plone-vs-utilities, plone.app.layout, plone.app.multilingual, plone.app.z3cform, plone.namedfile, plone.restapi, plonecli, plonetheme.barceloneta, volto",2025-01-05,2025-08-10
ericof,122,41,14,"2025.ploneconf.org, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, meta, plone.distribution, plone.exportimport, plone.volto, repoplone, tagung.plone.de, volto",2025-01-12,2025-08-10
