organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,957,501,85,"AkshJain99, AlexBueckig, LeuAlmeida, LuisPalomo, NereaDM, Netroxen, Qiwn, Rotonen, TG1999, abosio, acsr, adam139, andbag, andreasma, avolkov, balavec, barcafa, batlock666, cillianderoiste, csenger, daniele-andreotti, dataflake, davilima6, dbitouze, dest81, dgroos, dhavlik, diefenbach, djowett-ftw, dwt, espenmn, fgrcon, frapell, idgserpro, inakip, jid, jmevissen, jordic, jugmac00, karannaoh, khink, krissik, lferran, lkttyagi, luca-bellenghi, lucid-0, macagua, marcus29200, mbaechtold, mbarde, mck9, miziodel, mtrebron, mzfr, nandanak, nazrulworld, niglesiaszingoni, nilshofer, nngu6036, nnnewb, oggers, parruc, patrickmonteiro, pigeonflight, pranshuchittora, pysailor, ramiroluz, raulclay, ritwikagarwal, rodfersou, sallner, saqibameen, skleinfeldt, staeff, sureshvv, telshock, timgates42, tschorr, ukretschmer, uwaiszaki, vangheem, viktordick, vinay72, vincero, woolyseal",64,"Installers-UnifiedInstaller, Plone, Products.CMFPlone, Products.PlonePAS, Products.contentmigration, ansible-playbook, ansible.plone_server, bobtemplates.plone, buildout.coredev, documentation, executioner, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_mailer, guillotina_prometheus, guillotina_rediscache, guillotina_s3storage, guillotina_statsd, jenkins.plone.org, mockup, pastanaga-angular, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.mosaic, plone.app.multilingual, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.upgrade, plone.app.versioningbehavior, plone.app.widgets, plone.behavior, plone.dexterity, plone.docker, plone.formwidget.datetime, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.jsonserializer, plone.memoize, plone.namedfile, plone.openid, plone.patternslib, plone.recipe.zope2instance, plone.restapi, plone.rfc822, plone.schemaeditor, plone.session, plone.staticresources, plone.testing, plonecli, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto, volto-reference-backend, zodbverify",2019-01-06,2019-12-29
PY76,858,76,1,mauritsvanrees,129,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, five.intid, mockup, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.multilingualbehavior, plone.openid, plone.outputfilters, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.scale, plone.schema, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.themepreview, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, training",2019-01-06,2019-12-22
kitconcept GmbH,519,321,9,"ericof, fredvd, iFlameing, jackahl, jaroel, robgietema, sneridagh, steffenri, tisto",25,"Plone, Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, buildout.coredev, documentation, pastanaga-icons, plone.api, plone.app.content, plone.app.contenttypes, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.testing, plone.app.theming, plone.app.vulnerabilities, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.rest, plone.restapi, plone.supermodel, plone.volto, training, volto",2019-01-06,2019-12-29
Klein & Partner,449,68,1,jensens,48,"Products.Archetypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.PortalTransforms, archetypes.multilingual, bobtemplates.plone, buildout.coredev, documentation, five.intid, plone.app.blocks, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.folder, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.referenceablebehavior, plone.app.relationfield, plone.app.standardtiles, plone.app.theming, plone.app.themingplugins, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.behavior, plone.dexterity, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.github, plone.namedfile, plone.patternslib, plone.portlet.collection, plone.portlets, plone.recipe.precompiler, plone.recipe.zope2instance, plone.rest, plone.session, plone.versioncheck, training, zodbverify",2019-01-06,2019-12-29
Salesforce,443,5,1,esteele,58,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.PlonePAS, archetypes.multilingual, buildout.coredev, diazo, five.intid, mockup, plone.api, plone.app.caching, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.redirector, plone.app.registry, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.i18n, plone.indexer, plone.memoize, plone.outputfilters, plone.protect, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.session, plone.staticresources, plone.subrequest, plone.testing, plone.tiles, volto",2019-01-06,2019-12-15
der Freitag,347,46,1,gforcada,84,"Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, borg.localrole, buildout.coredev, collective.indexing, diazo, five.intid, guillotina, jenkins.plone.org, mr.roboto, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.folder, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.autoform, plone.behavior, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.folder, plone.formwidget.namedfile, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.jsonserializer, plone.keyring, plone.locking, plone.memoize, plone.portlets, plone.protect, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.scale, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.z3cform, training",2019-01-06,2019-11-03
Starzel,293,103,2,"Gomez, pbauer",34,"Products.ATContentTypes, Products.CMFDiffTool, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.contentmigration, bobtemplates.plone, buildout.coredev, diazo, documentation, five.intid, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.dexterity, plone.recipe.zope2instance, plone.restapi, plone.testing, quickstart, training, volto",2019-02-03,2019-12-15
Derico,249,30,1,MrTango,16,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone-vs-snippets, plone.api, plone.app.blocks, plone.app.mosaic, plone.app.standardtiles, plone.app.tiles, plone.app.upgrade, plone.resourceeditor, plone.restapi, plone.staticresources, plone.subrequest, plonecli",2019-01-13,2019-11-24
Syslab,223,105,4,"ale-rt, reinhardt, svx, thet",40,"Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, buildout.coredev, docs-guide, documentation, five.intid, guillotina, mockup, planet.plone.org, plone-vs-snippets, plone.api, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.robotframework, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.dexterity, plone.i18n, plone.outputfilters, plone.patternslib, plone.protect, plone.recipe.zope2instance, plone.resourceeditor, plone.restapi, plone.schemaeditor, plone.staticresources, plone.testing, plonetheme.barceloneta, volto",2019-01-06,2019-12-29
Kombinat,174,41,1,petschki,23,"Products.CMFPlone, buildout.coredev, plone.app.blocks, plone.app.caching, plone.app.contenttypes, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.textfield, plone.app.tiles, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.jsonserializer, plone.outputfilters, plone.recipe.zope2instance, plone.restapi, plone.testing, plone.z3cform",2019-02-03,2019-12-01
