username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
sidnei,124,0,3,"Products.Archetypes, Products.CMFQuickInstallerTool, Products.PlacelessTranslationService",2004-01-11,2004-11-28
jensens,79,0,2,"Products.Archetypes, Products.CMFQuickInstallerTool",2004-01-25,2004-12-26
limi,64,0,4,"Products.Archetypes, Products.CMFQuickInstallerTool, Products.PlacelessTranslationService, Products.PloneLanguageTool",2004-01-04,2004-11-14
stefanholek,30,0,3,"Products.Archetypes, Products.CMFQuickInstallerTool, Products.PloneLanguageTool",2004-02-15,2004-11-21
xiru,10,0,1,Products.Archetypes,2004-05-23,2004-08-22
baekholt,8,0,2,"Products.Archetypes, Products.PloneLanguageTool",2004-02-01,2004-09-12
bobdobbs666,8,0,1,Products.Archetypes,2004-07-25,2004-08-22
geoff-davis,8,0,1,Products.Archetypes,2004-02-08,2004-07-18
gotcha,8,0,2,"Products.Archetypes, Products.PloneLanguageTool",2004-05-30,2004-12-19
bitranch,5,0,1,Products.Archetypes,2004-03-28,2004-05-02
mcdonc,4,0,1,Products.Archetypes,2004-03-21,2004-03-21
joelburton,4,0,2,"Products.Archetypes, Products.PlacelessTranslationService",2004-02-08,2004-08-08
jodok,3,0,2,"Products.Archetypes, Products.PloneLanguageTool",2004-04-18,2004-10-17
