organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
starzel,214,29,2,"pbauer, tlotze",31,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, documentation, plone.api, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.lockingbehavior, plone.app.referenceablebehavior, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.dexterity, plone.recipe.zope2instance, plone.stringinterp, plone.supermodel, training",2016-01-03,2016-10-23
4teamwork,135,53,4,"buchi, elioschmutz, jone, lukasgraf",5,"collective.indexing, plone.dexterity, plone.formwidget.contenttree, plone.rest, plone.restapi",2016-01-03,2016-12-04
agitator,96,19,1,agitator,12,"Products.CMFPlone, buildout.coredev, plone.app.blocks, plone.app.contenttypes, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.standardtiles, plone.app.upgrade, plone.formwidget.autocomplete, plonetheme.barceloneta, training",2016-01-17,2016-12-18
tkimnguyen,90,21,1,tkimnguyen,13,"Products.CMFPlone, buildout.coredev, documentation, planet.plone.org, plone.api, plone.app.dexterity, plone.app.layout, plone.app.mosaic, ploneconf2016.policy, ploneorg.core, ploneorg.theme, sphinxtheme.plone, training",2016-01-31,2016-12-18
dbain,52,1,1,pigeonflight,3,"bobtemplates.plone, plonetheme.barceloneta, training",2016-02-28,2016-10-16
polyester,50,17,1,polyester,9,"bobtemplates.plone, buildout.coredev, documentation, papyrus, plone.app.robotframework, plone.restapi, ploneorg.core, ploneorg.theme, sphinxtheme.plone",2016-04-03,2016-11-20
tschorr,49,9,1,tschorr,8,"Products.Archetypes, Products.CMFEditions, Products.CMFPlone, buildout.coredev, plone.app.linkintegrity, plone.protect, plone.recipe.zope2instance, training",2016-01-17,2016-11-27
eau-de-web,45,10,2,"avoinea, ichim-david",4,"buildout.coredev, plone.app.collection, plone.docker, plone.stringinterp",2016-01-31,2016-10-09
pretaweb,36,32,2,"djay, djowett",9,"Products.LinguaPlone, ansible-playbook, ansible.plone_server, archetypes.multilingual, documentation, plone.app.layout, plone.app.multilingual, plone.locking, training",2016-02-21,2016-12-25
imio,33,29,3,"bsuttor, gbastien, gotcha",15,"Products.CMFPlone, Products.LinguaPlone, Products.contentmigration, buildout.coredev, plone.api, plone.app.contenttypes, plone.app.event, plone.app.form, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.upgrade, plone.app.vocabularies, plone.app.z3cform, plone.formwidget.querystring",2016-02-14,2016-11-27
derico,30,5,1,MrTango,7,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, documentation, plone.app.multilingual, training",2016-02-14,2016-10-23
stevepiercy,16,5,1,stevepiercy,1,training,2016-11-06,2016-11-13
codesyntax,11,4,1,erral,3,"Products.LinguaPlone, plone.app.multilingual, plone.restapi",2016-02-28,2016-11-06
affinitic,11,4,2,"laulaz, mpeeters",7,"bobtemplates.plone, buildout.coredev, documentation, plone.app.caching, plone.app.dexterity, plone.behavior, plone.formwidget.datetime",2016-01-03,2016-09-25
macagua,8,1,1,macagua,3,"planet.plone.org, plone.app.blob, training",2016-05-15,2016-08-21
frapell,7,2,1,frapell,3,"Products.CMFDiffTool, buildout.coredev, plone.app.event",2016-02-21,2016-09-11
cms-com,6,9,1,terapyon,5,"Installers-UnifiedInstaller, Products.CMFPlone, documentation, mockup, plone.app.content",2016-02-14,2016-05-29
cosent,3,4,1,gyst,3,"Products.CMFPlone, buildout.coredev, plonetheme.barceloneta",2016-02-21,2016-09-25
iham,3,11,1,iham,7,"Products.CMFEditions, Products.CMFPlone, buildout.coredev, plone.app.iterate, plone.app.multilingual, plone.app.workflowmanager, plone.supermodel",2016-03-06,2016-05-22
kombinat,3,6,1,petschki,3,"mockup, plone.app.content, plone.app.widgets",2016-04-10,2016-11-06
zest,1,0,1,jladage,1,plone.formwidget.namedfile,2016-03-13,2016-03-13
minddistrict,0,6,1,icemac,4,"buildout.coredev, documentation, plone.app.testing, plone.testing",,
university-tu-dresden,0,3,1,pgrunewald,3,"documentation, plone.formwidget.contenttree, plone.outputfilters",,
zopyx,0,1,1,zopyx,1,plone.app.layout,,
