organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
kitconcept,14937,3750,16,"ThomasKindermann, Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, jnptk, reebalazs, robgietema, sneridagh, steffenri, tisto",180,".github, 2023.ploneconf.org, 2024.ploneconf.org, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, admin-team, ansible-playbook, ansible.plone_server, archetypes.multilingual, archetypes.referencebrowserwidget, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, code-analysis-action, code-quality, collective.indexing, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone, cookieplone-templates, critical-css-cli, demo.plone.org, diazo, documentation, guillotina, helm-charts, jenkins.plone.org, meta, mockup, mr.roboto, old_plone.org, papyrus, pastanaga, pastanaga-angular, pastanaga-icons, planet.plone.org, plone-backend, plone-frontend, plone-zeo, plone.alterego, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.de, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.i18n, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.locking, plone.memoize, plone.namedfile, plone.nl, plone.openid, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.restapi-angular, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.volto, plone.z3cform, ploneconf.org, ploneconf2016.policy, plonectl, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, quanta-icons, setup-plone, training, vite-playground, volto, volto-addon-ci, volto-quanta, volto-quanta-project, volto-reference-backend, voltocms.com","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2015-01-04,2024-12-15
py76,14812,1499,1,mauritsvanrees,175,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneHotfix20210518, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, classic-ui-team, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, demo.plone.org, diazo, documentation, experimental.publishtraverse, five.intid, jenkins.plone.org, meta, mockup, mr.roboto, papyrus, planet.plone.org, plone-backend, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.multilingualbehavior, plone.namedfile, plone.openid, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.themepreview, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, setup-plone, training, volto, zodbverify","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2015-03-01,2024-12-15
Independent,6887,3989,632,"07tAnYa, 1bsilver, 2silver, 3dogMcNeill, Aarav238, Abhishek-17h, AbhishekCS3459, AdarshRawat1, Adityaadpandey, AkshJain99, Akshat2Jain, AlexBueckig, Ananyasingh2002, AndreasJonsson, Ankuristic, AnneGilles, AnshulKahar2729, Aryan8912, Atharvp01, AuroreMariscal, Azzam1503, Bad-Request, BhardwajAditya-github, BhavishyaSahay, BhuvaneshPatil, CaffeinatedStud, CannedShroud, CoyoteClear340, DhanushShettyH, DieKatze, Dnouv, EshaanAgg, Faakhir30, FarooqAlaulddin, Fosten, FreakForever, FritzHoing, Frs2304, Gagaro, GerardRodes, GhitaB, Gomez, Harshit-7373, HarshitVashisht11, Hrittik20, HyperDanisH, IshaanDasgupta, JASIM0021, Jiang-Jian-Lin, Junko-Takeguchi, KUNDAN1334, Kaku-g, KartikBudania, Keval404, Killthebug, KshitizRana, LF406353, Lakshay1509, LakshyaRoy, LeuAlmeida, LeviBroadnax, LuisPalomo, MAX-786, Manancode, Manas-Kenge, Mandy767, Manice18, MarcoCouto, MarkusMayer, Martronic-SA, MatthewWilkes, Mattiullah134, MihaelaCretu11, MoazMirza-13, MohammadBinAftab, Molochem, Monu01123, MostafaMagdyy, MuktiMishra, Narottamchy, NereaDM, Netroxen, Nimo-19, Nishannb, Noobham, NutNick31, OmkarMishr, OnnaRob, PrasannaGadalGIT, Prince0906, PriyanshuRj, Pulkitxm, Qiwn, Raghvendra9402, Raman-Luhach, Ravi-kumar9347, Rico29, Rishith-S, RobZoneNet, Rotonen, Rudd-O, Sadeedpv, SaiRev0, SajidCurious, Sakoes, SaraBianchi, SarthakPaandey, SayanDeveloper, Schemata, Shibbu264, Shivaji2808, Shriyanshagro, Sonamla1797, SteffenKockel, SyZn, TC5022, TG1999, TajAlasfiyaa, TakCastel, TechSubham, ThibautBorn, ThisisMS11, Thokas, TrellixVulnTeam, UnaiEtxaburu, Vansh-Baghel, VarunMotiyani, VaysseB, VedantRaut-sudo, Viratsingh527, Vivek-04022001, VrajRP2004, WnP, Xhale1, ZubairImtiaz3, aadarsh-nagrath, aadityaforwork, aashimgarg, aayushsanghavi, abhay-dev2901, abhinaisai2002, ableeb, abosio, acatlla, achimwilde, aclark4life, acsr, adam139, adamcheasley, adaugherity, aditi028, agan-k, agentcoops, agroszer, ajayns, ajmalwali7, akshatgarg12, albertcasado, albertduran, aleGpereira, alecghica, alecpm, alexnuttinck, alihamza1221, aliomarmohamed, allcaps, allusa, andbag, andreasma, andreesg, andreiggr, aniket7r, animus888, anirudhhkashyap, anish-patro, antedotee, anton-lin, anukaal, anuyens, aormazabal, arky, arsenico13, aryamanpuri, aryan7081, askadityapandey, asthemus, athomerson, avimishra18, avolkov, awello, b0n, b4oshany, badrivlog, balavec, barcafa, basvanberckel, batlock666, bduncan137, benniboy, bernhardreiter, bipoza, bogdangi, braytonosg, brunobbbs, bsnizek, busykoala, callpri, calvinhp, casdr, cdevienne, cdw9, cedricmessiant, cewing, cguardia, chaoflow, chirayu-humar, chubchik, cihanandac, cillianderoiste, cjsteel, cjwatson, claytonc, cleberjsantos, codic-yeeshu, colinpade, craftsbyshuvro, csenger, curiousyuvi, daggelpop, daguar, dals83, damiDev8, danboggins, danielamormocea, daniele-andreotti, danmur, david-batranu, davidemoro, davidjb, davilima6, davisagli2, dbitouze, ddokter, deankarlen, deepanshu202002, demarant, deodorhunter, deruosi, dest81, dev-cj, devdanzin, dgroos, dgsmith2, dhavlik, dheerajk2003, dhruvgupta0503, dhruvkhattar, diefenbach, digitalnaSRB, displacedaussie, djowett-ftw, dmanchon, dmunicio, do3cc, domruf, duchenean, dwt, eikichi18, ekulos, encolpe, enkidulan, erikriver, espenmn, ewohnlich, ezvirtual, fabiorauber, falgunmpatel, faro76, faustoonna, fazalsulaiman, fdiary, fgrcon, fhelmberger, fossabot, frisi, fschulze, fulv, gamboz, garbas, gaudenz, gauravsingh94, geier, ghnire, ghost, gil-cano, gitcarbs, gitter-badger, gnafou, goschtl, gvizdyk, h-khkh, hackerkid, hanirok, hannosch, hazigabriel, hemant-hc, hersonrodrigues, hgarus, himanshu81494, hipertracker, hirokiky, htgoebel, huubbouma, hvelarde, iamAyushChamoli, ida, idgserpro, inakip, ionutgrigorescu, ishk9, ivanteoh, j-craig, j-durbin, jackBzzz, jairhenrique, janga1997, janjaapdriessen, janwijbrand, javiermolinar, jcbrand, jcerjak, jean, jeanferri, jeffheinrichs, jenkins-plone-org, jessesnyder, jfroche, jhgouveia, jianaijun, jid, jihaisse, jimbiscuit, jimfulton, jlp0328, jmevissen, jnns, jochumdev, joka, jordic, jordnV, jotare, jpgimenez, ju55i, jugmac00, julianhandl, julienCarret, justdaksh, k-j-kleist, kHAPPY2004, kakshay21, kanhaiya04, karalics, karannaoh, kcleong, kd1729, keul, khanstark, khink, kiorky, knight-95, kreafox, krissik, kshitiz305, ktsrivastava29, kuetrzi, kushfs, kyle-widmann, l00ptr, l34marr, ladplone, laithmassoud, lccruz, ldaverio, lellex, lenadax, lentinj, leplatrem, lferran, lkttyagi, llisa123, loechel, lord2anil, lorstenoplo, lowks, lrowe, ltakens, luca-bellenghi, lucid-0, lukebrannon, luxcas, lyralemos, lzdych, maartenkling, maethu, malikrohit16, malloxpb, malthe, marciomazza, marcus29200, marcyang001, margaridasp, martior, marwanatef2, mattss, mbaechtold, mbarde, mcasagrande18, mck9, mdsahiloss, me-kell, mehedikhan72, meshde, metatoaster, mgedmin, michaellaunay, mihai-macaneata, mihaislobozeanu, mikejmets, mikkohu, miohtama, miropaananen, mitakas, miziodel, movermeyer, mr-rob, mrcrilly, mrsaicharan1, mtoepfl, mtrebron, muditchoudhary, mzfr, nandanak, navyn13, nazrulworld, ndmaratha, nduka-junior, nehsus, neilferreira, newbazz, nightmarebadger, niglesiaszingoni, nilootpal, nilshofer, nimishmedatwal, ninanoleto, njomzaav, nngu6036, nnnewb, npmcdn-to-unpkg-bot, obct537, odidev, oggers, operramon, oz123, pabo3000, pandeyprashant123-coder, parruc, patrickmonteiro, paulrentschler, perrinjerome, petri, pfreixes, pkariz, prakharjoshi, pranayjoshi, pranshuchittora, prithvi009, priyansh71, psanlorenzo, puittenbroek, pysailor, pyup-bot, rabahalishah, rafaelbco, raghavKasyap, rahilhastu, rakshith6404, ramiroluz, ranjeetrai07, raphael-ritz, raulclay, ravjot07, razvanMiu, rber474, retr0717, retsu, rexalex, reyha, rfleschenberg, rhl-bthr, rigarash, rioksane, rishabhv471, rishuraj1, ritwikagarwal, rnicola-1605, rnixx, rnunez80, robbuh, robdayz, robinsjm2, rockfruit, rodfersou, rosehosting, rristow, rstefko, rudaporto, sabrina-bongiovanni, sah246ir, sahilkodwani08, saily, sallner, samriddhi99, sans-byte, santonelli, saqibameen, satisshhhhhh, satyam4p, sauzher, sboghy, sdelcourt, seanupton, sebasgo, serge73, sgeulette, sgrepos, shadowmint, shashuat, shentonfreude, sherpya, shiven16, shotat, shubhamtalesara, sif77, silviot, silviubogan, simahawk, simon-previdente, singhcoder694, sitanshu05, skleinfeldt, skurfer, smcmahon, sonawanemaitreya, staeff, stefanfoulis, streaps, sudhanshu1309, suman9893, sumukhah, sunew, sureshvv, suryadev99, suyashrastogi7, sverbois, takanory, talarias, tareqalam, tcurvelo, tdesvenain, techdev5521, tedw87, telshock, tesudesu, thomlamb, thyarles, tianon, timgates42, timitos, tjprescott, tmog, toalba, tobiasherp, tomgross, tsimkins, tulikavijay, tuticapi, ujjwaleee26, ujjwalpathaak, ukretschmer, untitaker, uranusjr, utkkkarshhh, uwaiszaki, valentinab25, valipod, vanshdeepsingh-coder, vedantc98, veit, veritazx, vermavaishnav70, victorchrollo14, vikas-parashar, vikashsprem, viktordick, vinay72, vincentfretin, vincero, vipod, vipulgupta28, viveak910, vivekptnk, vkarppinen, vmaksymiv, waffle-iron, waghanza, winniehell, winstonf88, witekdev, wolbernd, woolyseal, xiru, yahya-cloud, yashmangal112, yboussard, yleclanche, zemm, zmijunkie, zotya, zupo, zworkb, zylinx",202,"2023.ploneconf.org, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, ansible-playbook, ansible.plone_server, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, blocks-conversion-tool, bobtemplates.plone, borg.localrole, buildout.coredev, collective.indexing, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone, cookieplone-templates, critical-css-cli, diazo, documentation, executioner, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_rediscache, guillotina_s3storage, helm-charts, jenkins.plone.org, meta, mockup, mr.roboto, papyrus, pastanaga, pastanaga-angular, pastanaga-icons, planet.plone.org, plone-backend, plone-frontend, plone-haproxy, plone-vs-snippets, plone-zeo, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.themingplugins, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.base, plone.batching, plone.behavior, plone.cachepurging, plone.caching, plone.com-static, plone.contentrules, plone.de, plone.dexterity, plone.docker, plone.dotfiles, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.hcaptcha, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.github, plone.github.io, plone.i18n, plone.instanceprofiling, plone.intelligenttext, plone.jsonserializer, plone.locking, plone.memoize, plone.namedfile, plone.nl, plone.openid, plone.org, plone.outputfilters, plone.patternslib, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.codeanalysis, plone.recipe.unifiedinstaller, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.restapi-angular, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.versioncheck, plone.volto, plone.z3cform, plone_best_practices_discussion, plonecli, ploneconf.org, ploneconf2016.policy, plonedev.vagrant, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, quickstart, sphinxtheme.plone, training, volto, volto-addon-ci, volto-reference-backend, zodbverify","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2015-01-04,2024-12-15
freitag,5946,1149,1,gforcada,173,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, ansible-playbook, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.indexing, collective.monkeypatcher, cookiecutter-zope-instance, diazo, documentation, five.intid, guillotina, jenkins.plone.org, meta, mockup, mr.roboto, planet.plone.org, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.hcaptcha, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.github, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.jsonserializer, plone.keyring, plone.locking, plone.login, plone.memoize, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plone_best_practices_discussion, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.sunburst, setup-plone, training","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2015-01-11,2024-12-22
kleinundpartner,5333,877,1,jensens,155,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, documentation, five.intid, helm-charts, meta, mockup, mr.roboto, old_plone.org, papyrus, planet.plone.org, plone-backend, plone-frontend, plone.alterego, plone.api, plone.app.async, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.themingplugins, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.docker, plone.event, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.github, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.login, plone.namedfile, plone.org, plone.outputfilters, plone.patternslib, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.codeanalysis, plone.recipe.precompiler, plone.recipe.unifiedinstaller, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.versioncheck, plone.volto, plone.z3cform, plonecli, ploneorg.core, plonetheme.barceloneta, training, volto, zodbverify","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2015-01-11,2024-11-24
vangheem,4650,782,1,vangheem,78,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, archetypes.referencebrowserwidget, buildout.coredev, documentation, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_mailer, guillotina_prometheus, guillotina_rediscache, guillotina_s3storage, guillotina_statsd, mockup, planet.plone.org, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.cachepurging, plone.dexterity, plone.folder, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.locking, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.resource, plone.resourceeditor, plone.restapi, plone.schemaeditor, plone.staticresources, plone.subrequest, plone.theme, plone.tiles, plonetheme.barceloneta, training, volto","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2015-01-11,2022-05-15
