organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
eau-de-web,579,221,8,"Petchesi-Iulian, ana-oprea, avoinea, claudiaifrim, dobri1408, ichim-david, nileshgulia1, tiberiuichim",15,"Products.CMFEditions, Products.CMFPlone, buildout.coredev, critical-css-cli, documentation, pastanaga-icons, plone-backend, plone.docker, plone.namedfile, plone.rest, plone.restapi, plone.volto, training, volto, volto-addon-ci","2022, 2023, 2024",2022-01-02,2024-12-15
starzel,480,113,1,pbauer,44,"Plone, Products.CMFDiffTool, Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, demo.plone.org, documentation, old_plone.org, plone-backend, plone.api, plone.app.caching, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.base, plone.distribution, plone.exportimport, plone.org, plone.outputfilters, plone.portlet.collection, plone.reload, plone.restapi, plone.staticresources, plone.volto, plonetheme.barceloneta, training, volto","2022, 2023, 2024",2022-01-02,2024-12-15
codesyntax,453,217,3,"erral, ionlizarazu, libargutxi",37,"2023.ploneconf.org, Products.CMFPlone, Products.validation, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, documentation, jenkins.plone.org, mockup, plone-backend, plone-vs-snippets, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.distribution, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.nl, plone.restapi, plone.volto, plonecli, plonetheme.barceloneta, training, volto","2022, 2023, 2024",2022-01-23,2024-12-29
redturtle,302,243,8,"Wagner3UB, cekk, folix-01, giuliaghisini, mamico, nzambello, pnicolli, yurj",32,"Products.CMFPlone, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, mockup, plone-frontend, plone-zeo, plone.app.caching, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.querystring, plone.app.users, plone.dexterity, plone.distribution, plone.event, plone.namedfile, plone.org, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.scale, plone.staticresources, plone.volto, plonetheme.barceloneta, training, volto","2022, 2023, 2024",2022-01-02,2024-12-29
university-hospital-dresden,256,67,1,1letter,24,"Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, meta, mockup, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.upgrade, plone.app.widgets, plone.base, plone.portlet.collection, plone.restapi, plone.schemaeditor, plone.staticresources","2022, 2023, 2024",2022-02-13,2024-12-15
agitator,222,51,1,agitator,20,"Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone.app.blocks, plone.app.caching, plone.app.contentmenu, plone.app.contentrules, plone.app.dexterity, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.robotframework, plone.app.standardtiles, plone.base, plone.dexterity, plone.i18n, plone.staticresources, plonetheme.barceloneta","2022, 2023",2022-01-02,2023-01-22
nuclia,173,145,3,"bloodbare, ebrehault, mpellerin42",6,"documentation, guillotina, guillotina_gcloudstorage, pastanaga-angular, plone.org, volto","2022, 2023, 2024",2022-01-02,2024-11-03
serpro,136,114,1,wesleybl,21,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, code-quality, meta, plone-frontend, plone.app.contenttypes, plone.app.discussion, plone.app.iterate, plone.app.robotframework, plone.app.testing, plone.app.versioningbehavior, plone.formwidget.recaptcha, plone.rest, plone.restapi, plone.scale, plone.volto, training, volto, volto-addon-ci","2022, 2023, 2024",2022-04-10,2024-12-15
affinitic,98,44,2,"laulaz, mpeeters",18,"2023.ploneconf.org, Products.CMFPlone, buildout.coredev, mockup, plone.api, plone.app.caching, plone.app.content, plone.app.layout, plone.app.mosaic, plone.app.z3cform, plone.base, plone.formwidget.autocomplete, plone.gallery, plone.nl, plone.org, ploneconf.org, training, volto","2022, 2023, 2024",2022-01-09,2024-10-06
rohnsha0,87,21,1,rohnsha0,10,"Plone, Products.CMFPlone, buildout.coredev, plone.app.contentmenu, plone.app.theming, plone.app.vocabularies, plone.restapi, plone.volto, ploneorg.theme, sphinxtheme.plone","2022, 2024",2022-08-07,2024-10-13
iskra,78,36,3,"masipcat, nilbacardit26, rboixaderg",3,"guillotina, guillotina_elasticsearch, volto","2022, 2023, 2024",2022-03-13,2024-10-20
pretaweb,73,62,3,"JeffersonBledsoe, djay, instification",10,"helm-charts, plone.app.caching, plone.app.discussion, plone.app.querystring, plone.app.vulnerabilities, plone.namedfile, plone.rest, plone.restapi, training, volto","2022, 2023, 2024",2022-04-17,2024-12-01
esteele,73,4,1,esteele,18,"Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.PlonePAS, buildout.coredev, documentation, plone.api, plone.app.contentmenu, plone.app.dexterity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.workflow, plone.base, plone.dexterity, plone.restapi, plone.schemaeditor, plone.session, volto",2022,2022-07-17,2022-11-27
frapell,72,34,1,frapell,17,"Products.CMFPlone, buildout.coredev, mockup, plone.app.content, plone.app.contenttypes, plone.app.event, plone.app.mosaic, plone.app.portlets, plone.app.standardtiles, plone.app.theming, plone.app.workflow, plone.app.z3cform, plone.base, plone.dexterity, plone.schemaeditor, plone.staticresources, plonetheme.barceloneta","2022, 2023, 2024",2022-01-16,2024-03-03
tkimnguyen,67,17,1,tkimnguyen,7,"2023.ploneconf.org, 2024.ploneconf.org, documentation, plone-backend, plone.nl, ploneconf.org, training","2022, 2023, 2024",2022-05-15,2024-12-29
imio,41,23,3,"bsuttor, gbastien, gotcha",18,"2023.ploneconf.org, Products.ATContentTypes, Products.CMFPlone, Products.PortalTransforms, buildout.coredev, code-quality, plone.app.blocks, plone.app.contentlisting, plone.app.contenttypes, plone.app.discussion, plone.app.standardtiles, plone.app.themingplugins, plone.nl, plone.outputfilters, plone.recipe.zope2instance, plone.restapi, plone.testing, ploneconf.org","2022, 2023, 2024",2022-02-20,2024-10-20
academy-of-fine-arts-vienna,32,12,1,gogobd,6,"buildout.coredev, cookiecutter-zope-instance, plone.api, plone.app.mosaic, plone.app.multilingual, plone.event","2023, 2024",2023-01-08,2024-02-18
zest,27,3,1,jladage,3,"plone.app.layout, plone.app.upgrade, plone.base",2024,2024-03-24,2024-03-31
polyester,27,3,1,polyester,5,"Plone, documentation, papyrus, sphinxtheme.plone, training","2022, 2023, 2024",2022-01-09,2024-11-24
macagua,21,7,1,macagua,3,"plone.app.debugtoolbar, plone.restapi, volto","2022, 2023, 2024",2022-10-09,2024-02-18
university-jyvaskylä,16,4,1,datakurre,3,"buildout.coredev, plone.app.robotframework, volto","2022, 2023",2022-05-01,2023-06-25
tschorr,14,6,1,tschorr,7,"Products.CMFPlone, Products.PlonePAS, buildout.coredev, helm-charts, plone.app.contentlisting, plone.restapi, volto","2022, 2023, 2024",2022-01-02,2024-04-21
abstract,14,16,2,"gianniftp, szakitibi",12,"Products.CMFPlone, documentation, plone.app.contentmenu, plone.app.contenttypes, plone.app.layout, plone.app.multilingual, plone.app.registry, plone.app.z3cform, plone.batching, plone.registry, plone.staticresources, volto","2023, 2024",2023-10-01,2024-05-19
iham,12,2,1,iham,7,"Products.CMFPlone, buildout.coredev, plone.app.caching, plone.app.mosaic, plone.app.registry, plone.app.widgets, plone.app.z3cform",2022,2022-01-09,2022-09-11
