username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
garbas,832,0,21,"Products.CMFPlone, borg.localrole, buildout.coredev, mockup, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.querystring, plone.app.search, plone.app.tiles, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.formwidget.recurrence, plone.portlet.collection, plone.recipe.alltests, plone.recipe.zope2instance, plone.schemaeditor, plone.tiles, plonetheme.barceloneta, plonetheme.sunburst",2013-01-06,2013-12-08
esteele,819,3,83,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.ResourceRegistries, Products.contentmigration, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, diazo, mr.roboto, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.redirector, plone.app.registry, plone.app.search, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.cachepurging, plone.contentrules, plone.dexterity, plone.folder, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.i18n, plone.indexer, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.static, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.releaser, plone.resourceeditor, plone.rfc822, plone.scale, plone.schemaeditor, plone.session, plone.stringinterp, plone.supermodel, plone.testing, plone.transformchain, plonetheme.classic, plonetheme.sunburst",2013-01-06,2013-12-01
thet,793,6,25,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PloneTestCase, Products.ResourceRegistries, archetypes.multilingual, buildout.coredev, plone.api, plone.app.caching, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.event, plone.app.portlets, plone.app.testing, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.app.z3cform, plone.event, plone.formwidget.datetime, plone.formwidget.recurrence, plone.resourceeditor, plonetheme.sunburst",2013-01-06,2013-12-22
vangheem,504,1,28,"Products.Archetypes, Products.CMFPlone, buildout.coredev, diazo, mockup, planet.plone.org, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.debugtoolbar, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.querystring, plone.app.registry, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.autoform, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.resourceeditor, plonetheme.sunburst",2013-01-13,2013-12-15
datakurre,421,9,7,"Products.CMFPlone, buildout.coredev, plone.app.discussion, plone.app.multilingual, plone.app.robotframework, plone.app.testing, plone.app.widgets",2013-02-03,2013-11-17
davisagli,415,15,60,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PlonePAS, Products.PloneTestCase, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, jenkins.plone.org, mockup, plone.app.blob, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.querystring, plone.app.robotframework, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.cachepurging, plone.dexterity, plone.dotfiles, plone.formwidget.datetime, plone.formwidget.namedfile, plone.i18n, plone.namedfile, plone.outputfilters, plone.recipe.alltests, plone.rfc822, plone.schemaeditor, plone.session, plone.stringinterp, plone.supermodel, plone.testing, plone.theme",2013-01-13,2013-12-15
bloodbare,328,4,24,"Products.Archetypes, Products.CMFPlone, Products.PlacelessTranslationService, Products.PloneTestCase, archetypes.multilingual, buildout.coredev, jenkins.plone.org, mockup, mr.roboto, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.testing, plone.app.upgrade, plone.app.vulnerabilities, plone.app.z3cform, plone.multilingualbehavior, plonetheme.barceloneta",2013-01-20,2013-12-01
tisto,278,7,54,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlacelessTranslationService, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, jenkins.plone.org, mr.roboto, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.form, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.redirector, plone.app.robotframework, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.versioningbehavior, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.cachepurging, plone.dexterity, plone.event, plone.formwidget.datetime, plone.formwidget.querystring, plone.openid, plone.portlet.collection, plone.recipe.alltests, plone.recipe.codeanalysis, plone.schemaeditor, plone.supermodel, plone.theme, plonetheme.sunburst",2013-08-25,2013-12-22
dextermilo,222,3,2,"mockup, plone.app.widgets",2013-06-02,2013-10-06
smcmahon,187,3,17,"Installers-UnifiedInstaller, Products.CMFPlone, archetypes.referencebrowserwidget, buildout.coredev, mockup, planet.plone.org, plone.app.caching, plone.app.contentrules, plone.app.dexterity, plone.app.theming, plone.autoform, plone.formwidget.namedfile, plone.recipe.unifiedinstaller, plone.schemaeditor, plone.stringinterp, plone.supermodel, plonedev.vagrant",2013-01-06,2013-12-29
