organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
PY76,1325,226,1,mauritsvanrees,90,"Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, Products.isurlinportal, Products.validation, borg.localrole, buildout.coredev, demo.plone.org, diazo, documentation, five.intid, meta, mr.roboto, plone-backend, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.distribution, plone.exportimport, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.jenkins_node, plone.locking, plone.namedfile, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.rest, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.staticresources, plone.subrequest, plone.testing, plone.theme, plone.tiles, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, volto, zodbverify",2025-01-05,2025-12-28
der Freitag,630,291,1,gforcada,115,"Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, Products.validation, buildout.coredev, collective.monkeypatcher, cookieplone, cookieplone-templates, diazo, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.volto, plone.z3cform, plonetheme.barceloneta",2025-01-05,2025-12-14
kitconcept GmbH,627,638,13,"Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jnptk, kittauri, reebalazs, robgietema, sneridagh, tisto",55,"2023.ploneconf.org, 2025.ploneconf.org, Plone, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, form-block, meta, mr.roboto, plone-backend, plone-contributor-statistics, plone-frontend, plone-mcp, plone-vs-utilities, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.i18n, plone.app.iterate, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.querystring, plone.app.registry, plone.app.viewletmanager, plone.autoinclude, plone.base, plone.browserlayer, plone.cachepurging, plone.de, plone.dexterity, plone.distribution, plone.exportimport, plone.formwidget.namedfile, plone.i18n, plone.namedfile, plone.org, plone.portlet.static, plone.portlets, plone.registry, plone.rest, plone.restapi, plone.subrequest, plone.volto, repoplone, tagung.plone.de, training, volto",2025-01-05,2025-12-21
Independent,412,603,111,"1sh-repalto, Abhishek-17h, Anemaygi, AyushKatre05, Catherine358, DeekshaVarshney123, DinisDimitris, Faakhir30, Forla03, Fosten, Haiderkhan64, Harshit457, IsaacRoy, Kartikayy007, Manas-Kenge, Manik-Khajuria-5, Manikantan-S, ManojaD2004, MohammadBinAftab, Narcis2005, RishitModi, SaraBianchi, Shamonti, Shauryan0207, Shyam-Raghuwanshi, Sreevarsh-Mahesh, SumitSingh69, SuyashJain17, Swaim-Sahay, TechSubham, Thanush-03, Varadskulkarni2005, VarshanMaj1, VibhuGupta-dev, YashGupt29, YashasviniSingh, Yu-Hu-1909, aboycalledhero, acsr, adity1raut, akhileshdasari2004, alecghica, alexandreIFB, alizgirl, amankumar100, antcybersec, anushka-codes1, aryan7081, arybakov05, bluesky-adi, boss6825, calinvladth, cihanandac, codehashira99, dana-cfc4, dataflake, deodorhunter, dhruvak001, ewohnlich, frapell, gamboz, gil-cano, gummybearansh, harshanmateti, hello-Rahul24, irtisamsajin, iyush05, jatravi, javatcoding1, jeetsingh008, jyotimahato-12, krissik, lyralemos, macagua, maethu, mayur-driod, mister-roboto, mohit-nagaraj, ninanoleto, nithin01010, ompharate, operramon, parruc, praharsh777, pranshustuff, pratyush07-hub, purniiiima, ranjan103, ravi-aman, rnixx, rohnsha0, sabrina-bongiovanni, sauzher, shashank0470, silviubogan, stevepiercy, suhaibfida, superAman07, suuny-lab, swapanmandi, tarunchaudharydev, tazsq, tedw87, toropok, ujsquared, v0idheaven, valipod, verena-km, vigneshshiv28, vipod, weblate",49,".github, 2024.ploneconf.org, Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, guillotina, meta, mockup, pastanaga-angular, plone-frontend, plone-mcp, plone-sphinx-theme, plone-zeo, plone.api, plone.app.content, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.theming, plone.app.vocabularies, plone.base, plone.classicui, plone.distribution, plone.exportimport, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.locking, plone.namedfile, plone.org, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.restapi, plone.scale, plone.session, plone.volto, ploneorg.theme, plonetheme.barceloneta, tagung.plone.de, training, volto",2025-01-05,2025-12-28
Kombinat,345,156,1,petschki,31,"Products.CMFEditions, Products.CMFPlone, Products.validation, buildout.coredev, demo.plone.org, documentation, meta, mockup, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.base, plone.jenkins_node, plone.jsonserializer, plone.restapi, plone.scale, plone.schemaeditor, plone.staticresources, plone.tiles, plonetheme.barceloneta",2025-01-12,2025-12-21
Codesyntax,149,105,2,"erral, ionlizarazu",24,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, documentation, mockup, mr.roboto, plone-backend, plone-vs-utilities, plone.app.contenttypes, plone.app.discussion, plone.app.layout, plone.app.multilingual, plone.app.z3cform, plone.base, plone.formwidget.recaptcha, plone.namedfile, plone.org, plone.recipe.zeoserver, plone.restapi, plonecli, plonetheme.barceloneta, volto",2025-02-23,2025-12-21
Syslab,147,107,3,"ale-rt, pilz, thet",31,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, mockup, plone.api, plone.app.content, plone.app.contenttypes, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.portlets, plone.app.querystring, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.autoinclude, plone.base, plone.namedfile, plone.patternslib, plone.protect, plone.restapi, plone.staticresources, plone.volto, plone.z3cform, plonetheme.barceloneta, volto",2025-01-05,2025-11-30
Derico,145,18,1,MrTango,14,"bobtemplates.plone, copier-backend-addon, copier-zope-setup, documentation, plone.app.layout, plone.app.workflow, plone.base, plone.classicui, plone.gallery, plone.namedfile, plone.outputfilters, plone.restapi, plonecli, tagung.plone.de",2025-03-09,2025-10-26
Klein & Partner,39,6,1,jensens,6,"buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, documentation, plone.namedfile, plone.versioncheck",2025-01-05,2025-12-14
Uni. Hospital Dresden,15,22,1,1letter,11,"Products.CMFPlone, buildout.coredev, documentation, mockup, plone.app.layout, plone.app.multilingual, plone.app.robotframework, plone.app.upgrade, plone.base, plone.outputfilters, plone.schemaeditor",2025-02-16,2025-05-18
