organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,2530,595,116,"3dogMcNeill, AnneGilles, Gagaro, Killthebug, RobZoneNet, Schemata, aclark4life, acsr, adamcheasley, adaugherity, agentcoops, aleGpereira, alecghica, alecpm, allcaps, allusa, andreesg, athomerson, benniboy, bogdangi, braytonosg, brunobbbs, cedricmessiant, cewing, cguardia, cillianderoiste, claytonc, colinpade, daguar, danboggins, danmur, david-batranu, davidemoro, davidjb, davilima6, ddokter, dgroos, do3cc, domruf, ezvirtual, fgrcon, gaudenz, gil-cano, gvizdyk, hersonrodrigues, hgarus, htgoebel, huubbouma, hvelarde, ivanteoh, janjaapdriessen, jcbrand, jcerjak, jean, jeanferri, jihaisse, jochumdev, joka, jpgimenez, julianhandl, k-j-kleist, karalics, kcleong, keul, khink, kiorky, kuetrzi, l34marr, lentinj, lowks, ltakens, maartenkling, marciomazza, martior, metatoaster, mgedmin, mikejmets, miohtama, mitakas, mrcrilly, neilferreira, nightmarebadger, obct537, pabo3000, paulrentschler, petri, prakharjoshi, puittenbroek, pysailor, rafaelbco, raphael-ritz, retsu, rigarash, rockfruit, rodfersou, saily, seanupton, shadowmint, sif77, simahawk, staeff, sunew, sureshvv, takanory, tcurvelo, timitos, tmog, tsimkins, vangheem, vmaksymiv, waffle-iron, winstonf88, witekdev, yboussard, zupo, zylinx",101,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, ansible-playbook, ansible.plone_server, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, bobtemplates.plone, borg.localrole, buildout.coredev, diazo, documentation, mockup, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflowmanager, plone.app.z3cform, plone.batching, plone.cachepurging, plone.dexterity, plone.docker, plone.dotfiles, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.locking, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.codeanalysis, plone.recipe.unifiedinstaller, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.sunburst, training",2015-01-04,2015-12-27
kitconcept,2261,164,5,"davisagli, fredvd, jaroel, sneridagh, tisto",110,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, ansible-playbook, ansible.plone_server, archetypes.multilingual, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, collective.monkeypatcher, diazo, documentation, jenkins.plone.org, mockup, planet.plone.org, plone.api, plone.app.blob, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.dexterity, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.i18n, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.locking, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.schemaeditor, plone.session, plone.stringinterp, plone.subrequest, plone.testing, plone.theme, plone.z3cform, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, training",2015-01-04,2015-12-13
py76,1662,60,1,mauritsvanrees,132,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, documentation, mockup, papyrus, plone.alterego, plone.api, plone.app.blob, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.z3cform, plonetheme.barceloneta, plonetheme.sunburst, training",2015-03-01,2015-12-20
salesforce,1014,13,1,esteele,72,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.MimetypesRegistry, Products.PlonePAS, Products.ResourceRegistries, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, diazo, mockup, plone.api, plone.app.blob, plone.app.blocks, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.dexterity, plone.formwidget.recurrence, plone.i18n, plone.locking, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.protect, plone.releaser, plone.resourceeditor, plone.schemaeditor, plone.subrequest, plone.tiles, plone.z3cform, plonetheme.barceloneta",2015-01-18,2015-12-13
freitag,795,143,1,gforcada,72,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, collective.indexing, collective.monkeypatcher, documentation, jenkins.plone.org, mockup, mr.roboto, planet.plone.org, plone.alterego, plone.api, plone.app.blob, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.imaging, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vulnerabilities, plone.app.widgets, plone.app.z3cform, plone.browserlayer, plone.caching, plone.contentrules, plone.event, plone.formwidget.contenttree, plone.formwidget.recurrence, plone.github, plone.jenkins_node, plone.jenkins_server, plone.locking, plone.outputfilters, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.schema, plone.schemaeditor, plone.stringinterp, plone.theme, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, training",2015-01-11,2015-12-27
starzel,695,91,2,"Gomez, pbauer",43,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.MimetypesRegistry, Products.ResourceRegistries, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, documentation, jenkins.plone.org, mockup, plone.api, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.intid, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.robotframework, plone.app.theming, plone.app.upgrade, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.dexterity, plone.locking, plone.portlet.collection, plone.protect, plonetheme.barceloneta, training",2015-01-04,2015-12-13
university-jyvaskylä,667,40,1,datakurre,20,"Products.CMFPlone, buildout.coredev, documentation, mockup, papyrus, plone.app.blocks, plone.app.drafts, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.dexterity, plone.protect, plone.schemaeditor, plone.themepreview, plone.tiles",2015-01-18,2015-10-11
syslab,560,170,5,"ale-rt, pilz, reinhardt, svx, thet",47,"Installers-UnifiedInstaller, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.MimetypesRegistry, bobtemplates.plone, buildout.coredev, documentation, mockup, papyrus, planet.plone.org, plone.api, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.robotframework, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.versioningbehavior, plone.app.widgets, plone.app.z3cform, plone.batching, plone.cachepurging, plone.dexterity, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.memoize, plone.namedfile, plone.portlet.static, plone.resourceeditor, plone.scale, plone.schemaeditor, plone.testing, plone.z3cform, ploneorg.core, plonetheme.barceloneta, training",2015-01-04,2015-12-20
kleinundpartner,506,52,1,jensens,51,"Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.PlonePAS, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, papyrus, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.vocabularies, plone.behavior, plone.browserlayer, plone.dexterity, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.github, plone.intelligenttext, plone.namedfile, plone.registry, plone.resource, plone.resourceeditor, plone.schemaeditor, plone.session, plone.subrequest, plone.tiles, plone.z3cform, ploneorg.core, training",2015-01-11,2015-12-27
nuclia,423,54,2,"bloodbare, ebrehault",42,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.PlonePAS, archetypes.multilingual, buildout.coredev, diazo, documentation, mockup, mr.roboto, planet.plone.org, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.i18n, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.widgets, plone.app.workflowmanager, plone.i18n, plone.jenkins_server, plone.resourceeditor, plone.rest, plone.restapi, plone.schemaeditor, plone.theme, plonetheme.barceloneta",2015-01-04,2015-12-20
