number,title,author,state,created_at,updated_at,closed_at,repository,html_url
3058,Use Zope 5 in Plone 6,ale-rt,closed,2020-02-27,2020-11-09,2020-11-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3058
3053,"Pre-PLIP: autoinclude zcml, new style",mauritsvanrees,closed,2020-02-24,2021-10-20,2021-10-20,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3053
1104,Table of Contents,tisto,closed,2020-01-12,2020-03-21,2020-01-31,plone/volto,https://github.com/plone/volto/issues/1104
1095,plone.app.redirector support for Volto,tisto,closed,2020-01-08,2025-03-08,2022-10-02,plone/volto,https://github.com/plone/volto/issues/1095
1094,add customStyleMap for DraftJs Editor,giuliaghisini,closed,2020-01-07,2020-01-24,2020-01-24,plone/volto,https://github.com/plone/volto/issues/1094
2999,"PLIP: ""Save and add another"" button",tkimnguyen,closed,2019-12-05,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2999
2979,PLIP: allow custom caption in relation behavior,mtrebron,closed,2019-11-10,2025-05-29,2025-05-29,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2979
2977,PLIP: add image focal points support,tkimnguyen,open,2019-11-06,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2977
2975,"PLIP: backport the CastleCMS ""Add"" dialog",tkimnguyen,closed,2019-11-02,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2975
2973,Remove moment.js from plone bundle,agitator,closed,2019-10-31,2022-03-30,2022-03-30,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2973
2968,One File-Field (Type) to rules them all,loechel,open,2019-10-26,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2968
2967,Change Templates to Bootstrap Markup,santonelli,closed,2019-10-26,2022-03-24,2021-03-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2967
2966,PLIP: implement deletion to a recycle bin that allows users to restore items,tkimnguyen,open,2019-10-25,2025-09-29,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2966
2890,PLIP: Add support for Python 3.8,pbauer,closed,2019-06-20,2020-11-10,2020-11-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2890
748,Working Copy Support (plone.app.iterate),tisto,closed,2019-05-24,2021-11-17,2021-10-22,plone/volto,https://github.com/plone/volto/issues/748
2869,PLIP: Fix and Improve Metadata Behaviors,iham,closed,2019-05-20,2024-07-01,2024-07-01,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2869
739,Form Builder,tisto,closed,2019-05-13,2024-01-12,2024-01-12,plone/volto,https://github.com/plone/volto/issues/739
724,Multilingual support for Volto,tisto,closed,2019-05-10,2020-09-29,2020-09-29,plone/volto,https://github.com/plone/volto/issues/724
2812,Drop Python 2 Support for Plone 6,tisto,closed,2019-03-20,2021-09-07,2021-09-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2812
681,No metadata fields with GET on a folderish resource,zopyx,closed,2019-03-03,2019-06-30,2019-06-30,plone/plone.restapi,https://github.com/plone/plone.restapi/issues/681
2780,PLIP: merge collective.dexteritytextindexer into core,staeff,closed,2019-02-28,2022-04-07,2022-04-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2780
2775,PLIP: Archetypes End of Life,tisto,closed,2019-02-27,2021-11-22,2021-11-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2775
2754,PLIP: use an autoformatter to keep our code base (a bit more) consistent,gforcada,closed,2019-02-17,2023-05-29,2023-05-29,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2754
2740,PLIP: views or viewlets for title and description,iham,closed,2019-02-09,2019-03-05,2019-03-05,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2740
2736,"mark special links ""opt in"" instead of ""opt out""",iham,closed,2019-02-08,2019-02-09,2019-02-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2736
2705,Improving the theme editor experience,b4oshany,closed,2019-01-28,2022-02-15,2022-02-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2705
2703,PLIP: Ship Plone with Volto,tisto,closed,2019-01-27,2023-03-12,2023-03-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2703
641,Behaviors implementation,tisto,closed,2018-11-19,2025-09-13,2025-09-13,plone/plone.restapi,https://github.com/plone/plone.restapi/issues/641
2516,New faster navigation with dropdown menus for Plone,agitator,closed,2018-09-14,2019-02-23,2019-02-06,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2516
252,Full SEO support,sneridagh,closed,2018-08-22,2021-06-30,2021-06-30,plone/volto,https://github.com/plone/volto/issues/252
2475,PLIP: drop Python 2.6 support for Plone 4.3.x series,gforcada,closed,2018-07-15,2019-02-05,2019-02-05,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2475
2473,DRAFT: PLIP: Disallow implicit Acquisiton of properties,thet,closed,2018-07-11,2018-07-11,2018-07-11,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2473
2454,PLIP: Using Dexterity for Plone Site,jaroel,closed,2018-06-24,2021-09-13,2021-09-11,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2454
2448,PLIP: keep track of dependencies,gforcada,closed,2018-06-18,2025-09-13,2023-03-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2448
2368,PLIP: Port Plone to Python 3,pbauer,closed,2018-03-30,2021-10-22,2019-02-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2368
519,API for managing interfaces,zopyx,closed,2018-03-26,2018-03-26,2018-03-26,plone/plone.restapi,https://github.com/plone/plone.restapi/issues/519
2253,PLIP: Use Web Components instead of Patterns for Mockup.,thet,closed,2018-01-04,2019-03-03,2019-03-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2253
