number,title,author,state,created_at,updated_at,closed_at,repository,html_url
514,Error with empty integer or float fields in user schema,ebrehault,closed,2015-05-12,2015-10-17,2015-05-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/514
513,Block extra image addition in the user schema editor,ebrehault,closed,2015-05-12,2015-10-17,2015-05-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/513
512,Do not allow rich text field in user schema editor,ebrehault,closed,2015-05-12,2015-10-17,2015-05-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/512
511,Vocabularies not supported in user schema editor,ebrehault,closed,2015-05-12,2015-10-17,2015-05-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/511
510,Blur default fields in user schema editor,ebrehault,closed,2015-05-12,2015-10-17,2015-06-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/510
509,Missing documentation on how to export/import member schema,ebrehault,closed,2015-05-12,2015-10-17,2015-06-01,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/509
508,CSRF warning when removing a field in user schema,ebrehault,closed,2015-05-12,2015-10-17,2015-05-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/508
507,"""Save Defaults"" in user schema editor",ebrehault,closed,2015-05-12,2015-10-17,2015-05-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/507
506,plone.schemaeditor reordering,ebrehault,closed,2015-05-12,2015-10-17,2015-05-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/506
505,Missing tests in plone.app.user PLIP 13350,ebrehault,closed,2015-05-12,2015-10-17,2015-06-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/505
483,Folder contents visual issues (Firefox),jcerjak,closed,2015-05-03,2015-10-17,2015-05-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/483
482,Toolbar: commonly used menu items too hard to get to or not where you expect,jcerjak,closed,2015-05-03,2016-04-10,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/482
481,Toolbar: Actions not accessible when in horizontal mode,jcerjak,closed,2015-05-03,2015-10-17,2015-07-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/481
480,Toolbar: Issue in horizontal mode when browser window is narrow,jcerjak,closed,2015-05-03,2015-10-17,2015-05-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/480
464,PLIP (WIP) Not obvious where to add non-global types,djay,closed,2015-04-29,2016-03-25,2016-03-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/464
457,Refactor theming control panel to not depend on p.a.controlpanel.,tisto,closed,2015-04-27,2015-10-17,2015-05-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/457
363,save + test error in mail control panel,thet,closed,2015-01-30,2015-10-17,2015-02-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/363
361,Move RAMcache controlpanel into CMFPlone ,khink,closed,2015-01-25,2015-10-17,2015-02-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/361
357,Move syndication doctest from p.a.controlpanel to P.CMFPlone.,tisto,closed,2015-01-23,2015-10-17,2015-03-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/357
346,missing site_description and display_pub_date_in_byline in ISite controlpanel,thet,closed,2015-01-07,2015-10-17,2015-09-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/346
345,use plone lock settings from editing-controlpanel,thet,closed,2015-01-07,2015-10-17,2015-09-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/345
338,Move quickinstaller to CMFPlone,tisto,closed,2014-12-22,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/338
337,Document author information not available to anonymous anymore?,jcerjak,closed,2014-12-20,2015-10-17,2015-07-16,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/337
334,Control Panel Redesign,tisto,closed,2014-12-16,2015-10-17,2014-12-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/334
292,Remove Products.ResourceRegistries as Plone core dependency,thet,closed,2014-11-05,2016-02-02,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/292
290,Move the control panel overview into Products.CMFPlone,khink,closed,2014-11-02,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/290
221,Move usergroup control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/221
220,Move markup control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-11-14,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/220
219,Move maintenance control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-08-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/219
218,Move language control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2015-03-26,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/218
217,Move types control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/217
216,Move security control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2015-03-19,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/216
215,Move navigation control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-07-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/215
214,Move mail control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2015-07-16,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/214
213,Move editing control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2015-03-26,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/213
212,Move userprefs control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/212
211,Move filter control panel to z3c.form.,tisto,closed,2014-06-20,2015-10-17,2015-03-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/211
207,ToDo list for Barceloneta Theme - PLOG2014,sneridagh,closed,2014-04-23,2015-10-17,2015-02-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/207
183,Convert Add-ons control panel into a browser view,davisagli,closed,2014-02-25,2015-10-17,2015-02-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/183
177,ordering of toolbar,polyester,closed,2014-02-12,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/177
176,Live search view,bloodbare,closed,2014-02-11,2015-10-17,2015-02-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/176
175,Breadcrumbs design,bloodbare,closed,2014-02-11,2015-10-17,2014-02-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/175
173,Menu buttons available on all context,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/173
172,Resource Registry - remove the js/css that some core components add into a default Plone site.,sneridagh,closed,2014-02-10,2015-10-17,2015-06-04,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/172
171,Move search control panel to use z3c.form.,tisto,closed,2014-02-10,2015-10-17,2014-02-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/171
170,Docs for barceloneta,svx,closed,2014-02-10,2016-02-02,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/170
169,Resource Registry - remove the js/css that is included on barcelona theme,bloodbare,closed,2014-02-10,2015-10-17,2014-02-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/169
168,"Responsive theme ""testing"" with robot screenshots.",tisto,closed,2014-02-10,2015-10-17,2015-09-19,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/168
167,Contact form / sitemap redesign,bloodbare,closed,2014-02-10,2017-03-23,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/167
166,Search View,bloodbare,closed,2014-02-10,2015-10-17,2015-02-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/166
165,Logo Customization on control panel,bloodbare,closed,2014-02-10,2015-10-17,2015-01-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/165
164,Integrate Viewlet configuration on CMFPlone viewlet,bloodbare,closed,2014-02-10,2015-10-17,2014-04-24,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/164
163,Portlet Design ,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/163
162,Widgets Modal Design,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/162
161,plone.app.contenttypes design,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/161
160,Control panel design,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/160
158,Footer - settings - LRF - portlet ( testing performance ),bloodbare,closed,2014-02-10,2015-10-17,2014-02-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/158
157,Topbar design /  responsive,bloodbare,closed,2014-02-10,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/157
156,Topbar template based on toolbar template concept,bloodbare,closed,2014-02-10,2015-10-17,2014-02-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/156
155,Global Status messages unification ( using bootstrap syntax on all pt ),bloodbare,closed,2014-02-10,2015-10-17,2014-10-31,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/155
154,Hero Viewlet customisation on controlpanel,bloodbare,closed,2014-02-10,2015-10-17,2014-02-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/154
153,DT/DL/DD removal on all plone templates,bloodbare,closed,2014-02-10,2015-10-17,2014-10-31,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/153
146,Theming control panel fails: could not adapt to ISkinsSchema,mauritsvanrees,closed,2013-11-13,2015-10-17,2013-11-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/146
145,p.a.controlpanel migration doesn't copy p.a.multilingual settings yet,fredvd,closed,2013-11-13,2016-02-02,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/145
144,Move all doctests in p.a.controlpanel to regular functional tests.,tisto,closed,2013-11-13,2015-10-17,2014-12-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/144
130,Remove portal_calendar Tool.,tisto,closed,2013-11-07,2015-10-17,2013-11-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/130
129,Remove plone_utils Tool.,tisto,closed,2013-11-07,2016-04-05,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/129
128,Remove portal_migration tool.,tisto,closed,2013-11-07,2016-04-05,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/128
127,Remove portal_password_reset Tool.,tisto,closed,2013-11-07,2016-04-05,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/127
126,Remove portal_registration Tool.,tisto,closed,2013-11-07,2016-04-05,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/126
124,Refactor Archetypes/ATContentTypes related portal tools into AT/ATContentTypes.,tisto,closed,2013-11-07,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/124
123,Remove portal_url Tool.,tisto,closed,2013-11-07,2016-04-05,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/123
122,Remove portal_interface Tool,tisto,closed,2013-11-07,2015-10-17,2013-11-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/122
121,Remove portal_actionitems Tool,tisto,closed,2013-11-07,2015-10-17,2013-11-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/121
