organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
kitconcept GmbH,2582,647,15,"ThomasKindermann, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, jnptk, reebalazs, robgietema, sneridagh, steffenri, tisto",57,".github, 2023.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, blocks-conversion-tool, buildout.coredev, code-analysis-action, code-quality, demo.plone.org, documentation, jenkins.plone.org, mockup, old_plone.org, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.app.content, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.users, plone.app.versioningbehavior, plone.autoinclude, plone.base, plone.de, plone.dexterity, plone.formwidget.hcaptcha, plone.i18n, plone.memoize, plone.nl, plone.org, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.volto, ploneconf.org, ploneorg.theme, quanta-icons, setup-plone, training, vite-playground, volto, volto-quanta, volto-quanta-project",2022-01-02,2022-12-25
PY76,2365,241,1,mauritsvanrees,93,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, borg.localrole, buildout.coredev, diazo, documentation, jenkins.plone.org, mockup, mr.roboto, planet.plone.org, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.releaser, plone.resourceeditor, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.subrequest, plone.supermodel, plone.transformchain, plone.volto, plone.z3cform, plonetheme.barceloneta, zodbverify",2022-01-02,2022-12-25
Steve Piercy,1073,183,1,stevepiercy,14,".github, Plone, Products.CMFPlone, ansible-playbook, buildout.coredev, documentation, plone-backend, plone.api, plone.restapi, plone.volto, ploneorg.theme, sphinxtheme.plone, training, volto",2022-01-02,2022-12-25
Kombinat,829,173,1,petschki,40,"Products.CMFPlone, buildout.coredev, diazo, documentation, mockup, mr.roboto, plone.app.blocks, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.formwidget.recurrence, plone.jsonserializer, plone.namedfile, plone.outputfilters, plone.schemaeditor, plone.staticresources, plone.z3cform, plonetheme.barceloneta",2022-01-09,2022-12-25
Klein & Partner,658,93,1,jensens,46,"Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, documentation, old_plone.org, plone-backend, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.redirector, plone.app.registry, plone.app.standardtiles, plone.app.upgrade, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.base, plone.batching, plone.cachepurging, plone.dexterity, plone.i18n, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.restapi, plone.scale, plone.staticresources, plone.subrequest, training",2022-01-02,2022-12-25
Independent,598,188,78,"CannedShroud, Dnouv, Fosten, Gagaro, Hrittik20, LF406353, LuisPalomo, MAX-786, OnnaRob, Rudd-O, Sadeedpv, SaraBianchi, TC5022, TrellixVulnTeam, UnaiEtxaburu, Xhale1, adam139, alecghica, andreasma, andreiggr, anirudhhkashyap, anukaal, aormazabal, arky, avimishra18, barcafa, bernhardreiter, bipoza, cillianderoiste, danielamormocea, david-batranu, dbitouze, dgsmith2, duchenean, faro76, faustoonna, gitcarbs, h-khkh, javiermolinar, jimbiscuit, jmevissen, jotare, julienCarret, knight-95, kreafox, krissik, ktsrivastava29, kyle-widmann, maethu, marwanatef2, mbarde, mcasagrande18, mdsahiloss, me-kell, mihaislobozeanu, mtrebron, niglesiaszingoni, perrinjerome, priyansh71, raulclay, razvanMiu, rioksane, rnixx, santonelli, sauzher, sboghy, shashuat, silviubogan, sitanshu05, suyashrastogi7, talarias, thomlamb, valentinab25, valipod, vangheem, winniehell, wolbernd, zworkb",43,"2023.ploneconf.org, Installers-UnifiedInstaller, Plone, Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookiecutter-zope-instance, documentation, guillotina, guillotina_gcloudstorage, guillotina_s3storage, mockup, pastanaga-angular, plone-backend, plone.app.blocks, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.upgrade, plone.app.uuid, plone.app.viewletmanager, plone.app.z3cform, plone.base, plone.docker, plone.formwidget.autocomplete, plone.formwidget.recaptcha, plone.instanceprofiling, plone.nl, plone.org, plone.outputfilters, plone.protect, plone.recipe.zope2instance, plone.restapi, plone.restapi-angular, plone.session, plonecli, ploneconf.org, training, volto, volto-addon-ci",2022-01-02,2022-12-25
Syslab,569,96,4,"ale-rt, reinhardt, svx, thet",34,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, mockup, pat-content-browser, plone.api, plone.app.blocks, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.widgets, plone.app.z3cform, plone.base, plone.i18n, plone.patternslib, plone.recipe.zope2instance, plone.session, plone.staticresources, plone.versioncheck, plonetheme.barceloneta, volto",2022-01-02,2022-12-18
Rohberg,523,96,1,ksuess,10,"Plone, buildout.coredev, documentation, guillotina, plone.api, plone.app.content, plone.app.upgrade, plone.restapi, training, volto",2022-01-02,2022-12-18
Derico,448,62,1,MrTango,28,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, documentation, mockup, plone-vs-snippets, plone.app.contentrules, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.standardtiles, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.autoinclude, plone.base, plone.gallery, plone.namedfile, plone.outputfilters, plone.pdfexport, plone.scale, plone.schema, plone.staticresources, plonecli, plonetheme.barceloneta, training, volto",2022-01-02,2022-12-18
Starzel,366,61,1,pbauer,34,"Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, demo.plone.org, documentation, old_plone.org, plone.api, plone.app.caching, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.upgrade, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.base, plone.org, plone.outputfilters, plone.portlet.collection, plone.restapi, plone.staticresources, plone.volto, plonetheme.barceloneta, training",2022-01-02,2022-12-18
