repo,pr_number,title,author,created_at,merged_at,state,merged,issue_comments_count,review_comments_count,reviews_count,total_comments,participants_count,reviewers_count,commenters_count,approved_reviews,changes_requested_reviews,comment_reviews,reactions_total,first_response_time
plone/guillotina,1161,Improve error logging in futures,masipcat,2021-12-02T15:13:15Z,2021-12-15T21:32:04Z,closed,True,1,4,4,5,3,2,3,1,0,3,0,287.0413888888889
plone/guillotina,1156,Set id/name of group to ease the access later via id/name,ksuess,2021-11-06T08:27:46Z,2021-11-22T19:43:20Z,closed,True,3,0,3,3,4,2,3,2,1,0,0,0.13305555555555557
plone/guillotina,1154,Use connection pool when possible (#1122),masipcat,2021-10-28T11:44:48Z,2021-11-22T18:59:20Z,closed,True,1,3,4,4,3,2,2,1,0,3,0,0.08555555555555555
plone/guillotina,1157,Fix doc installation,jotare,2021-11-08T09:14:46Z,2021-11-11T09:14:12Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.07472222222222222
plone/guillotina,1158,adding ttl_email_validation option in the app_settings,nilbacardit26,2021-11-10T07:46:39Z,2021-11-10T10:30:07Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.051944444444444446
plone/guillotina,1150,Bump pillow from 8.2.0 to 8.3.2,dependabot[bot],2021-09-08T03:15:42Z,,closed,False,2,0,1,2,3,1,2,1,0,0,0,0.0011111111111111111
plone/guillotina,1149,Support python 3.10,masipcat,2021-08-25T18:22:36Z,2021-10-20T18:16:46Z,closed,True,1,8,9,9,3,2,3,2,0,7,0,382.53472222222223
plone/guillotina,1152,Fix searching by SearchableText,frapell,2021-10-12T21:52:19Z,2021-10-19T08:07:55Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.17444444444444446
plone/guillotina,757,WIP: Migrating tags,bloodbare,2019-12-09T15:45:15Z,,closed,False,1,1,1,2,2,1,2,0,1,0,0,164.57472222222222
plone/guillotina,788,Replace pytest-asyncio with alt-pytest-asyncio,masipcat,2019-12-18T19:06:12Z,,closed,False,3,2,2,5,3,2,3,0,0,2,0,489.8175
plone/guillotina,1136,Use custom implementation of ContextVar that is not copied automatically to new tasks,masipcat,2021-05-21T17:01:16Z,,closed,False,1,0,0,1,2,0,1,0,0,0,0,0.5555555555555556
plone/guillotina,1146,Fix vocabulary country code AN,jotare,2021-07-19T20:26:10Z,2021-08-25T18:26:04Z,closed,True,3,0,2,3,3,1,3,1,1,0,0,0.1175
plone/guillotina,1148,fix: MIMEMultipart('alternative') ,rboixaderg,2021-08-04T19:55:52Z,2021-08-05T07:11:11Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,11.254166666666666
plone/guillotina,1147,feat: Change MIMEMultipart 'alternative' to 'mixed',rboixaderg,2021-08-04T09:32:16Z,2021-08-04T13:38:56Z,closed,True,1,0,2,1,4,2,1,2,0,0,0,0.5891666666666666
plone/guillotina,1145,Mask Textline field,bloodbare,2021-07-05T07:14:19Z,2021-07-05T14:46:48Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.08083333333333333
plone/guillotina,1142,Fix small fixes,jianaijun,2021-06-12T12:58:37Z,2021-06-12T13:24:43Z,closed,True,1,3,4,4,3,3,3,1,0,3,0,0.43
plone/guillotina,1144,Fix navigate_to() crashes with 'AttributeError' when traversing to a non-folderish object,masipcat,2021-07-01T20:33:42Z,2021-07-02T08:04:14Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.12611111111111112
plone/guillotina,1143,"feat: Add null and not null operator in int, float and timestamp types",rboixaderg,2021-07-01T11:18:36Z,2021-07-01T15:17:10Z,closed,True,0,0,2,0,3,2,0,2,0,0,0,0.0913888888888889
plone/guillotina,1140,fix typos,jianaijun,2021-06-06T12:20:07Z,,closed,False,2,0,2,2,3,2,2,2,0,0,0,19.017777777777777
plone/guillotina,1141,"Pgcatalog, order by, is not null ",rboixaderg,2021-06-10T16:56:07Z,2021-06-10T17:09:37Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.085
plone/guillotina,1139,"Search pg catalog, unrestricted and is null filter",rboixaderg,2021-06-04T05:48:47Z,2021-06-04T08:34:47Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.03944444444444444
plone/guillotina,1138,feat: Add @ in allowed chars username regex,rboixaderg,2021-05-31T14:38:15Z,2021-05-31T15:26:57Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.8091666666666667
plone/guillotina,1137,Adding validation,bloodbare,2021-05-26T11:20:31Z,2021-05-31T14:17:56Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.06694444444444445
plone/guillotina,1135,Detect leaked pg connections,masipcat,2021-05-21T16:14:41Z,,open,False,0,0,1,0,2,1,0,1,0,0,0,136.82083333333333
plone/guillotina,1134,Fix Range request status,bloodbare,2021-05-21T10:46:51Z,2021-05-21T10:50:38Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.015833333333333335
plone/guillotina,1133,Fix potential pg connection leaks,masipcat,2021-05-19T14:39:31Z,2021-05-21T08:07:48Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.03027777777777778
plone/guillotina,1132,PG catalog unrestriced search and parser,rboixaderg,2021-05-14T21:59:45Z,2021-05-18T19:11:51Z,closed,True,0,2,3,2,3,3,2,1,0,2,0,14.366388888888888
plone/guillotina,1051,Store JSON objects instead of pickle objects,masipcat,2020-11-27T12:09:28Z,,open,False,2,1,1,3,1,1,1,0,0,1,0,
plone/guillotina,1130,unrestricted search parameter,bloodbare,2021-05-10T14:45:59Z,2021-05-10T15:50:20Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.06944444444444445
