repo,pr_number,title,author,created_at,merged_at,state,merged,issue_comments_count,review_comments_count,reviews_count,total_comments,participants_count,reviewers_count,commenters_count,approved_reviews,changes_requested_reviews,comment_reviews,reactions_total,first_response_time
plone/guillotina,1183,Fix not checking if the ID is valid when duplicating a resource,masipcat,2022-12-12T13:57:37Z,2022-12-12T14:47:57Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.0625
plone/guillotina,1182,adding @update-catalog endpoint,nilbacardit26,2022-11-27T18:38:13Z,,open,False,1,0,0,1,2,0,1,0,0,0,0,0.16055555555555556
plone/guillotina,1180,Adding render_options when registering a user using @users,nilbacardit26,2022-11-15T11:35:08Z,2022-11-15T13:30:13Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,1.916111111111111
plone/guillotina,1179,adding slash in path__starts queries when context is not the container,nilbacardit26,2022-10-20T20:40:09Z,2022-10-26T18:10:21Z,closed,True,1,7,9,8,4,3,3,2,0,7,0,0.044444444444444446
plone/guillotina,1178,Fix content.async_get() catches KeyError exceptions unrelated to txn.get_child(),masipcat,2022-10-03T13:59:53Z,2022-10-04T13:04:57Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.1622222222222222
plone/guillotina,1177,Deps: replace aioredis with redis-py,masipcat,2022-10-03T11:45:54Z,2022-10-04T09:59:57Z,closed,True,2,0,1,2,3,1,2,1,0,0,1,0.40305555555555556
plone/guillotina,1175,being able to call do_action with super powers using the utility,nilbacardit26,2022-08-24T10:54:37Z,2022-08-25T07:57:04Z,closed,True,8,2,4,10,4,2,4,1,2,1,1,0.12555555555555556
plone/guillotina,1174,"Fix build count query, PG catalog, ignore null and format tuple type",rboixaderg,2022-07-25T12:08:10Z,2022-07-27T15:21:57Z,closed,True,1,0,1,1,3,1,1,1,0,0,0,0.10222222222222223
plone/guillotina,1171,Deserialize pickles in a asyncio executor + converted db functions reader() and IWriter.serialize() to async,masipcat,2022-05-30T14:48:06Z,,open,False,3,3,3,6,3,2,3,1,0,2,1,0.39305555555555555
plone/guillotina,1169,Fix PubSub utility stuck in infinite loop when Redis connection is interrupted,masipcat,2022-03-29T14:58:22Z,2022-03-30T12:23:35Z,closed,True,1,5,4,6,3,2,3,1,0,3,0,19.509444444444444
