organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Codesyntax,45,29,2,"erral, ionlizarazu",9,"Products.CMFPlone, bobtemplates.plone, mockup, plone-vs-snippets, plone.app.content, plone.recipe.haproxy, plone.restapi, plone.z3cform, volto",2020-01-05,2020-12-13
Soliton Consulting,43,10,1,fulv,10,"Plone, Products.CMFPlone, ansible-playbook, ansible.plone_server, bobtemplates.plone, plone.app.caching, plone.github.io, plone.restapi, ploneorg.core, ploneorg.theme",2020-02-16,2020-12-20
Sixfeetup,36,19,2,"cdw9, tkimnguyen",10,"Installers-UnifiedInstaller, ansible-playbook, plone.app.viewletmanager, plone.app.workflowmanager, plone.com-static, plone.jsonserializer, ploneconf2016.policy, ploneorg.core, ploneorg.theme, training",2020-01-12,2020-11-29
Steve Piercy - Website Builder,23,4,1,stevepiercy,3,"ansible-playbook, ansible.plone_server, training",2020-01-19,2020-07-05
University of Jyväskylä,19,7,1,datakurre,5,"plone.app.versioningbehavior, plone.formwidget.namedfile, plone.jsonserializer, plone.namedfile, volto",2020-01-26,2020-06-07
der Freitag,18,6,1,gforcada,5,"jenkins.plone.org, mr.roboto, plone.app.contenttypes, plone.scale, plone.stringinterp",2020-01-05,2020-12-13
Academy of FA Vienna,16,3,2,"gogobd, iham",4,"Products.Archetypes, plone.app.multilingual, plone.app.multilingualindexes, plone.app.querystring",2020-05-03,2020-10-18
Reid-McMahon,16,4,1,smcmahon,2,"ansible-playbook, ansible.plone_server",2020-02-09,2020-07-26
CMS Communications Inc.,13,11,1,terapyon,1,volto,2020-02-16,2020-12-06
Salesforce,11,0,1,esteele,5,"Products.CMFPlone, buildout.coredev, plone.restapi, plone.staticresources, volto",2020-01-05,2020-05-03
Serpro,9,12,1,wesleybl,3,"bobtemplates.plone, buildout.coredev, plone.restapi",2020-10-25,2020-12-27
Radio Free Asia,7,3,1,flipmcf,3,"mockup, plone.app.vocabularies, plone.outputfilters",2020-08-09,2020-11-01
iMio,6,6,3,"bsuttor, gbastien, gotcha",3,"Products.CMFPlone, plone.restapi, volto",2020-06-14,2020-06-28
Affinitic,5,5,2,"laulaz, mpeeters",4,"mockup, plone.app.versioningbehavior, plone.recipe.zope2instance, plone.restapi",2020-02-02,2020-09-13
4Teamwork,5,3,3,"buchi, deiferni, lukasgraf",1,plone.restapi,2020-01-19,2020-03-29
Enfold,5,7,1,frapell,6,"Products.CMFPlone, mockup, plone.app.iterate, plone.app.upgrade, plone.patternslib, plone.staticresources",2020-03-08,2020-09-20
IT Sprit,5,2,1,thomasmassmann,3,"Products.CMFPlone, Products.PortalTransforms, plone.app.upgrade",2020-04-05,2020-04-05
CCC,3,1,1,polyester,2,"papyrus, sphinxtheme.plone",2020-04-19,2020-06-28
Uni. Hospital Dresden,3,3,1,1letter,3,"Products.ResourceRegistries, plone.app.event, plonetheme.barceloneta",2020-03-08,2020-07-26
Jarn,3,1,2,"fschulze, witsch",2,"archetypes.querywidget, plone.scale",2020-02-09,2020-08-30
KU Leuven,2,0,1,spereverde,1,training,2020-02-09,2020-02-09
Zopyx,2,0,1,zopyx,2,"Products.MimetypesRegistry, planet.plone.org",2020-07-12,2020-10-11
minddistrict,0,1,1,icemac,1,plone.recipe.zope2instance,,
Pretaweb,0,2,2,"JeffersonBledsoe, instification",2,"plone.app.contentrules, plone.app.iterate",,
