username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,2527,195,137,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, diazo, documentation, experimental.publishtraverse, five.intid, jenkins.plone.org, mockup, mr.roboto, papyrus, plone.alterego, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rfc822, plone.scale, plone.schema, plone.session, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.z3cform, plonetheme.barceloneta, plonetheme.sunburst",2016-01-03,2016-12-25
gforcada,1196,258,128,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, ansible-playbook, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.monkeypatcher, documentation, guillotina, jenkins.plone.org, mockup, mr.roboto, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.autoform, plone.batching, plone.behavior, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.jenkins_node, plone.jenkins_server, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlets, plone.protect, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.restapi, plone.rfc822, plone.scale, plone.schemaeditor, plone.stringinterp, plone.testing, plone.theme, plone.tiles, plone.uuid, plone.versioncheck, ploneorg.core, plonetheme.barceloneta, plonetheme.sunburst, training",2016-01-03,2016-12-25
jensens,1015,167,73,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.MimetypesRegistry, Products.PortalTransforms, Products.statusmessages, Products.validation, archetypes.multilingual, bobtemplates.plone, buildout.coredev, documentation, five.intid, plone.alterego, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.z3cform, plone.autoform, plone.behavior, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.github, plone.i18n, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlets, plone.protect, plone.recipe.zope2instance, plone.registry, plone.resource, plone.rfc822, plone.scale, plone.schemaeditor, plone.session, plone.subrequest, plone.supermodel, plone.tiles, plone.transformchain, plone.versioncheck, plone.z3cform, ploneorg.core",2016-01-03,2016-12-25
thet,652,175,66,"Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.contentmigration, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, documentation, five.intid, mockup, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.layout, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.dexterity, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.indexer, plone.memoize, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.static, plone.registry, plone.releaser, plone.resource, plone.rfc822, plone.scale, plone.supermodel, plone.testing, plone.tiles, plone.versioncheck, plone.z3cform, plonetheme.barceloneta, plonetheme.sunburst",2016-01-03,2016-12-18
datakurre,400,50,23,"Products.CMFPlone, buildout.coredev, guillotina, mockup, plone.alterego, plone.app.blocks, plone.app.content, plone.app.controlpanel, plone.app.drafts, plone.app.mosaic, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.workflow, plone.recipe.codeanalysis, plone.synchronize, plone.testing, plone.tiles, plone.uuid, plonetheme.barceloneta",2016-01-10,2016-12-25
esteele,346,0,52,"Plone, Products.ATContentTypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, buildout.coredev, five.intid, guillotina, mockup, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contenttypes, plone.app.controlpanel, plone.app.discussion, plone.app.event, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.autoform, plone.formwidget.autocomplete, plone.i18n, plone.outputfilters, plone.protect, plone.recipe.zope2instance, plone.registry, plone.resourceeditor, plone.supermodel, plone.transformchain, plone.uuid, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.sunburst",2016-01-03,2016-10-16
bloodbare,300,0,9,"Products.CMFPlone, buildout.coredev, guillotina, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_s3storage, plone.alterego, plone.docker, plone.registry",2016-01-10,2016-12-18
vangheem,287,94,30,"Products.CMFPlone, archetypes.referencebrowserwidget, buildout.coredev, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_mailer, mockup, planet.plone.org, plone.app.blocks, plone.app.content, plone.app.contenttypes, plone.app.drafts, plone.app.event, plone.app.linkintegrity, plone.app.mosaic, plone.app.querystring, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.vocabularies, plone.app.z3cform, plone.dexterity, plone.namedfile, plone.outputfilters, plone.restapi, plone.tiles, training",2016-01-03,2016-12-25
pbauer,224,23,32,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, documentation, plone.api, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.lockingbehavior, plone.app.referenceablebehavior, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.i18n, plone.recipe.zope2instance, plone.stringinterp, plone.supermodel, training",2016-01-03,2016-10-23
smcmahon,194,25,8,"Installers-UnifiedInstaller, ansible-playbook, ansible.plone_server, buildout.coredev, plone.app.dexterity, plone.namedfile, plonedev.vagrant, training",2016-01-10,2016-11-20
