organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
PY76,2552,214,1,mauritsvanrees,127,".github, Plone, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, Products.validation, borg.localrole, buildout.coredev, collective.monkeypatcher, demo.plone.org, diazo, documentation, five.intid, meta, mr.roboto, plone-backend, plone.alterego, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, volto, zodbverify",2025-01-06,2025-12-29
der Freitag,2468,273,1,gforcada,122,"Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, Products.validation, borg.localrole, buildout.coredev, collective.monkeypatcher, cookieplone, cookieplone-templates, diazo, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta",2025-01-07,2025-12-23
kitconcept GmbH,1828,571,13,"Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jnptk, kittauri, reebalazs, robgietema, sneridagh, tisto",110,"2023.ploneconf.org, 2024.ploneconf.org, 2025.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlone, Products.ExtendedPathIndex, admin-team, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, form-block, meta, mr.roboto, plone-backend, plone-contributor-statistics, plone-frontend, plone-mcp, plone-stubs, plone-vs-utilities, plone-zeo, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.textfield, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.de, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.registry, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.volto, postgres2zodb, repoplone, tagung.plone.de, training, volto",2025-01-07,2025-12-23
Independent,948,186,72,"1sh-repalto, Abhishek-17h, AdamBrousseau, DougInAMug, Faakhir30, Felixoid, Fosten, LeoColomb, Manas-Kenge, Manik-Khajuria-5, Narcis2005, SaraBianchi, Shyam-Raghuwanshi, Simran-B, TechSubham, Thanush-03, TimWolla, VibhuGupta-dev, YashasviniSingh, aboycalledhero, acsr, alexandreIFB, alombarte, aniket7r, anushka-codes1, aryan7081, boss6825, calinvladth, cihanandac, cjdcordeiro, cleder, codehashira99, dataflake, davividal, deodorhunter, docker-library-bot, ewohnlich, felipementel, gamboz, gil-cano, hello-Rahul24, id, jbleduigou, kreafox, krissik, lyralemos, macagua, maethu, mbrodala, mcoberly2, mister-roboto, mmatur, ompharate, operramon, parruc, pratyush07-hub, purniiiima, rber474, rohnsha0, sabrina-bongiovanni, sauzher, silviubogan, tedw87, tianon, toropok, ujsquared, valipod, verena-km, vrana, weblate, williamdes, yosifkit",34,".github, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, dockerhub-docs, documentation, mockup, pastanaga-angular, plone-sphinx-theme, plone.api, plone.app.content, plone.app.discussion, plone.app.layout, plone.app.theming, plone.app.vocabularies, plone.distribution, plone.exportimport, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.locking, plone.namedfile, plone.org, plone.protect, plone.recipe.zope2instance, plone.restapi, plone.scale, plone.session, plone.versioncheck, plone.volto, tagung.plone.de, training, volto",2021-11-17,2025-12-29
Kombinat,797,139,1,petschki,30,"Products.CMFPlone, Products.validation, buildout.coredev, demo.plone.org, documentation, meta, mockup, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.drafts, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.base, plone.jenkins_node, plone.jsonserializer, plone.restapi, plone.schemaeditor, plone.staticresources, plone.tiles, plonetheme.barceloneta",2025-01-16,2025-12-23
Steve Piercy - Website Builder,679,185,1,stevepiercy,21,".github, Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, dockerhub-docs, documentation, meta, plone-frontend, plone-sphinx-theme, plone-zeo, plone.api, plone.app.layout, plone.classicui, plone.distribution, plone.exportimport, plone.org, plone.restapi, training, volto",2025-01-02,2025-12-24
Codesyntax,360,82,2,"erral, ionlizarazu",23,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, mockup, mr.roboto, plone-backend, plone-vs-snippets, plone-vs-utilities, plone.app.contenttypes, plone.app.discussion, plone.app.layout, plone.app.multilingual, plone.app.z3cform, plone.base, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.namedfile, plone.org, plone.recipe.zeoserver, plone.restapi, volto",2025-01-06,2025-12-31
Syslab,267,89,3,"ale-rt, pilz, thet",32,"Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, buildout.coredev, documentation, mockup, plone.api, plone.app.content, plone.app.contenttypes, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.portlets, plone.app.querystring, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.autoinclude, plone.base, plone.formwidget.recaptcha, plone.patternslib, plone.protect, plone.restapi, plone.staticresources, plone.volto, plone.z3cform, plonetheme.barceloneta",2024-12-20,2025-12-19
Derico,232,8,1,MrTango,9,"bobtemplates.plone, copier-backend-addon, copier-zope-setup, plone-vs-snippets, plone.app.layout, plone.classicui, plone.namedfile, plone.restapi, tagung.plone.de",2025-01-15,2025-10-29
Klein & Partner KG,112,5,1,jensens,11,"buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, diazo, documentation, five.intid, plone-backend, plone.app.dexterity, plone.namedfile, plone.scale, plone.versioncheck",2022-09-08,2025-12-15
