repo,pr_number,title,author,created_at,merged_at,state,merged,issue_comments_count,review_comments_count,reviews_count,total_comments,participants_count,reviewers_count,commenters_count,approved_reviews,changes_requested_reviews,comment_reviews,reactions_total,first_response_time
plone/plone.schemaeditor,45,Latest zope.i18nmessageid support,jensens,2016-12-19T17:32:03Z,2016-12-19T21:11:24Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,40,1.3.x compatibility backports; with both mockup 2.x and plone.protect 3.x,seanupton,2016-09-22T17:52:17Z,2016-09-29T09:47:56Z,closed,True,7,1,1,8,2,1,2,0,0,1,0,261.5672222222222
plone/plone.schemaeditor,43,Clean up code,gforcada,2016-10-30T18:17:03Z,2016-11-01T19:46:23Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,42,Fix accidental removal of overlay handlers (fixes regression in 1.4),seanupton,2016-10-07T20:49:13Z,2016-10-09T01:35:31Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,41,Add coding header,gforcada,2016-10-02T18:36:20Z,2016-10-02T20:02:54Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,39,CSRF fixes in Plone 4 for plone.protect 3.0.x integration,seanupton,2016-08-23T05:14:21Z,,closed,False,2,0,0,2,1,0,1,0,0,0,0,
plone/plone.schemaeditor,38,Use zope.interface decorator,gforcada,2016-07-05T21:31:39Z,2016-07-06T23:00:11Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,35,Use plone i18n domain,gforcada,2015-11-05T00:17:00Z,2015-12-02T14:17:02Z,closed,True,1,2,0,3,3,0,3,0,0,0,0,566.7847222222222
plone/plone.app.standardtiles,58,"do not depend on plone.app.imaging, it is not needed",jensens,2016-12-19T19:19:38Z,2016-12-19T19:22:56Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.04861111111111111
plone/plone.app.standardtiles,40,Validate selected content for existing content tile,vangheem,2016-09-08T13:02:32Z,2016-09-08T13:53:05Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.5966666666666667
plone/plone.app.standardtiles,57,Fix issues where tiles didn't render properly when traversed from a view,datakurre,2016-12-15T12:43:38Z,2016-12-15T17:37:37Z,closed,True,4,0,0,4,2,0,2,0,0,0,0,0.041666666666666664
plone/plone.app.standardtiles,55,Minor cleanup in contentlisting and existingcontent.,jensens,2016-12-13T14:31:32Z,2016-12-15T08:10:34Z,closed,True,2,0,0,2,2,0,1,0,0,0,0,0.06027777777777778
plone/plone.app.standardtiles,53,Update byline tile,datakurre,2016-12-09T20:12:01Z,2016-12-15T08:14:48Z,closed,True,3,0,0,3,2,0,1,0,0,0,0,0.22666666666666666
plone/plone.app.standardtiles,54,Silence Unauthorized-exceptions for LockInfoTile,datakurre,2016-12-09T20:20:49Z,2016-12-12T10:25:42Z,closed,True,3,0,0,3,3,0,3,0,0,0,0,0.15416666666666667
plone/plone.app.standardtiles,52,Fix portlet tile,datakurre,2016-12-09T19:06:21Z,2016-12-09T19:12:00Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.050555555555555555
plone/plone.app.standardtiles,50,Fix issue where existing content was not rendered on edit form,datakurre,2016-12-09T10:14:59Z,2016-12-09T10:20:44Z,closed,True,2,0,0,2,2,0,1,0,0,0,0,0.041944444444444444
plone/plone.app.standardtiles,49,Fix for #48,tomgross,2016-09-20T09:41:27Z,2016-09-20T10:01:48Z,closed,True,2,0,0,2,3,0,2,0,0,0,0,0.19722222222222222
plone/plone.app.standardtiles,46,Rawhtmlembed,agitator,2016-09-09T11:37:14Z,2016-09-13T08:42:59Z,closed,True,2,0,0,2,3,0,2,0,0,0,0,5.558055555555556
plone/plone.app.standardtiles,45,Fix existing content tile to work with collections.,vangheem,2016-09-09T09:04:22Z,2016-09-09T09:19:24Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.06833333333333333
plone/plone.app.standardtiles,43,Fix case where html tile would not transform content correctly,vangheem,2016-09-08T15:43:40Z,2016-09-08T16:11:25Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.058333333333333334
plone/plone.app.standardtiles,42,Fix HTML tile to be just a tile,datakurre,2016-09-08T15:41:38Z,2016-09-08T16:10:01Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.08361111111111111
plone/plone.app.standardtiles,41,Be able to show/hide title/description with existing content tile,vangheem,2016-09-08T14:25:33Z,2016-09-08T14:36:54Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.09472222222222222
plone/plone.app.standardtiles,39,Fix issue where layout tiles failed on portlet manager context,datakurre,2016-09-07T14:45:28Z,2016-09-07T15:23:54Z,closed,True,3,0,0,3,3,0,3,0,0,0,0,0.6072222222222222
plone/plone.app.standardtiles,38,deprecate image and attachment tiles,vangheem,2016-09-07T10:04:42Z,2016-09-07T10:19:37Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.1938888888888889
plone/plone.app.standardtiles,37,rename rawhtml to html and deprecate rawhtml tile,vangheem,2016-09-06T11:59:29Z,2016-09-06T12:18:35Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.058055555555555555
plone/plone.app.standardtiles,34,Remove unused function,gforcada,2016-08-19T11:22:23Z,2016-08-23T11:06:36Z,closed,True,2,0,0,2,3,0,2,0,0,0,0,25.211111111111112
plone/plone.app.standardtiles,36,Update travis configuration,gforcada,2016-08-20T12:16:45Z,2016-08-20T12:30:22Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.04666666666666667
plone/plone.app.standardtiles,35,Update travis configuration,gforcada,2016-08-19T12:06:59Z,,closed,False,1,0,0,1,2,0,1,0,0,0,0,0.30083333333333334
plone/plone.app.standardtiles,33,Add coveralls and fix code analysis errors,gforcada,2016-08-19T10:52:54Z,2016-08-19T11:19:36Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.3811111111111111
plone/plone.app.standardtiles,32,use safe html transform,vangheem,2016-07-09T15:46:23Z,2016-07-13T15:31:06Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.standardtiles,30,Get defaults for contentlisting,thet,2016-04-25T10:26:27Z,2016-04-27T11:01:29Z,closed,True,3,2,0,5,2,0,2,0,0,0,0,0.08638888888888889
plone/plone.app.standardtiles,29,cleanup,thet,2016-04-24T20:44:31Z,2016-04-24T22:03:43Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.standardtiles,27,Take permissions and visibility of viewlets in tiles into account. ,jensens,2016-04-21T09:56:12Z,2016-04-22T11:37:14Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.standardtiles,26,Housekeeping,jensens,2016-04-14T15:47:17Z,2016-04-18T11:57:05Z,closed,True,2,0,0,2,3,0,2,0,0,0,0,0.27805555555555556
plone/plone.app.standardtiles,25,Updated dependendencies,tomgross,2016-02-19T09:51:49Z,2016-04-05T21:53:57Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,1115.7125
plone/plone.app.standardtiles,22,use ram.cache to cache the response from noembed based on the URL,danmur,2015-11-15T10:50:44Z,,closed,False,4,0,0,4,3,0,2,0,0,0,0,177.29722222222222
plone/plone.app.standardtiles,24,fix permission definitions,vangheem,2016-01-25T23:17:24Z,2016-01-31T22:39:25Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.viewletmanager,12,correctly log in if viewlet rendering failed,jensens,2016-08-03T15:28:47Z,2016-08-08T06:37:09Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.viewletmanager,11,Use zope.interface decorator,gforcada,2016-07-05T21:28:37Z,2016-07-10T06:52:09Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,30,Update code to follow Plone styleguide,gforcada,2016-10-30T18:26:58Z,2016-11-01T19:46:44Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,29,Cleanup,jensens,2016-09-27T14:26:13Z,2016-09-28T06:17:19Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,25,Use plone.namedfile for testing images,ghost,2016-06-21T11:49:05Z,2016-09-06T07:44:16Z,closed,True,3,0,0,3,3,0,3,0,0,0,0,985.5561111111111
plone/plone.app.caching,28,Enable unload protection by using pattern class pat-formunloadalert i…,thet,2016-08-27T06:33:11Z,2016-08-27T15:27:49Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,26,Use zope.interface decorator,gforcada,2016-07-05T21:25:58Z,2016-07-09T06:51:09Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,24,Show status after synchronous purge if it is an error status. Branch 1.1.x,mauritsvanrees,2016-03-03T17:19:46Z,2016-03-13T20:55:34Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,23,"Report purge error status, Plone 4.3 (branch 1.1.x)",mauritsvanrees,2016-03-03T17:16:45Z,,closed,False,1,0,0,1,1,0,1,0,0,0,0,
