organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,1779,571,107,"2silver, Bad-Request, CaffeinatedStud, Gagaro, GerardRodes, LeviBroadnax, MarkusMayer, Martronic-SA, RobZoneNet, Rotonen, Shriyanshagro, SyZn, TakCastel, VaysseB, acsr, adamcheasley, albertcasado, albertduran, allusa, arsenico13, awello, b0n, b4oshany, batlock666, cdevienne, cedricmessiant, cguardia, cillianderoiste, cjsteel, cleberjsantos, csenger, dals83, davidjb, davilima6, dhavlik, digitalnaSRB, displacedaussie, dmanchon, enkidulan, ewohnlich, fgrcon, frapell, geier, ghost, gitcarbs, gitter-badger, gnafou, hanirok, himanshu81494, huubbouma, hvelarde, ivanteoh, jackBzzz, jean, jfroche, jimfulton, jnns, ju55i, kakshay21, karalics, l00ptr, lellex, leplatrem, lukebrannon, lzdych, macagua, malloxpb, malthe, mattss, mikkohu, mtrebron, nazrulworld, newbazz, nngu6036, obct537, oz123, pabo3000, pigeonflight, prakharjoshi, ramiroluz, rfleschenberg, rioksane, rnixx, rnunez80, robinsjm2, rodfersou, rristow, rudaporto, seanupton, sgrepos, shentonfreude, sherpya, simon-previdente, skurfer, staeff, stevepiercy, streaps, sunew, tareqalam, thyarles, tmog, tschorr, untitaker, vangheem, vkarppinen, zemm, zupo",99,"Installers-UnifiedInstaller, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFFormController, Products.CMFPlone, Products.PortalTransforms, ansible-playbook, ansible.plone_server, archetypes.multilingual, bobtemplates.plone, buildout.coredev, documentation, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_mailer, guillotina_rediscache, guillotina_s3storage, guillotina_statsd, jenkins.plone.org, mockup, papyrus, pastanaga, pastanaga-angular, pastanaga-icons, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.workflow, plone.app.workflowmanager, plone.autoform, plone.contentrules, plone.docker, plone.formwidget.namedfile, plone.formwidget.querystring, plone.i18n, plone.intelligenttext, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.resourceeditor, plone.rest, plone.restapi, plone.restapi-angular, plone.scale, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.tiles, plone.transformchain, plonecli, plonedev.vagrant, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, training, volto",2017-01-01,2017-12-31
kitconcept GmbH,1061,187,6,"davisagli, fredvd, jaroel, robgietema, sneridagh, tisto",60,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, diazo, guillotina, papyrus, pastanaga, pastanaga-angular, planet.plone.org, plone.api, plone.app.blob, plone.app.caching, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.robotframework, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.widgets, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.dexterity, plone.formwidget.contenttree, plone.formwidget.querystring, plone.namedfile, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.restapi-angular, plone.scale, plone.schemaeditor, plone.testing, plone.tiles, ploneconf2016.policy, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, volto, voltocms.com",2017-01-01,2017-12-31
Salesforce,855,2,1,esteele,70,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, buildout.coredev, collective.monkeypatcher, diazo, mockup, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.dexterity, plone.formwidget.namedfile, plone.formwidget.querystring, plone.i18n, plone.keyring, plone.login, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.static, plone.protect, plone.releaser, plone.resourceeditor, plone.scale, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.theme, plone.versioncheck, plone.z3cform, ploneorg.core, plonetheme.barceloneta",2017-01-01,2017-12-10
Klein & Partner,591,131,1,jensens,67,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.PortalTransforms, Products.statusmessages, archetypes.multilingual, bobtemplates.plone, buildout.coredev, documentation, mockup, mr.roboto, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.behavior, plone.browserlayer, plone.dexterity, plone.event, plone.namedfile, plone.patternslib, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.rest, plone.scale, plone.schemaeditor, plone.session, plone.supermodel, plone.testing, plone.theme, plone.versioncheck, plonecli, plonetheme.barceloneta",2017-01-01,2017-12-31
PY76,570,92,1,mauritsvanrees,73,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, five.intid, jenkins.plone.org, mockup, papyrus, plone.api, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.widgets, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.dexterity, plone.event, plone.formwidget.namedfile, plone.formwidget.querystring, plone.memoize, plone.namedfile, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.scale, plone.subrequest, plone.testing, plone.theme, plone.transformchain, plonetheme.classic",2017-01-01,2017-12-17
Starzel,381,80,2,"Gomez, pbauer",52,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.Marshall, Products.PlacelessTranslationService, Products.PlonePAS, Products.contentmigration, Products.statusmessages, ansible.plone_server, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, five.intid, planet.plone.org, plone.api, plone.app.blob, plone.app.caching, plone.app.contentlisting, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.folder, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.referenceablebehavior, plone.app.relationfield, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.workflow, plone.app.z3cform, plone.dexterity, plone.login, plone.namedfile, plone.portlet.static, plone.recipe.zope2instance, plone.rfc822, plone.schemaeditor, plone.supermodel, plone.testing, plone.theme, plone.z3cform, plonecli, plonetheme.barceloneta, training",2017-01-29,2017-12-17
Syslab,353,269,3,"ale-rt, svx, thet",65,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.MimetypesRegistry, Products.contentmigration, archetypes.referencebrowserwidget, archetypes.schemaextender, archive.plone.org, bobtemplates.plone, buildout.coredev, documentation, guillotina, mockup, papyrus, plone.api, plone.app.blob, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.folder, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.dexterity, plone.docker, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.instanceprofiling, plone.locking, plone.namedfile, plone.patternslib, plone.portlet.collection, plone.protect, plone.recipe.zope2instance, plone.resource, plone.rfc822, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.testing, plone.versioncheck, plonecli, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto",2017-01-08,2017-12-31
der Freitag,316,53,1,gforcada,37,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.statusmessages, buildout.coredev, collective.indexing, diazo, documentation, jenkins.plone.org, mr.roboto, plone.api, plone.app.caching, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.discussion, plone.app.linkintegrity, plone.app.multilingual, plone.app.upgrade, plone.app.workflow, plone.autoform, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.i18n, plone.intelligenttext, plone.jenkins_node, plone.jenkins_server, plone.login, plone.memoize, plone.namedfile, plone.outputfilters, plone.protect, plone.recipe.codeanalysis, plone.testing, plone.tiles, plone.uuid, plone_best_practices_discussion",2017-01-01,2017-12-31
Uni. Jyvaskylä,258,59,1,datakurre,27,"Products.CMFPlone, Products.statusmessages, buildout.coredev, mockup, papyrus, plone.app.blocks, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.drafts, plone.app.mosaic, plone.app.multilingual, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.z3cform, plone.autoform, plone.formwidget.namedfile, plone.jsonserializer, plone.namedfile, plone.subrequest, plone.supermodel, plone.themepreview, plone.tiles",2017-01-01,2017-12-17
TU München,241,49,1,loechel,15,"Installers-UnifiedInstaller, Products.CMFPlone, bobtemplates.plone, buildout.coredev, diazo, documentation, guillotina, papyrus, plone.api, plone.app.contentlisting, plone.github, plone.namedfile, plone.versioncheck, plone_best_practices_discussion, sphinxtheme.plone",2017-01-22,2017-10-08
Derico,224,16,1,MrTango,17,"Products.CMFPlone, Products.PortalTransforms, ansible.plone_server, bobtemplates.plone, buildout.coredev, papyrus, plone.api, plone.app.contenttypes, plone.app.discussion, plone.app.ldap, plone.app.multilingual, plone.app.robotframework, plone.app.testing, plone.app.upgrade, plone.namedfile, plone.outputfilters, plonecli",2017-01-29,2017-11-19
Nuclia,192,24,2,"bloodbare, ebrehault",10,"Products.CMFDiffTool, ansible-playbook, buildout.coredev, guillotina, guillotina_elasticsearch, pastanaga-angular, plone.app.users, plone.restapi, plone.restapi-angular, training",2017-01-22,2017-12-10
Reid-McMahon,123,36,1,smcmahon,5,"Installers-UnifiedInstaller, ansible-playbook, ansible.plone_server, documentation, plonedev.vagrant",2017-01-15,2017-12-24
IT Sprit,115,4,1,thomasmassmann,6,"bobtemplates.plone, plone.app.standardtiles, plone.recipe.codeanalysis, plonecli, plonetheme.barceloneta, training",2017-06-04,2017-12-31
Agitator,109,28,1,agitator,16,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.standardtiles, plone.app.upgrade, plone.portlet.collection, plone.subrequest, plonetheme.barceloneta",2017-01-08,2017-11-12
4Teamwork,89,24,3,"buchi, jone, lukasgraf",3,"plone.protect, plone.rest, plone.restapi",2017-01-08,2017-11-26
Makina Corpus,87,27,1,tdesvenain,4,"plone.app.contentlisting, plone.formwidget.datetime, plone.restapi, plone.restapi-angular",2017-09-17,2017-12-31
Sixfeetup,78,23,2,"cdw9, tkimnguyen",20,"Plone, Products.CMFPlone, ansible-playbook, buildout.coredev, documentation, mockup, planet.plone.org, plone.api, plone.app.contenttypes, plone.app.dexterity, plone.app.ldap, plone.app.theming, plone.docker, plone.formwidget.namedfile, plone.namedfile, plone.protect, plone.restapi, ploneconf2016.policy, ploneorg.core, ploneorg.theme",2017-01-29,2017-12-24
FHNW,57,35,1,tomgross,20,"Products.CMFPlone, Products.statusmessages, Products.validation, buildout.coredev, documentation, mockup, plone.app.content, plone.app.contenttypes, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.standardtiles, plone.app.z3cform, plone.namedfile, plone.restapi, plone.schemaeditor, plone.tiles",2017-01-01,2017-11-26
Jarn,49,16,4,"MatthewWilkes, fschulze, hannosch, witsch",12,"Products.CMFFormController, archetypes.referencebrowserwidget, buildout.coredev, plone.api, plone.app.blob, plone.app.standardtiles, plone.app.theming, plone.dexterity, plone.reload, plone.restapi, plone.scale, plone.testing",2017-01-29,2017-11-26
IMIO,42,21,3,"bsuttor, gotcha, sgeulette",12,"Products.Archetypes, Products.CMFPlone, buildout.coredev, guillotina, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.robotframework, plone.dexterity, plone.outputfilters, training",2017-01-29,2017-12-17
Soliton Consulting,36,19,1,fulv,8,"ansible-playbook, bobtemplates.plone, buildout.coredev, documentation, pastanaga-angular, plone.behavior, plone.restapi-angular, training",2017-02-19,2017-10-15
Codesyntax,28,21,1,erral,6,"Products.CMFPlone, Products.LinguaPlone, bobtemplates.plone, buildout.coredev, plone.app.multilingual, plone.restapi",2017-02-05,2017-10-22
CCC,25,8,1,polyester,7,"Products.CMFPlone, buildout.coredev, documentation, papyrus, plone.app.layout, plonetheme.barceloneta, sphinxtheme.plone",2017-02-05,2017-11-05
Eau de Web,20,1,2,"avoinea, tiberiuichim",4,"planet.plone.org, plone.app.iterate, plone.docker, plone.rest",2017-02-05,2017-09-10
Zest Software,15,3,1,jladage,4,"plone.app.event, plone.app.layout, plone.app.multilingual, plone.docker",2017-02-26,2017-04-16
RedTurtle,13,7,2,"cekk, mamico",6,"Products.CMFPlone, plone.app.standardtiles, plone.formwidget.datetime, plone.namedfile, plone.recipe.zeoserver, volto",2017-05-14,2017-12-17
Rohberg,9,3,1,ksuess,2,"mockup, plone.app.discussion",2017-07-16,2017-12-10
Ecréall,8,0,1,vincentfretin,2,"buildout.coredev, plone.app.querystring",2017-01-15,2017-07-02
TU Dresden,6,4,1,pgrunewald,2,"Products.Archetypes, plone.memoize",2017-04-16,2017-06-25
Academy of FA Vienna,5,1,1,gogobd,3,"Products.Archetypes, buildout.coredev, plone.instanceprofiling",2017-01-29,2017-02-12
Zopyx,3,1,1,zopyx,4,"Products.CMFPlone, buildout.coredev, planet.plone.org, plone.app.dexterity",2017-03-26,2017-11-05
Webmeisterei,3,6,1,frisi,5,"Products.LinguaPlone, buildout.coredev, collective.monkeypatcher, plone.app.event, plone.app.testing",2017-09-03,2017-09-10
Pretaweb,3,5,3,"djay, djowett, instification",5,"Products.CMFPlone, documentation, plone.app.discussion, plone.rest, training",2017-01-15,2017-07-16
Kombinat,1,5,1,petschki,3,"plone.app.blocks, plone.app.multilingual, plone.app.widgets",2017-10-15,2017-10-15
Affinitic,1,0,1,laulaz,1,buildout.coredev,2017-09-24,2017-09-24
CMS Communications,0,1,1,terapyon,1,plone.app.imaging,,
minddistrict,0,5,1,icemac,3,"plone.recipe.zeoserver, plone.recipe.zope2instance, plone.testing",,
