username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,1147,145,88,"Installers-UnifiedInstaller, Plone, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.validation, buildout.coredev, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, demo.plone.org, diazo, documentation, form-block, jenkins.plone.org, meta, mr.roboto, plone-backend, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.autoform, plone.base, plone.behavior, plone.classicui, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.portlet.static, plone.portlets, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.stringinterp, plone.supermodel, plone.testing, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, setup-plone, volto",2024-01-07,2024-12-15
stevepiercy,849,294,22,"Products.CMFPlone, buildout.coredev, cookiecutter-zope-instance, cookieplone, cookieplone-templates, demo.plone.org, documentation, helm-charts, meta, mockup, mr.roboto, plone-sphinx-theme, plone.api, plone.app.theming, plone.base, plone.distribution, plone.org, plone.recipe.zope2instance, plone.restapi, plone.volto, training, volto",2024-01-07,2024-12-29
petschki,524,137,28,"Products.CMFPlone, Products.PortalTransforms, buildout.coredev, collective.monkeypatcher, documentation, jenkins.plone.org, mockup, plone.app.content, plone.app.contentmenu, plone.app.event, plone.app.mosaic, plone.app.multilingual, plone.app.relationfield, plone.app.standardtiles, plone.app.tiles, plone.app.upgrade, plone.app.z3cform, plone.base, plone.keyring, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.schemaeditor, plone.staticresources, plone.testing, plone.theme, plone.versioncheck, plonetheme.barceloneta",2024-01-07,2024-12-22
davisagli,380,90,29,"Products.CMFEditions, Products.CMFPlone, blocks-conversion-tool, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, form-block, mr.roboto, plone-backend, plone-frontend, plone.api, plone.app.caching, plone.app.contentlisting, plone.app.contenttypes, plone.app.layout, plone.app.multilingual, plone.app.relationfield, plone.app.robotframework, plone.app.users, plone.distribution, plone.exportimport, plone.namedfile, plone.resource, plone.restapi, plone.scale, plone.volto, volto",2024-01-07,2024-12-15
gforcada,305,68,68,"Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, buildout.coredev, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.uuid, plone.app.versioningbehavior, plone.autoform, plone.base, plone.batching, plone.dexterity, plone.distribution, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zeoserver, plone.registry, plone.resource, plone.rfc822, plone.scale, plone.session, plone.stringinterp, plone.supermodel, plone.transformchain, plone.uuid",2024-01-07,2024-12-22
jensens,245,30,19,"Products.CMFDiffTool, Products.CMFPlacefulWorkflow, Products.CMFPlone, buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, documentation, helm-charts, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.redirector, plone.base, plone.restapi, volto",2024-01-21,2024-11-24
ericof,241,56,19,"2024.ploneconf.org, buildout.coredev, cookiecutter-zope-instance, cookieplone, cookieplone-templates, form-block, meta, plone-backend, plone-frontend, plone-zeo, plone.app.contenttypes, plone.classicui, plone.distribution, plone.exportimport, plone.restapi, plone.volto, plonectl, training, volto",2024-01-28,2024-12-01
sneridagh,161,276,14,"2024.ploneconf.org, buildout.coredev, cookieplone-templates, demo.plone.org, documentation, form-block, plone-frontend, plone.de, plone.exportimport, plone.org, plone.restapi, plone.volto, quanta-icons, volto",2024-01-14,2024-12-15
erral,77,35,18,"Products.validation, bobtemplates.plone, buildout.coredev, cookieplone, cookieplone-templates, documentation, form-block, jenkins.plone.org, mockup, plone-backend, plone-vs-snippets, plone.app.caching, plone.app.event, plone.app.multilingual, plone.app.users, plone.distribution, plone.restapi, volto",2024-01-14,2024-12-08
wesleybl,61,51,11,"Products.CMFPlone, buildout.coredev, meta, plone.app.discussion, plone.app.iterate, plone.app.robotframework, plone.rest, plone.restapi, plone.scale, plone.volto, volto",2024-01-07,2024-11-03
