username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
hannosch,804,0,36,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.ResourceRegistries, Products.statusmessages, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.vocabularies, plone.app.workflow, plone.contentrules, plone.i18n, plone.intelligenttext, plone.locking, plone.memoize, plone.openid, plone.portlets, plone.recipe.zope2instance, plone.session",2007-01-07,2007-12-30
optilude,501,0,31,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.ResourceRegistries, Products.contentmigration, archetypes.schemaextender, borg.localrole, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.form, plone.app.iterate, plone.app.layout, plone.app.portlets, plone.app.redirector, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.browserlayer, plone.contentrules, plone.folder, plone.locking, plone.memoize, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.recipe.zope2instance, plone.theme",2007-01-28,2007-12-30
wichert,465,0,43,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.validation, archetypes.schemaextender, borg.localrole, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.vocabularies, plone.app.workflow, plone.browserlayer, plone.contentrules, plone.i18n, plone.intelligenttext, plone.locking, plone.memoize, plone.openid, plone.portlet.collection, plone.portlets, plone.recipe.zope2instance, plone.session, plone.theme",2007-01-07,2007-12-30
witsch,267,0,18,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.Marshall, Products.contentmigration, archetypes.schemaextender, plone.app.blob, plone.app.contentmenu, plone.app.contentrules, plone.app.customerize, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.workflow, plone.folder, plone.portlets, plone.recipe.zope2instance",2007-01-28,2007-12-30
limi,162,0,17,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.vocabularies, plone.app.workflow, plone.i18n, plone.openid",2007-02-18,2007-09-30
fschulze,160,0,15,"Products.ATContentTypes, Products.Archetypes, Products.CMFDynamicViewFTI, Products.ResourceRegistries, archetypes.schemaextender, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.layout, plone.app.portlets, plone.app.redirector, plone.app.viewletmanager, plone.app.vocabularies, plone.session",2007-01-07,2007-12-09
dnouri,138,0,18,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.Marshall, Products.MimetypesRegistry, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.iterate, plone.app.layout, plone.app.portlets, plone.memoize, plone.openid, plone.portlets, plone.recipe.zope2instance, plone.session, plone.theme",2007-01-14,2007-12-23
alecpm,136,0,12,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.PlonePAS, borg.localrole, five.intid, plone.app.controlpanel, plone.app.form, plone.app.layout, plone.app.workflow",2007-01-14,2007-12-30
davconvent,58,0,7,"Products.CMFEditions, Products.ResourceRegistries, plone.app.contentrules, plone.app.controlpanel, plone.app.layout, plone.app.portlets, plone.app.viewletmanager",2007-02-18,2007-10-21
encolpe,56,0,3,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow",2007-02-25,2007-11-04
