organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,1106,412,137,"3dogMcNeill, Adniel, Gagaro, SyZn, acatlla, aclark4life, acsr, adamcheasley, adaugherity, afrepues, albertcasado, albertoserrano, alecghica, alecpm, aman2arora, amleczko, ampsport, arterrey, athomerson, barseghyanartur, benniboy, birdwell, blazbratanic, bogdangi, bosim, cbcunc, cedricmessiant, cewing, chris2fr, cillianderoiste, cleberjsantos, csenger, cydoval, danjacka, david-batranu, davidemoro, davidjb, davismr, dblas, dimified, dimlev, do3cc, eivino, eleddy, enfold-josh, espenmn, fbrun, feesh, flohcim, franciscogregori, frapell, garbas, gaudenz, gborelli, giacomos85, hmharter, hoka, htgoebel, huubbouma, hvelarde, ianderso, ida, ivanteoh, jcbrand, jcerjak, jean, jfroche, jianaijun, jpgimenez, jterstriep, jtmolon, kamihacker, kamon, keul, khink, kitesurfer1404, kroman0, l34marr, ladplone, lentinj, lewicki, lowks, lpmayos, lukebrannon, maartenkling, macagua, maethu, markvl, martior, mattss, mbaechtold, me-kell, mgrbyte, miohtama, mitakas, montypie, muellert, naro, nightmarebadger, obct537, olimpiurob, ovidiumiron, pabo3000, parruc, pauloxnet, pigeonflight, puittenbroek, pysailor, rafaelbco, ramiroluz, regebro, retsu, rnixx, robdayz, ronniestevens, rristow, saily, sdelcourt, seanupton, seocam, siebo, simahawk, simonedeponti, skillfully, staeff, sunbit, sunew, sureshvv, takanory, tiazma, timitos, tmog, tschanzt, vanclevstik, vangheem, webrooster, zupo",107,"Installers-UnifiedInstaller, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.ResourceRegistries, Products.contentmigration, ansible.plone_server, archetypes.querywidget, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, diazo, documentation, mockup, papyrus, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.relationfield, plone.app.search, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.dexterity, plone.event, plone.folder, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.login, plone.memoize, plone.multilingualbehavior, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resourceeditor, plone.restapi, plone.schemaeditor, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plonedev.vagrant, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.sunburst, sphinxtheme.plone, training",2014-01-05,2014-12-28
kitconcept GmbH,1044,59,7,"davisagli, ericof, fredvd, jaroel, robgietema, sneridagh, tisto",78,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.MimetypesRegistry, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, diazo, documentation, jenkins.plone.org, mockup, planet.plone.org, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.browserlayer, plone.dexterity, plone.formwidget.querystring, plone.jenkins_server, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.stringinterp, plone.testing, plone.theme, plone.themepreview, ploneorg.core, ploneorg.theme, plonetheme.barceloneta",2014-01-05,2014-12-28
Salesforce,701,2,2,"dextermilo, esteele",81,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFQuickInstallerTool, Products.MimetypesRegistry, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, mockup, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.querystring, plone.app.relationfield, plone.app.search, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.cachepurging, plone.contentrules, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.querystring, plone.keyring, plone.locking, plone.login, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.alltests, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.scale, plone.schemaeditor, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst",2014-01-26,2014-11-16
Syslab,563,81,5,"ale-rt, pilz, reinhardt, svx, thet",50,"Installers-UnifiedInstaller, Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.ResourceRegistries, Products.contentmigration, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, bobtemplates.plone, buildout.coredev, documentation, mockup, papyrus, planet.plone.org, plone.api, plone.app.collection, plone.app.contenttypes, plone.app.controlpanel, plone.app.debugtoolbar, plone.app.dexterity, plone.app.event, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.relationfield, plone.app.robotframework, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.autoform, plone.dexterity, plone.event, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.recurrence, plone.jenkins_server, plone.namedfile, plone.scale, plonedev.vagrant, plonetheme.sunburst, sphinxtheme.plone, training",2014-01-05,2014-12-21
Starzel,514,40,2,"Gomez, pbauer",22,"Products.ATContentTypes, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.contentmigration, bobtemplates.plone, buildout.coredev, documentation, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.portlets, plone.app.testing, plone.app.widgets, plone.app.workflow, plone.dexterity, plone.schemaeditor, training",2014-02-02,2014-12-28
Uni. Jyvaskylä,498,39,1,datakurre,29,"Products.CMFPlone, Products.contentmigration, buildout.coredev, documentation, jenkins.plone.org, mockup, papyrus, plone.app.blocks, plone.app.contenttypes, plone.app.event, plone.app.mosaic, plone.app.multilingual, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.widgets, plone.autoform, plone.dexterity, plone.recipe.codeanalysis, plone.schemaeditor, plone.subrequest, plone.supermodel, plone.themepreview, plone.tiles, ploneorg.core, plonetheme.barceloneta",2014-02-09,2014-12-07
der Freitag,327,23,1,gforcada,103,"Plone, Products.CMFQuickInstallerTool, Products.PortalTransforms, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, documentation, jenkins.plone.org, mockup, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_server, plone.keyring, plone.locking, plone.login, plone.memoize, plone.namedfile, plone.openid, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.registry, plone.resource, plone.resourceeditor, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.stringinterp, plone.supermodel, plone.synchronize, plone.testing, plone.themepreview, plone.tiles, plone.transformchain, plone.uuid, ploneorg.core, training",2014-02-09,2014-12-14
FHNW,264,39,1,tomgross,44,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.contentmigration, archetypes.schemaextender, borg.localrole, buildout.coredev, plone.app.blob, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.event, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.openid, plone.app.portlets, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.workflow, plone.caching, plone.locking, plone.openid, plone.outputfilters, plone.session, plone.transformchain, plonetheme.sunburst",2014-01-05,2014-12-21
Nuclia,226,34,2,"bloodbare, ebrehault",40,"Products.ATContentTypes, Products.CMFPlone, Products.MimetypesRegistry, Products.ResourceRegistries, archetypes.multilingual, buildout.coredev, mockup, mr.roboto, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.search, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.portlet.static, plone.registry, plone.resource, plone.resourceeditor, plone.scale, plone.schemaeditor, plone.session, plone.subrequest, plone.tiles, plonetheme.barceloneta",2014-01-19,2014-12-28
Reid-McMahon,205,5,1,smcmahon,12,"Installers-UnifiedInstaller, ansible-playbook, ansible.plone_server, buildout.coredev, documentation, plone.app.dexterity, plone.app.relationfield, plone.recipe.unifiedinstaller, plone.recipe.zeoserver, plone.schemaeditor, plonedev.vagrant, training",2014-01-05,2014-12-14
