github_username,pull_requests,commits
robgietema,49,278
sneridagh,35,186
tisto,22,168
nileshgulia1,16,11
bloodbare,6,61
davisagli,4,4
cekk,2,18
pnicolli,1,1
ajayns,1,9
esteele,1,0
pbauer,1,1
datakurre,0,18
vangheem,0,5
