organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,5672,142,230,"31z4, AlistairB, BaurzhanSakhariev, DanStough, DarthGandalf, Djelibeybi, Dnouv, Enygma2002, EvgeniyPatlan, Fosten, Gagaro, HoustonPutman, Hrittik20, HuangXingBo, J0WI, JanWielemaker, KVS85, LeoColomb, Llewellynvdm, LuisPalomo, MAX-786, NeilHanlon, Obirvalger, RealCLanger, Rudd-O, Sadeedpv, SaraBianchi, TC5022, Thokas, TimWolla, UnaiEtxaburu, Wylbur, Yikun, aborg-dev, acburdine, adam139, adivinho, afr1ka, akoeplinger, alcohol, amsteinb-orcl, andreasma, andreiggr, andyli, anirudhhkashyap, anwittin, aormazabal, archlinux-github, arky, asbiin, athomas, avimishra18, baptistemesta, barcafa, benrobot, benty-amzn, bernhardreiter, bfeshti, binary141, bipoza, bnpfeife, bruth, calvn, caojoshua, cap10morgan, carlossg, ceejatec, chalstrick, cillianderoiste, cliveverghese, clrbuilder, crpotter, cverna, d-fence, danielamormocea, danila-m, dario-weswit, dataflake, david-batranu, dbart, dbitouze, dgsmith2, docker-library-bot, docmerlin, duchenean, eculver, eddelbuettel, educhastenier, faro76, faustoonna, gabor-boros, gdams, getong, gitcarbs, gquintard, grooverdan, gszr, h-khkh, hairyhenderson, hashi-derek, headius, hutchic, ibennetch, id, jacek-poreda-sonarsource, janjaapdriessen, janl, jayasg12, jbleduigou, jbleduigou-aircall, jeffreyssmith2nd, jennyowen, jhowell-burke, jimbiscuit, jmevissen, jotare, juanluisrp, julienCarret, kakshay21, keeganwitt, kevinpollet, kgharris, kikito, kozlovic, kreafox, krissik, ktsrivastava29, lachlan-roberts, ldez, legoktm, luigidellaquila, lutkerd, m-dango, macagua, manuelleduc, markjameswill, marwanatef2, matriv, mbarde, mcoberly2, mdsahiloss, me-kell, mflorea, mfussenegger, mgedmin, mhocouchbase, michaellaunay, michitux, mihaislobozeanu, mikaelarguedas, milosgajdos, miziodel, mladlow, mmarinchenko, msbt, mtrebron, mwhudson, narkedi, ncopa, nicolas-albert, niglesiaszingoni, niheconomoum, nupplaphil, perrinjerome, philippe-perrin-sonarsource, powersj, pvinh-spike, ralight, raulclay, razvanMiu, reimda, rgithubli, rioksane, rmetzger, rnixx, rohnsha0, rouralberto, rristow, rtribotte, ruffsl, sampaiodiego, santonelli, sauzher, sboghy, scriptmonkey, sdwolfz, seut, sfackler, shahmishal, shashuat, siddharthvipul, silviubogan, sktomer, sl-team, sortie, srbala, surli, sxa, talarias, tao12345666333, tglman, thaJeztah, thomlamb, thresheek, tianon, tmortagne, toabctl, tobias-trabelsi-sonarsource, tomMoulard, tschorr, udkyo, valentinab25, valipod, vangheem, vanosg, vmassol, vorsel, wallyqs, wglambert, whesse, williamdes, woky, wolbernd, wouter-admiraal-sonarsource, yarikoptic, yosifkit, zakame, zdtsw, zentol, zworkb",55,"2023.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, dockerhub-docs, dockerhub-official-images, documentation, form-block, guillotina, guillotina_s3storage, meta, mockup, pastanaga-angular, plone-backend, plone.app.blocks, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.theming, plone.app.upgrade, plone.app.uuid, plone.app.viewletmanager, plone.app.z3cform, plone.base, plone.docker, plone.formwidget.autocomplete, plone.formwidget.recaptcha, plone.instanceprofiling, plone.nl, plone.org, plone.outputfilters, plone.protect, plone.recipe.codeanalysis, plone.restapi, plone.restapi-angular, plone.session, plone.staticresources, plone.volto, plonecli, ploneconf.org, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto, volto-addon-ci, volto-reference-backend",2018-04-25,2022-12-31
kitconcept GmbH,2696,586,15,"ThomasKindermann, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, jnptk, reebalazs, robgietema, sneridagh, steffenri, tisto",64,".github, 2023.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, blocks-conversion-tool, buildout.coredev, code-analysis-action, code-quality, demo.plone.org, documentation, form-block, jenkins.plone.org, mockup, mr.roboto, old_plone.org, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.app.content, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.users, plone.app.versioningbehavior, plone.autoinclude, plone.base, plone.de, plone.dexterity, plone.formwidget.hcaptcha, plone.i18n, plone.memoize, plone.nl, plone.org, plone.protect, plone.recipe.codeanalysis, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.volto, ploneconf.org, ploneorg.theme, quanta-icons, setup-plone, training, vite-playground, volto, volto-quanta, volto-quanta-project, volto-reference-backend",2022-01-02,2022-12-31
PY76,2605,224,1,mauritsvanrees,94,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, borg.localrole, buildout.coredev, cookiecutter-zope-instance, diazo, documentation, jenkins.plone.org, mockup, mr.roboto, planet.plone.org, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.releaser, plone.resourceeditor, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.subrequest, plone.supermodel, plone.transformchain, plone.volto, plone.z3cform, plonetheme.barceloneta, zodbverify",2021-12-01,2022-12-28
Steve Piercy - Website Builder,1065,176,1,stevepiercy,12,".github, Products.CMFPlone, ansible-playbook, buildout.coredev, documentation, plone-backend, plone.api, plone.restapi, plone.volto, sphinxtheme.plone, training, volto",2022-01-06,2022-12-31
Kombinat,943,156,1,petschki,44,"Products.CMFPlone, buildout.coredev, diazo, documentation, mockup, mr.roboto, plone.app.blocks, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.formwidget.recurrence, plone.i18n, plone.jsonserializer, plone.namedfile, plone.outputfilters, plone.resourceeditor, plone.schemaeditor, plone.staticresources, plone.z3cform, plonetheme.barceloneta",2021-09-27,2022-12-28
Klein & Partner KG,853,79,1,jensens,68,".github, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, documentation, old_plone.org, planet.plone.org, plone-backend, plone-frontend, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.cachepurging, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.recurrence, plone.i18n, plone.instanceprofiling, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.recipe.zope2instance, plone.restapi, plone.scale, plone.schema, plone.staticresources, plone.subrequest, plone.volto, plone.z3cform, plonetheme.barceloneta, training",2021-09-23,2022-12-30
Syslab,724,92,4,"ale-rt, reinhardt, svx, thet",39,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, mockup, pat-content-browser, plone.api, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.robotframework, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.widgets, plone.app.workflowmanager, plone.app.z3cform, plone.i18n, plone.patternslib, plone.recipe.zope2instance, plone.schemaeditor, plone.session, plone.staticresources, plonetheme.barceloneta, volto",2021-02-10,2022-12-14
Rohberg,565,83,1,ksuess,9,"buildout.coredev, documentation, guillotina, plone.api, plone.app.content, plone.app.upgrade, plone.restapi, training, volto",2022-01-04,2022-12-22
Derico,538,58,1,MrTango,31,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, documentation, mockup, plone-vs-snippets, plone.app.contentrules, plone.app.discussion, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.widgets, plone.autoinclude, plone.base, plone.gallery, plone.namedfile, plone.outputfilters, plone.pdfexport, plone.scale, plone.schema, plone.staticresources, plonecli, plonetheme.barceloneta, training, volto",2021-02-17,2022-12-21
Starzel,429,58,1,pbauer,37,"Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, demo.plone.org, documentation, old_plone.org, plone.api, plone.app.caching, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.upgrade, plone.app.vulnerabilities, plone.app.widgets, plone.base, plone.org, plone.outputfilters, plone.portlet.collection, plone.restapi, plone.schemaeditor, plone.staticresources, plone.volto, plonetheme.barceloneta, training, zodbverify",2022-01-07,2022-12-19
