organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Jarn,2273,0,9,"MatthewWilkes, baekholt, fschulze, hannosch, limi, lrowe, stefanholek, tomster, witsch",83,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, five.intid, planet.plone.org, plone.app.caching, plone.app.collection, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.ldap, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.redirector, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.browserlayer, plone.contentrules, plone.folder, plone.formwidget.namedfile, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.openid, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.scale, plone.session, plone.stringinterp, plone.subrequest, plone.testing, plone.theme, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-12-26
Independent,679,0,39,"RMattB, aaronvanderlip, aclark4life, alecpm, amleczko, awello, cah190, chaoflow, csenger, davidblewett, dnouri, dorneles, dukebody, eleddy, emanlove, garbas, gaudenz, jcbrand, jonstahl, k-j-kleist, keul, lentinj, maartenkling, macadames, malthe, mishunov, mrsavage, naro, pellekrogholt, ralphjacobs, regebro, silviot, sureshvv, sylvainb, toutpt, vangheem, vincic, vipod, zupo",64,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.Marshall, Products.PloneLanguageTool, Products.PlonePAS, archetypes.referencebrowserwidget, buildout.coredev, diazo, five.intid, planet.plone.org, plone.app.async, plone.app.blocks, plone.app.collection, plone.app.contentlisting, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.testing, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.workflow, plone.app.workflowmanager, plone.app.z3cform, plone.behavior, plone.dexterity, plone.event, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.querystring, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.subrequest, plone.testing, plone.tiles, plone.uuid, plone.z3cform, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-12-26
Salesforce,441,0,1,esteele,34,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.ResourceRegistries, archetypes.referencebrowserwidget, borg.localrole, buildout.coredev, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.linkintegrity, plone.app.portlets, plone.app.registry, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.session, plone.stringinterp, plone.testing, plonetheme.classic, plonetheme.sunburst",2010-01-03,2010-12-12
Deloitte Digital,410,0,1,optilude,35,"Products.Archetypes, Products.ResourceRegistries, Products.statusmessages, buildout.coredev, diazo, plone.app.blocks, plone.app.caching, plone.app.dexterity, plone.app.drafts, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.uuid, plone.app.z3cform, plone.autoform, plone.cachepurging, plone.caching, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.namedfile, plone.outputfilters, plone.portlets, plone.registry, plone.reload, plone.resource, plone.scale, plone.testing, plone.tiles, plone.transformchain, plone.uuid, plone.z3cform",2010-01-03,2010-12-05
kitconcept GmbH,407,0,2,"davisagli, sneridagh",64,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.Marshall, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, five.intid, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.resource, plone.scale, plone.testing, plone.transformchain, plone.z3cform, plonetheme.classic, plonetheme.sunburst",2010-01-10,2010-12-19
Syslab,192,0,2,"pilz, thet",13,"Products.ATContentTypes, Products.Archetypes, Products.LinguaPlone, Products.PortalTransforms, buildout.coredev, five.intid, plone.app.caching, plone.app.controlpanel, plone.app.ldap, plone.app.portlets, plone.app.viewletmanager, plone.event, plone.formwidget.recurrence",2010-01-03,2010-12-26
Ecréall,166,0,1,vincentfretin,29,"Products.ATContentTypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, archetypes.referencebrowserwidget, buildout.coredev, plone.app.caching, plone.app.collection, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.discussion, plone.app.imaging, plone.app.iterate, plone.app.ldap, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.users, plone.app.vocabularies, plone.app.z3cform, plone.event, plone.i18n, plone.recipe.zope2instance, plone.tiles, plone.z3cform, plonetheme.sunburst",2010-01-24,2010-12-19
FHNW,106,0,1,tomgross,8,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, Products.PlonePAS, Products.PloneTestCase, archetypes.referencebrowserwidget, buildout.coredev, plone.app.portlets",2010-01-31,2010-12-19
Sixfeetup,100,0,2,"cdw9, rpatterson",25,"Products.Archetypes, Products.CMFPlacefulWorkflow, Products.PortalTransforms, archetypes.querywidget, archetypes.referencebrowserwidget, buildout.coredev, plone.app.collection, plone.app.contentlisting, plone.app.contentmenu, plone.app.controlpanel, plone.app.dexterity, plone.app.form, plone.app.portlets, plone.app.querystring, plone.app.testing, plone.app.upgrade, plone.app.users, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.i18n, plone.namedfile, plone.stringinterp, plone.testing, plonetheme.classic, plonetheme.sunburst",2010-02-21,2010-12-12
Makina Corpus,85,0,1,tdesvenain,15,"Products.ATContentTypes, Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, archetypes.referencebrowserwidget, buildout.coredev, plone.app.contentrules, plone.app.controlpanel, plone.app.portlets, plone.app.users, plone.app.vocabularies, plone.app.workflow, plone.portlets, plone.stringinterp, plonetheme.sunburst",2010-05-30,2010-12-26
