organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Independent,3542,99,188,"07tAnYa, 31z4, Abhishek-17h, Adityaadpandey, Akshat2Jain, BaurzhanSakhariev, BjoernLudwig, BlackthornYugen, DarthGandalf, Earlopain, EshaanAgg, FHefterSRH, Faakhir30, Felixoid, Fosten, FritzHoing, HeCorr, Hrittik20, J0WI, JanWielemaker, JohnCMoon, JohnONolan, KVS85, LaurentGoderre, Llewellynvdm, MAX-786, Molochem, MorgusLethe, MostafaMagdyy, Muscraft, Obirvalger, PeterDaveHello, Prince0906, Raman-Luhach, Ravi-kumar9347, RealCLanger, Rudometov, Sakoes, SaraBianchi, SarthakPaandey, Simran-B, TimWolla, UnaiEtxaburu, Vivek-04022001, Yikun, aadityaforwork, adivinho, afr1ka, agan-k, alcohol, alexnuttinck, amsteinb-orcl, andrewlukoshko, andyli, aniket7r, animus888, archlinux-github, aryan7081, asbiin, athomas, bnpfeife, bruth, cap10morgan, carlossg, carminevassallo, ceejatec, chalstrick, christian-heusel, cjdcordeiro, clrbuilder, curiositycasualty, cverna, d-fence, dario-weswit, davividal, dbulashev, devdanzin, develop7, dmaier-redislabs, docker-library-bot, dsmiley, dvdksn, eddelbuettel, elasticmachine, ericsporre, erikriver, ewohnlich, fabiorauber, felipementel, francislavoie, gdams, gerlowskija, getong, ghnire, ghorbani-ali, glindroth, gquintard, grooverdan, hanshuebner, headius, id, itsjustkevin, janhoy, jayasg12, jbleduigou, jennyowen, jhrcek, jnioche, jstirnaman, juanluisbaptiste, juanluisrp, kHAPPY2004, keeganwitt, kevinpollet, kikito, krissik, lachlan-roberts, ldez, legoktm, leochr, lorstenoplo, lutkerd, m-dango, macagua, manuelleduc, masonbrothers, matriv, mbarde, mcoberly2, mflorea, mhocouchbase, michaelzangl, michitux, mikaelarguedas, mikelococo, milosgajdos, miropaananen, mmatur, mmoqui, muditchoudhary, narkedi, navyau09, ncopa, nicolas-albert, nupplaphil, oanalavinia, operramon, oxpa, plebcity, pothitos, powersj, pulkitxm, pvinh-spike, rassie, razvanMiu, rber474, rbioteau, rgithubli, rohnsha0, rtribotte, rzo1, sabrina-bongiovanni, sampaiodiego, samriddhi99, sauzher, scriptmonkey, seut, shahmishal, sktomer, sl-team, surli, sxa, tedw87, tglman, thresheek, tianon, tmortagne, tschorr, ttshivers, vanosg, victorchrollo14, vmassol, wallyqs, wraschke, xiru, yarikoptic, yosifkit, zakame",24,"Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, dockerhub-docs, dockerhub-official-images, documentation, form-block, helm-charts, mockup, pastanaga-angular, plone.api, plone.app.contentmenu, plone.app.debugtoolbar, plone.app.multilingual, plone.app.users, plone.app.vocabularies, plone.base, plone.de, plone.org, plone.recipe.zope2instance, plone.restapi, training, volto",2024-01-01,2024-12-31
kitconcept GmbH,1591,508,13,"Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jnptk, robgietema, sneridagh, steffenri, tisto",55,"2024.ploneconf.org, Products.CMFEditions, Products.CMFPlone, Products.PortalTransforms, Products.validation, blocks-conversion-tool, buildout.coredev, cookiecutter-zope-instance, cookieplone, cookieplone-templates, demo.plone.org, documentation, form-block, helm-charts, meta, mr.roboto, pastanaga-icons, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.users, plone.classicui, plone.de, plone.distribution, plone.exportimport, plone.formwidget.hcaptcha, plone.namedfile, plone.org, plone.recipe.zeoserver, plone.resource, plone.rest, plone.restapi, plone.scale, plone.testing, plone.theme, plone.volto, plonectl, quanta-icons, setup-plone, training, volto",2024-01-01,2024-12-20
PY76,1523,145,1,mauritsvanrees,101,"Installers-UnifiedInstaller, Plone, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.validation, buildout.coredev, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, diazo, documentation, form-block, jenkins.plone.org, meta, mr.roboto, plone-backend, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.base, plone.behavior, plone.classicui, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schemaeditor, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plonetheme.barceloneta, setup-plone, volto",2024-01-03,2024-12-20
Steve Piercy - Website Builder,1117,294,1,stevepiercy,17,"Products.CMFPlone, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, dockerhub-docs, documentation, mockup, mr.roboto, plone-sphinx-theme, plone.api, plone.app.theming, plone.org, plone.recipe.zope2instance, plone.restapi, training, volto",2024-01-02,2024-12-23
der Freitag,1075,74,1,gforcada,101,"Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, borg.localrole, buildout.coredev, diazo, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.folder, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plonetheme.barceloneta",2023-05-03,2024-12-23
Kombinat,751,141,1,petschki,35,"Products.CMFPlone, Products.PortalTransforms, buildout.coredev, collective.monkeypatcher, documentation, jenkins.plone.org, mockup, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.mosaic, plone.app.multilingual, plone.app.relationfield, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.widgets, plone.app.z3cform, plone.base, plone.keyring, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.schemaeditor, plone.staticresources, plone.testing, plone.theme, plone.versioncheck, plone.volto, plonetheme.barceloneta",2023-11-15,2024-12-28
Klein & Partner KG,442,37,1,jensens,78,"Products.CMFDiffTool, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.isurlinportal, Products.statusmessages, borg.localrole, buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, documentation, plone-backend, plone.alterego, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.redirector, plone.app.relationfield, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.viewletmanager, plone.app.vocabularies, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.event, plone.folder, plone.formwidget.namedfile, plone.intelligenttext, plone.keyring, plone.locking, plone.outputfilters, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.registry, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plonetheme.barceloneta, volto",2023-05-17,2024-11-26
Uni. Hospital Dresden,156,33,1,1letter,17,"Products.CMFPlone, buildout.coredev, documentation, meta, mockup, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.multilingual, plone.app.upgrade, plone.app.widgets, plone.app.z3cform, plone.base, plone.schemaeditor, plone.staticresources",2024-04-02,2024-12-20
RedTurtle,143,64,7,"Wagner3UB, cekk, folix-01, giuliaghisini, mamico, pnicolli, yurj",18,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, form-block, plone-frontend, plone.app.contenttypes, plone.app.event, plone.app.multilingual, plone.app.users, plone.distribution, plone.event, plone.namedfile, plone.org, plone.restapi, plonetheme.barceloneta, volto",2024-01-30,2024-12-17
Syslab,111,35,4,"ale-rt, reinhardt, svx, thet",28,"Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, buildout.coredev, cookieplone-templates, documentation, meta, mockup, plone.app.caching, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.robotframework, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.z3cform, plone.base, plone.dexterity, plone.distribution, plone.formwidget.namedfile, plone.namedfile, plone.protect, plone.volto, plonetheme.barceloneta",2023-04-10,2024-12-20
