github_username,pull_requests,commits
sneridagh,274,227
wesleybl,93,45
stevepiercy,62,59
pnicolli,34,8
davisagli,20,18
Wagner3UB,15,7
alexandreIFB,14,7
ksuess,13,10
iFlameing,11,6
nileshgulia1,11,6
erral,11,8
Abhishek-17h,10,8
giuliaghisini,8,5
Tishasoumya-02,8,5
ionlizarazu,7,3
Shyam-Raghuwanshi,7,4
aryan7081,7,4
rboixaderg,5,2
ericof,4,3
reebalazs,4,3
tedw87,4,1
silviubogan,4,3
pratyush07-hub,4,3
kittauri,4,3
avoinea,3,1
iRohitSingh,3,3
dobri1408,3,1
Manik-Khajuria-5,3,1
mauritsvanrees,3,2
jnptk,3,2
calinvladth,3,1
robgietema,2,4
fredvd,2,3
sabrina-bongiovanni,2,1
tomschall,2,2
Narcis2005,2,2
ompharate,2,1
ebrehault,2,0
JeffersonBledsoe,1,2
terapyon,1,0
danalvrz,1,0
SaraBianchi,1,0
Shauryan0207,1,0
ana-oprea,1,0
boss6825,1,1
acsr,1,1
gummybearansh,1,0
toropok,1,1
kreafox,0,1
TechSubham,0,2
Manas-Kenge,0,1
