github_username,pull_requests,commits
sneridagh,372,300
Tishasoumya-02,69,29
stevepiercy,64,52
davisagli,43,37
ksuess,23,16
iFlameing,18,13
tiberiuichim,17,9
erral,16,10
pnicolli,12,8
robgietema,10,6
wesleybl,9,4
danalvrz,8,5
JeffersonBledsoe,8,2
Wagner3UB,7,2
giuliaghisini,5,3
ichim-david,5,4
nileshgulia1,5,4
cekk,3,2
jackahl,2,1
avoinea,1,1
nzambello,1,1
tisto,1,1
djay,0,0
dobri1408,0,11
