github_username,pull_requests,commits
sneridagh,266,650
stevepiercy,53,104
tiberiuichim,46,55
giuliaghisini,30,31
robgietema,29,49
erral,28,27
ksuess,24,29
davisagli,23,25
iFlameing,19,19
JeffersonBledsoe,12,10
reebalazs,12,12
ionlizarazu,10,5
nileshgulia1,8,8
pnicolli,8,5
mamico,8,9
ericof,6,15
iRohitSingh,6,13
mdsahiloss,6,3
avoinea,5,7
wesleybl,4,4
ktsrivastava29,4,47
dobri1408,4,3
fredvd,4,5
steffenri,4,4
tisto,3,5
razvanMiu,3,3
danalvrz,3,3
MAX-786,3,3
danielamormocea,3,3
mihaislobozeanu,3,3
cekk,2,1
macagua,2,14
ichim-david,2,2
kreafox,2,3
instification,2,2
wolbernd,2,5
SaraBianchi,2,1
bipoza,2,1
andreiggr,2,2
nzambello,1,2
jackahl,1,0
terapyon,1,1
Wagner3UB,1,0
rpatterson,1,3
esteele,1,6
silviubogan,1,1
ThomasKindermann,1,2
UnaiEtxaburu,1,1
sboghy,1,1
avimishra18,1,1
arky,1,1
adam139,1,1
mpeeters,1,1
spereverde,1,1
Dnouv,1,1
MrTango,0,1
