organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
Jarn,1970,0,9,"MatthewWilkes, baekholt, fschulze, hannosch, limi, lrowe, stefanholek, tomster, witsch",72,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.referencebrowserwidget, archetypes.schemaextender, buildout.coredev, diazo, five.intid, plone.app.blob, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.search, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.contentrules, plone.dexterity, plone.folder, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.openid, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.session, plone.supermodel, plone.theme, plonetheme.classic, plonetheme.sunburst",2009-01-04,2009-12-27
Deloitte Digital,520,0,1,optilude,46,"Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.PortalTransforms, archetypes.referencebrowserwidget, buildout.coredev, collective.monkeypatcher, five.intid, plone.alterego, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.linkintegrity, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.textfield, plone.app.tiles, plone.app.users, plone.app.versioningbehavior, plone.app.z3cform, plone.autoform, plone.behavior, plone.browserlayer, plone.caching, plone.dexterity, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.indexer, plone.namedfile, plone.portlets, plone.registry, plone.reload, plone.rfc822, plone.stringinterp, plone.supermodel, plone.synchronize, plone.tiles, plone.transformchain, plone.z3cform",2009-01-11,2009-12-27
Independent,396,0,32,"aaronvanderlip, aburkhalter, aclark4life, alecpm, amleczko, bbuehlmann, cah190, calvinhp, claytron, csenger, dnouri, dorneles, dukebody, emanlove, erikrose, garbas, glenfant, jcbrand, jonstahl, k-j-kleist, malthe, mishunov, naro, pellekrogholt, pysailor, ralphjacobs, regebro, retsu, santonelli, siebo, sjoerdvan, vloothuis",42,"Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFQuickInstallerTool, Products.LinguaPlone, Products.Marshall, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, archetypes.referencebrowserwidget, buildout.coredev, collective.monkeypatcher, five.intid, plone.app.blob, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.search, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.behavior, plone.dexterity, plone.openid, plone.portlet.collection, plone.recipe.zope2instance, plone.theme, plonetheme.classic, plonetheme.sunburst",2009-01-04,2009-12-27
kitconcept GmbH,358,0,2,"davisagli, ericof",46,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, archetypes.referencebrowserwidget, buildout.coredev, plone.app.blob, plone.app.blocks, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.folder, plone.app.imaging, plone.app.layout, plone.app.linkintegrity, plone.app.openid, plone.app.search, plone.app.textfield, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.z3cform, plone.autoform, plone.behavior, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.locking, plone.namedfile, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.scale, plone.session, plone.theme, plone.z3cform, plonetheme.sunburst",2009-01-04,2009-12-27
Salesforce,189,0,1,esteele,20,"Products.ATContentTypes, Products.Archetypes, Products.PloneTestCase, Products.ResourceRegistries, archetypes.referencebrowserwidget, buildout.coredev, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.openid, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.portlet.static, plone.recipe.zope2instance, plonetheme.classic, plonetheme.sunburst",2009-05-31,2009-12-20
Simplon,123,0,1,wichert,25,"Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ResourceRegistries, Products.contentmigration, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.folder, plone.app.layout, plone.app.redirector, plone.app.relationfield, plone.app.search, plone.app.viewletmanager, plone.browserlayer, plone.dexterity, plone.folder, plone.formwidget.namedfile, plone.keyring, plone.openid, plone.recipe.zope2instance, plone.scale, plone.session",2009-01-11,2009-11-08
Ecréall,118,0,1,vincentfretin,23,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFQuickInstallerTool, Products.LinguaPlone, Products.ResourceRegistries, archetypes.referencebrowserwidget, buildout.coredev, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.form, plone.app.i18n, plone.app.layout, plone.app.openid, plone.app.users, plone.app.viewletmanager, plone.app.z3cform, plone.portlet.collection, plone.portlet.static, plone.z3cform, plonetheme.sunburst",2009-02-22,2009-12-13
Reid-McMahon,85,0,1,smcmahon,9,"buildout.coredev, plone.app.contentrules, plone.app.controlpanel, plone.app.openid, plone.app.upgrade, plone.recipe.zope2instance, plone.stringinterp, plonetheme.classic, plonetheme.sunburst",2009-02-15,2009-12-13
PY76,73,0,1,mauritsvanrees,21,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.LinguaPlone, Products.validation, archetypes.schemaextender, buildout.coredev, plone.app.controlpanel, plone.app.iterate, plone.app.layout, plone.app.openid, plone.app.upgrade, plone.app.users, plone.app.vocabularies, plone.indexer, plone.intelligenttext, plone.portlets, plone.protect, plone.session, plonetheme.sunburst",2009-01-11,2009-12-06
Sixfeetup,66,0,1,rpatterson,7,"Products.ATContentTypes, Products.LinguaPlone, Products.contentmigration, buildout.coredev, plone.app.blob, plone.app.users, plonetheme.sunburst",2009-05-24,2009-11-15
FHNW,46,0,1,tomgross,4,"Products.ATContentTypes, archetypes.referencebrowserwidget, buildout.coredev, plone.app.upgrade",2009-04-19,2009-12-20
Royal Belgium Institute of National Science,18,0,1,davconvent,1,plone.app.users,2009-01-25,2009-02-01
bearstach,16,0,1,encolpe,5,"Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.PortalTransforms, plone.recipe.zope2instance",2009-01-25,2009-10-18
IMIO,12,0,1,gotcha,6,"buildout.coredev, collective.monkeypatcher, plone.app.redirector, plone.app.z3cform, plone.recipe.zope2instance, plone.z3cform",2009-03-29,2009-11-15
CMS Communications,6,0,1,terapyon,1,buildout.coredev,2009-08-16,2009-09-27
Klein & Partner,5,0,1,jensens,2,"Products.LinguaPlone, plone.app.form",2009-09-13,2009-11-08
Nelen-Schuurmans,1,0,1,reinout,1,plone.recipe.alltests,2009-08-16,2009-08-16
Syslab,1,0,1,thet,1,Products.CMFEditions,2009-04-19,2009-04-19
Webmeisterei,1,0,1,frisi,1,Products.validation,2009-03-22,2009-03-22
Agitator,1,0,1,agitator,1,plonetheme.sunburst,2009-11-01,2009-11-01
