github_username,pull_requests,commits
robgietema,11,164
cekk,2,2
avoinea,0,0
iFlameing,0,0
danalvrz,0,0
davisagli,0,0
djay,0,0
giuliaghisini,0,0
ichim-david,0,0
dobri1408,0,0
jackahl,0,0
JeffersonBledsoe,0,0
ksuess,0,0
erral,0,0
nzambello,0,0
nileshgulia1,0,0
pnicolli,0,0
stevepiercy,0,0
tiberiuichim,0,0
tisto,0,3
Tishasoumya-02,0,0
sneridagh,0,0
Wagner3UB,0,0
wesleybl,0,0
