github_username,pull_requests,commits
robgietema,51,278
sneridagh,36,186
tisto,27,168
nileshgulia1,25,11
davisagli,4,4
cekk,3,18
pnicolli,2,1
avoinea,0,0
iFlameing,0,0
danalvrz,0,0
djay,0,0
giuliaghisini,0,0
ichim-david,0,0
dobri1408,0,0
jackahl,0,0
JeffersonBledsoe,0,0
ksuess,0,0
erral,0,0
nzambello,0,0
stevepiercy,0,0
tiberiuichim,0,0
Tishasoumya-02,0,0
Wagner3UB,0,0
wesleybl,0,0
