repo,pr_number,title,author,created_at,merged_at,state,merged,issue_comments_count,review_comments_count,reviews_count,total_comments,participants_count,reviewers_count,commenters_count,approved_reviews,changes_requested_reviews,comment_reviews,reactions_total,first_response_time
plone/plone.schemaeditor,10,We can select a registered vocabulary on a choice field,tdesvenain,2013-09-15T22:46:05Z,2013-09-20T19:00:58Z,closed,True,3,0,0,3,2,0,2,0,0,0,0,116.24444444444444
plone/plone.schemaeditor,8,Updated branch from master,tdesvenain,2013-09-05T11:40:59Z,,closed,False,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,6,	 Add support for ASCII fields,kiorky,2013-03-15T17:12:07Z,2013-03-22T14:11:28Z,closed,True,4,0,0,4,2,0,2,0,0,0,0,167.80194444444444
plone/plone.schemaeditor,5,Add a constraint to ITextLineChoice['values'],seanupton,2012-08-24T17:22:32Z,,closed,False,2,0,0,2,2,0,2,0,0,0,0,29.871944444444445
plone/plone.schemaeditor,4,fixed typos,hvelarde,2011-11-28T06:24:35Z,2011-11-28T06:24:45Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,3,added Spanish translation,hvelarde,2011-11-28T05:23:59Z,2011-11-28T05:24:11Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,2,Completed i18n support and added italian translation to plone.schemaeditor,giacomos,2011-11-22T00:59:08Z,,closed,False,2,0,0,2,2,0,2,0,0,0,0,90.4625
plone/plone.schemaeditor,12,Fixed drag and drop fields in fieldsets when form tabbing is disabled:,tdesvenain,2013-11-16T21:43:34Z,2013-11-17T21:28:32Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,11,Robot testing,tdesvenain,2013-10-10T08:39:34Z,2013-10-11T04:12:29Z,closed,True,2,0,0,2,3,0,2,0,0,0,0,0.39805555555555555
plone/plone.schemaeditor,9,Added Chinese Simplified translation,jianaijun,2013-09-14T07:13:40Z,2013-09-14T18:02:46Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,1,Internationalization,tdesvenain,2011-11-08T23:06:05Z,2011-11-25T19:03:23Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,121.69416666666666
