github_username,pull_requests,commits
sneridagh,225,408
stevepiercy,91,86
ichim-david,34,21
davisagli,31,24
wesleybl,22,20
pnicolli,21,13
giuliaghisini,14,10
robgietema,14,9
iFlameing,10,6
JeffersonBledsoe,9,7
erral,9,5
ksuess,6,3
cekk,4,3
avoinea,2,2
jackahl,2,2
nileshgulia1,2,2
Wagner3UB,2,1
danalvrz,0,0
djay,0,0
dobri1408,0,9
nzambello,0,0
tiberiuichim,0,1
tisto,0,1
Tishasoumya-02,0,22
