github_username,pull_requests,commits
sneridagh,302,227
wesleybl,98,45
stevepiercy,64,59
pnicolli,38,8
Wagner3UB,27,7
davisagli,24,18
ksuess,16,10
iFlameing,15,6
erral,13,8
nileshgulia1,12,6
Tishasoumya-02,11,5
giuliaghisini,10,5
dobri1408,7,1
avoinea,3,1
JeffersonBledsoe,3,2
robgietema,2,4
cekk,1,0
danalvrz,1,0
ichim-david,1,0
tiberiuichim,1,0
djay,0,0
jackahl,0,0
nzambello,0,0
tisto,0,0
