username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,2365,241,93,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, borg.localrole, buildout.coredev, diazo, documentation, jenkins.plone.org, mockup, mr.roboto, planet.plone.org, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.zope2instance, plone.releaser, plone.resourceeditor, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.subrequest, plone.supermodel, plone.transformchain, plone.volto, plone.z3cform, plonetheme.barceloneta, zodbverify",2022-01-02,2022-12-25
sneridagh,1134,353,21,"2023.ploneconf.org, blocks-conversion-tool, buildout.coredev, code-quality, demo.plone.org, documentation, old_plone.org, plone-backend, plone-frontend, plone.app.robotframework, plone.nl, plone.org, plone.restapi, plone.volto, ploneconf.org, quanta-icons, training, vite-playground, volto, volto-quanta, volto-quanta-project",2022-01-02,2022-12-18
stevepiercy,1073,183,14,".github, Plone, Products.CMFPlone, ansible-playbook, buildout.coredev, documentation, plone-backend, plone.api, plone.restapi, plone.volto, ploneorg.theme, sphinxtheme.plone, training, volto",2022-01-02,2022-12-25
petschki,829,173,40,"Products.CMFPlone, buildout.coredev, diazo, documentation, mockup, mr.roboto, plone.app.blocks, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.formwidget.recurrence, plone.jsonserializer, plone.namedfile, plone.outputfilters, plone.schemaeditor, plone.staticresources, plone.z3cform, plonetheme.barceloneta",2022-01-09,2022-12-25
jensens,658,93,46,"Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, documentation, old_plone.org, plone-backend, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.redirector, plone.app.registry, plone.app.standardtiles, plone.app.upgrade, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.base, plone.batching, plone.cachepurging, plone.dexterity, plone.i18n, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.restapi, plone.scale, plone.staticresources, plone.subrequest, training",2022-01-02,2022-12-25
ericof,628,49,26,".github, 2023.ploneconf.org, Plone, Products.CMFPlone, blocks-conversion-tool, buildout.coredev, code-analysis-action, code-quality, demo.plone.org, documentation, old_plone.org, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.nl, plone.org, plone.rest, plone.restapi, plone.volto, ploneconf.org, ploneorg.theme, setup-plone, training, volto",2022-01-02,2022-12-18
ksuess,523,96,10,"Plone, buildout.coredev, documentation, guillotina, plone.api, plone.app.content, plone.app.upgrade, plone.restapi, training, volto",2022-01-02,2022-12-18
thet,473,58,21,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, mockup, pat-content-browser, plone.app.contentlisting, plone.app.contentmenu, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.upgrade, plone.app.widgets, plone.app.z3cform, plone.patternslib, plone.recipe.zope2instance, plone.staticresources, plone.versioncheck",2022-01-02,2022-12-18
MrTango,448,62,28,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, documentation, mockup, plone-vs-snippets, plone.app.contentrules, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.standardtiles, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.autoinclude, plone.base, plone.gallery, plone.namedfile, plone.outputfilters, plone.pdfexport, plone.scale, plone.schema, plone.staticresources, plonecli, plonetheme.barceloneta, training, volto",2022-01-02,2022-12-18
pbauer,366,61,34,"Products.CMFPlacefulWorkflow, Products.CMFPlone, bobtemplates.plone, buildout.coredev, demo.plone.org, documentation, old_plone.org, plone.api, plone.app.caching, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.testing, plone.app.upgrade, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.base, plone.org, plone.outputfilters, plone.portlet.collection, plone.restapi, plone.staticresources, plone.volto, plonetheme.barceloneta, training",2022-01-02,2022-12-18
