username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
esteele,121,0,30,"Products.CMFEditions, buildout.coredev, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.users, plone.app.versioningbehavior, plone.app.workflow, plone.app.z3cform, plone.batching, plone.contentrules, plone.folder, plone.formwidget.namedfile, plone.portlet.collection, plone.portlet.static, plone.registry, plone.resource, plone.staticresources, plone.testing, plone.z3cform, plonetheme.barceloneta",2021-02-21,2021-09-12
pbauer,112,13,15,"2023.ploneconf.org, Products.CMFPlone, Products.PortalTransforms, buildout.coredev, old_plone.org, plone.api, plone.app.contenttypes, plone.app.layout, plone.app.multilingual, plone.app.upgrade, plone.app.vocabularies, plone.app.z3cform, plone.nl, ploneconf.org, training",2021-01-10,2021-12-05
ale-rt,107,39,24,"Products.CMFPlone, buildout.coredev, documentation, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.multilingual, plone.app.registry, plone.app.testing, plone.app.upgrade, plone.app.versioningbehavior, plone.autoinclude, plone.dexterity, plone.recipe.haproxy, plone.reload, plone.resource, plone.restapi, plone.staticresources, plone.supermodel, plone.z3cform",2021-01-31,2021-12-19
mpellerin42,85,79,1,pastanaga-angular,2021-01-03,2021-11-14
iFlameing,70,22,2,"training, volto",2021-01-17,2021-10-17
masipcat,64,19,2,"guillotina, guillotina_elasticsearch",2021-01-03,2021-12-12
avoinea,61,45,9,"buildout.coredev, plone-backend, plone-haproxy, plone.dexterity, plone.docker, plone.restapi, plone.volto, volto, volto-addon-ci",2021-01-10,2021-12-19
giuliaghisini,57,42,2,"form-block, volto",2021-01-17,2021-12-26
Thokas,50,2,3,"mockup, plone.app.content, plone.staticresources",2021-05-09,2021-08-29
nileshgulia1,47,15,3,"critical-css-cli, volto, volto-addon-ci",2021-01-10,2021-12-12
1letter,36,9,10,"buildout.coredev, plone.app.event, plone.app.i18n, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.users, plone.staticresources, plonetheme.barceloneta",2021-02-07,2021-07-11
erral,35,24,17,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, form-block, jenkins.plone.org, plone-vs-snippets, plone.app.content, plone.app.contenttypes, plone.app.discussion, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.theming, plone.restapi, plone.staticresources, plone.volto, volto",2021-02-07,2021-12-26
santonelli,34,7,8,"bobtemplates.plone, documentation, plone.app.contenttypes, plone.app.discussion, plone.staticresources, plonecli, plonetheme.barceloneta, training",2021-02-07,2021-10-17
jackahl,33,8,3,"old_plone.org, training, volto",2021-01-24,2021-12-05
silviot,29,10,3,"documentation, plone-backend, plone-frontend",2021-10-24,2021-11-14
dataflake,28,3,3,"buildout.coredev, meta, plone.recipe.zope2instance",2021-02-07,2021-10-31
andreasma,28,3,2,"buildout.coredev, plone.formwidget.hcaptcha",2021-05-30,2021-12-12
ebrehault,27,29,1,pastanaga-angular,2021-01-03,2021-07-11
veritazx,27,2,1,mockup,2021-09-19,2021-09-19
pnicolli,27,9,3,"plone-backend, plone.docker, volto",2021-02-07,2021-12-05
rpatterson,25,15,8,"Products.PlonePAS, buildout.coredev, mr.roboto, plone.app.imaging, plone.rest, plone.restapi, plone.volto, volto",2021-05-16,2021-12-26
cekk,23,16,5,"plone.app.querystring, plone.dexterity, plone.restapi, plone.volto, volto",2021-01-03,2021-12-26
djay,20,1,1,plone.app.standardtiles,2021-01-31,2021-01-31
wesleybl,19,25,9,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, plone.app.versioningbehavior, plone.dexterity, plone.dotfiles, plone.restapi, plone.schemaeditor, plonecli",2021-05-23,2021-12-05
tkimnguyen,19,5,6,"Products.CMFPlone, buildout.coredev, planet.plone.org, plone.docker, ploneorg.theme, training",2021-02-07,2021-12-19
gforcada,19,3,4,"buildout.coredev, jenkins.plone.org, mr.roboto, plone.jenkins_node",2021-02-14,2021-12-26
fredvd,18,6,10,"Products.CMFPlone, buildout.coredev, jenkins.plone.org, plone.app.layout, plone.app.portlets, plone.formwidget.hcaptcha, plone.restapi, plone.volto, plonetheme.barceloneta, volto",2021-02-07,2021-12-19
ichim-david,18,7,3,"plone.restapi, training, volto",2021-09-26,2021-12-19
