github_username,pull_requests,commits
sneridagh,225,408
stevepiercy,91,86
ichim-david,34,21
davisagli,31,24
wesleybl,22,20
pnicolli,21,13
robgietema,14,9
giuliaghisini,14,10
dobri1408,13,9
iFlameing,10,6
erral,9,5
JeffersonBledsoe,9,7
Tishasoumya-02,7,22
tedw87,7,3
ksuess,6,3
iRohitSingh,6,4
fredvd,6,3
sabrina-bongiovanni,6,4
Faakhir30,5,4
Hrittik20,5,2
TechSubham,5,0
cekk,4,3
mamico,4,1
Raman-Luhach,4,1
aadityaforwork,4,1
ericof,3,3
razvanMiu,3,1
MAX-786,3,3
tomschall,3,3
Gomez,3,3
Molochem,3,2
victorchrollo14,3,1
Prince0906,3,1
MostafaMagdyy,3,1
Manas-Kenge,3,0
gianniftp,3,1
nileshgulia1,2,2
avoinea,2,2
jackahl,2,2
Wagner3UB,2,1
Abhishek-17h,2,1
pbauer,2,2
instification,2,1
mauritsvanrees,2,2
SaraBianchi,2,0
jensens,2,2
animus888,2,1
ana-oprea,2,1
FritzHoing,2,1
tisto,1,1
tiberiuichim,1,1
steffenri,1,2
kreafox,1,0
aryan7081,1,1
MrTango,1,1
jnptk,1,0
pigeonflight,1,0
Ravi-kumar9347,1,1
kHAPPY2004,1,2
folix-01,1,1
yurj,1,1
Vivek-04022001,1,1
agan-k,1,1
ebrehault,1,1
lorstenoplo,0,1
EshaanAgg,0,1
